subscription_id,customer_id,start_date,end_date,status,monthly_recurring_revenue
SUB-000074,CUST-03797,2024-01-15,,active,195.95
SUB-000075,CUST-03493,2025-08-01,,active,104.99
SUB-000076,CUST-02209,2024-02-09,,active,148.0
SUB-000077,CUST-00317,2025-01-08,,active,304.42
SUB-000078,CUST-02570,2024-09-10,,active,56.19
SUB-000079,CUST-01011,2024-08-21,,active,47.37
SUB-000080,CUST-04597,2025-01-22,,active,266.3
SUB-000081,CUST-00219,2025-03-04,,active,95.47
SUB-000082,CUST-04645,2024-05-27,,active,394.01
SUB-000083,CUST-03129,2024-07-07,,active,70.0
SUB-000084,CUST-04671,2024-03-10,,active,135.82
SUB-000085,CUST-00590,2025-04-08,,active,174.61
SUB-000086,CUST-04502,2025-07-20,2025-12-21,churned,472.42
SUB-000087,CUST-04741,2024-01-23,,active,189.27
SUB-000088,CUST-04676,2024-03-25,,active,231.57
SUB-000089,CUST-01224,2024-11-28,2025-09-22,churned,61.03
SUB-000090,CUST-01992,2024-02-26,,active,145.91
SUB-000091,CUST-00666,2024-09-02,2025-05-07,churned,150.13
SUB-000092,CUST-02322,2024-09-18,2025-11-10,churned,116.18
SUB-000093,CUST-02777,2025-06-20,,active,81.02
SUB-000094,CUST-04802,2025-03-24,,active,136.98
SUB-000095,CUST-04682,2024-09-11,2025-12-17,churned,336.98
SUB-000096,CUST-01717,2024-11-14,,active,137.38
SUB-000097,CUST-00478,2025-04-30,,active,220.77
SUB-000098,CUST-01081,2025-08-22,,active,150.91
SUB-000099,CUST-00844,2024-10-05,,paused,71.9
SUB-000100,CUST-02467,2025-03-10,,active,94.79
SUB-000101,CUST-02866,2025-08-28,,active,141.84
SUB-000102,CUST-02557,2025-05-20,,active,213.86
SUB-000103,CUST-02114,2025-09-29,,active,68.0
SUB-000104,CUST-04555,2024-01-10,2025-09-27,churned,210.12
SUB-000105,CUST-02244,2024-10-21,,active,171.16
SUB-000106,CUST-03980,2025-07-11,,active,51.46
SUB-000107,CUST-04373,2024-05-18,,active,221.34
SUB-000108,CUST-04352,2025-02-02,,active,56.25
SUB-000109,CUST-01345,2024-07-30,,active,95.25
SUB-000110,CUST-04577,2024-09-13,,active,235.74
SUB-000111,CUST-00906,2024-04-04,2025-11-28,churned,201.06
SUB-000112,CUST-04413,2025-07-31,,active,178.86
SUB-000113,CUST-04306,2025-08-18,2025-07-13,churned,43.31
SUB-000114,CUST-02430,2024-10-01,,active,292.54
SUB-000115,CUST-03985,2025-04-08,,active,80.27
SUB-000116,CUST-04136,2024-05-01,,active,289.58
SUB-000117,CUST-02353,2024-10-22,,active,58.63
SUB-000118,CUST-03841,2025-01-20,,active,94.08
SUB-000119,CUST-02035,2024-11-05,,active,251.82
SUB-000120,CUST-01975,2024-01-19,2025-11-06,churned,226.94
SUB-000121,CUST-01921,2024-07-30,,active,222.78
SUB-000122,CUST-00294,2024-12-27,,active,251.09
SUB-000123,CUST-00011,2025-06-03,,active,383.13
SUB-000124,CUST-01212,2024-09-19,,active,53.94
SUB-000125,CUST-04264,2025-06-05,,active,139.0
SUB-000126,CUST-03519,2025-04-12,2025-12-06,churned,126.59
SUB-000127,CUST-03923,2025-07-20,,active,64.87
SUB-000128,CUST-01658,2025-03-09,2025-08-18,churned,103.95
SUB-000129,CUST-01880,2024-11-02,,active,160.05
SUB-000130,CUST-02006,2025-09-22,,active,120.83
SUB-000131,CUST-03576,2024-07-28,,active,255.89
SUB-000132,CUST-00408,2024-06-05,,active,48.59
SUB-000133,CUST-01232,2024-07-12,,active,186.12
SUB-000134,CUST-03789,2025-09-11,,active,227.86
SUB-000135,CUST-02757,2025-09-06,,active,172.78
SUB-000136,CUST-04229,2024-05-04,2025-03-13,churned,54.32
SUB-000137,CUST-03274,2025-06-18,,paused,1.63
SUB-000138,CUST-04974,2025-09-28,,active,72.43
SUB-000139,CUST-02809,2024-12-03,,active,61.73
SUB-000140,CUST-04897,2024-06-30,,active,204.17
SUB-000141,CUST-00935,2025-05-05,2025-04-15,churned,259.09
SUB-000142,CUST-03325,2025-04-29,,paused,12.77
SUB-000143,CUST-03101,2024-04-30,2025-02-13,churned,149.19
SUB-000144,CUST-03936,2024-06-18,,active,387.94
SUB-000145,CUST-00635,2024-07-30,,active,108.55
SUB-000146,CUST-01852,2024-11-25,2025-03-09,churned,226.11
SUB-000147,CUST-03498,2024-02-04,,active,229.79
SUB-000148,CUST-03621,2024-07-01,,active,287.83
SUB-000149,CUST-02629,2024-08-22,,active,118.5
SUB-000150,CUST-03321,2024-03-16,,active,137.79
SUB-000151,CUST-02918,2024-12-04,,active,176.3
SUB-000152,CUST-02671,2024-05-11,2025-04-17,churned,20.35
SUB-000153,CUST-00497,2025-03-28,,active,183.11
SUB-000154,CUST-01598,2024-10-13,2025-10-17,churned,196.81
SUB-000155,CUST-02507,2024-10-09,,active,161.41
SUB-000156,CUST-01043,2025-01-19,,active,13.48
SUB-000157,CUST-04227,2024-08-31,,active,109.8
SUB-000158,CUST-01616,2025-05-03,2025-06-18,churned,138.2
SUB-000159,CUST-00302,2025-06-14,,active,164.88
SUB-000160,CUST-03838,2025-04-15,,active,274.46
SUB-000161,CUST-03008,2024-04-22,2025-04-21,churned,152.11
SUB-000162,CUST-02470,2024-12-18,,active,56.94
SUB-000163,CUST-00187,2024-05-05,,active,92.19
SUB-000164,CUST-00192,2024-10-17,,active,118.27
SUB-000165,CUST-00301,2024-11-15,,active,152.1
SUB-000166,CUST-00806,2025-06-19,2025-08-20,churned,84.43
SUB-000167,CUST-00520,2025-09-12,,active,178.42
SUB-000168,CUST-01898,2025-09-18,,active,207.84
SUB-000169,CUST-02981,2025-10-11,,active,90.14
SUB-000170,CUST-01022,2024-04-15,,active,88.56
SUB-000171,CUST-01743,2024-08-10,,active,295.8
SUB-000172,CUST-00166,2024-08-30,,active,498.52
SUB-000173,CUST-03570,2024-04-27,2025-01-04,churned,318.8
SUB-000174,CUST-03073,2024-01-10,,active,19.43
SUB-000175,CUST-03977,2024-10-13,2025-11-05,churned,445.39
SUB-000176,CUST-03636,2025-04-22,,active,252.82
SUB-000177,CUST-02090,2024-07-26,,active,35.67
SUB-000178,CUST-01878,2024-03-13,,active,123.67
SUB-000179,CUST-02149,2024-07-15,2025-06-26,churned,92.65
SUB-000180,CUST-04482,2025-05-26,,active,97.49
SUB-000181,CUST-04489,2024-04-13,,paused,142.57
SUB-000182,CUST-00839,2024-07-01,,active,62.57
SUB-000183,CUST-03586,2025-02-25,,active,209.95
SUB-000184,CUST-04705,2024-02-12,,active,215.47
SUB-000185,CUST-00165,2024-10-06,,active,197.98
SUB-000186,CUST-02530,2024-03-13,,active,125.08
SUB-000187,CUST-02782,2024-02-27,,active,78.0
SUB-000188,CUST-04113,2024-07-03,,active,387.33
SUB-000189,CUST-04582,2024-07-31,,active,215.53
SUB-000190,CUST-01042,2024-10-15,2025-02-20,churned,125.69
SUB-000191,CUST-00197,2024-07-25,,active,26.76
SUB-000192,CUST-00730,2025-07-06,,active,24.6
SUB-000193,CUST-04721,2025-08-29,,active,30.67
SUB-000194,CUST-02409,2025-06-26,,active,124.29
SUB-000195,CUST-00269,2024-12-21,,active,158.13
SUB-000196,CUST-02375,2024-03-20,,active,274.39
SUB-000197,CUST-02662,2024-10-11,,active,231.45
SUB-000198,CUST-00305,2024-08-11,,active,214.27
SUB-000199,CUST-01015,2024-12-19,2025-06-02,churned,636.38
SUB-000200,CUST-00145,2024-07-05,,active,86.95
SUB-000201,CUST-04659,2024-08-07,,active,100.25
SUB-000202,CUST-02561,2025-02-28,,paused,341.32
SUB-000203,CUST-00856,2024-02-12,,active,54.11
SUB-000204,CUST-01422,2025-01-23,,active,118.45
SUB-000205,CUST-01978,2024-03-09,,active,255.94
SUB-000206,CUST-02255,2024-04-13,,active,251.24
SUB-000207,CUST-03211,2024-08-26,,active,65.55
SUB-000208,CUST-04763,2025-09-11,,active,110.31
SUB-000209,CUST-01835,2024-11-08,,active,348.86
SUB-000210,CUST-00189,2024-01-18,,active,271.07
SUB-000211,CUST-04037,2024-12-30,,active,59.25
SUB-000212,CUST-04483,2025-04-04,,active,61.9
SUB-000213,CUST-01698,2024-01-27,,active,266.34
SUB-000214,CUST-02868,2025-01-29,,active,212.81
SUB-000215,CUST-03029,2024-12-18,2025-04-12,churned,121.67
SUB-000216,CUST-00671,2025-04-24,,active,93.75
SUB-000217,CUST-02082,2025-06-07,,active,64.5
SUB-000218,CUST-04280,2024-06-03,,active,367.21
SUB-000219,CUST-03565,2024-05-09,,active,202.63
SUB-000220,CUST-01983,2025-09-07,,active,77.47
SUB-000221,CUST-03764,2024-07-04,,active,132.21
SUB-000222,CUST-04745,2025-08-29,,active,56.72
SUB-000223,CUST-01602,2024-07-12,,active,98.36
SUB-000224,CUST-02740,2024-10-17,2025-06-18,churned,103.04
SUB-000225,CUST-04831,2024-12-26,,active,105.32
SUB-000226,CUST-03659,2024-01-28,2025-07-18,churned,92.07
SUB-000227,CUST-00794,2024-12-02,2025-09-01,churned,141.85
SUB-000228,CUST-03244,2025-10-03,,active,68.2
SUB-000229,CUST-04680,2024-11-29,,active,44.81
SUB-000230,CUST-00401,2025-04-17,,active,251.3
SUB-000231,CUST-04860,2024-07-05,,active,55.74
SUB-000232,CUST-04058,2024-01-04,,active,214.22
SUB-000233,CUST-03843,2025-04-23,,paused,26.26
SUB-000234,CUST-02764,2024-08-13,,active,180.28
SUB-000235,CUST-04041,2025-03-24,,active,149.72
SUB-000236,CUST-01420,2025-07-09,,active,232.25
SUB-000237,CUST-02192,2024-09-23,,active,223.26
SUB-000238,CUST-04404,2025-05-16,,active,77.85
SUB-000239,CUST-00683,2025-07-09,,active,32.52
SUB-000240,CUST-02278,2025-09-22,,active,75.38
SUB-000241,CUST-04777,2024-11-09,,active,123.84
SUB-000242,CUST-01764,2024-11-03,,active,218.21
SUB-000243,CUST-04036,2024-06-30,,active,120.39
SUB-000244,CUST-04824,2025-09-14,,active,40.5
SUB-000245,CUST-02770,2024-05-19,,active,75.38
SUB-000246,CUST-02828,2025-06-20,,active,156.68
SUB-000247,CUST-00944,2025-10-11,,active,287.57
SUB-000248,CUST-01316,2025-02-06,2025-10-01,churned,408.35
SUB-000249,CUST-03525,2025-08-29,,active,274.33
SUB-000250,CUST-04996,2024-08-21,,active,21.45
SUB-000251,CUST-02288,2025-01-10,,active,115.94
SUB-000252,CUST-01662,2025-07-02,,active,66.54
SUB-000253,CUST-02010,2024-06-21,,active,95.52
SUB-000254,CUST-02607,2024-08-14,2025-02-24,churned,239.38
SUB-000255,CUST-03194,2024-06-22,,active,88.2
SUB-000256,CUST-03175,2025-01-13,2025-06-16,churned,28.81
SUB-000257,CUST-03003,2024-03-07,2025-07-05,churned,62.57
SUB-000258,CUST-00157,2024-05-30,2025-06-20,churned,173.93
SUB-000259,CUST-03072,2024-07-23,2025-08-10,churned,65.84
SUB-000260,CUST-03011,2024-09-06,,active,349.97
SUB-000261,CUST-02852,2024-12-10,,active,274.93
SUB-000262,CUST-00848,2024-09-20,,active,208.32
SUB-000263,CUST-02730,2025-09-03,,active,186.86
SUB-000264,CUST-01779,2024-05-18,,active,30.23
SUB-000265,CUST-02672,2024-06-17,,active,241.87
SUB-000266,CUST-00515,2024-03-03,,active,113.54
SUB-000267,CUST-04990,2025-04-28,,active,75.52
SUB-000268,CUST-03740,2024-10-15,,paused,386.06
SUB-000269,CUST-00502,2024-03-13,,active,118.2
SUB-000270,CUST-00106,2024-06-06,,active,142.37
SUB-000271,CUST-02515,2024-04-17,,active,419.62
SUB-000272,CUST-04132,2024-03-21,,active,408.11
SUB-000273,CUST-04153,2025-05-23,,active,582.27
SUB-000274,CUST-00963,2024-11-13,2025-10-01,churned,82.33
SUB-000275,CUST-01594,2024-04-09,,active,124.14
SUB-000276,CUST-02730,2024-09-09,,active,123.07
SUB-000277,CUST-04809,2024-03-27,2025-05-19,churned,202.05
SUB-000278,CUST-03662,2024-09-05,,paused,324.7
SUB-000279,CUST-03128,2024-12-11,2025-02-25,churned,179.91
SUB-000280,CUST-02279,2025-04-29,,active,463.2
SUB-000281,CUST-01168,2025-07-31,,active,35.79
SUB-000282,CUST-03092,2025-03-31,,active,678.48
SUB-000283,CUST-00123,2024-11-10,,active,15.47
SUB-000284,CUST-03317,2024-10-09,,paused,51.66
SUB-000285,CUST-01480,2025-03-15,,active,485.7
SUB-000286,CUST-00639,2025-09-03,2025-01-29,churned,252.51
SUB-000287,CUST-03153,2024-04-22,,active,106.96
SUB-000288,CUST-04187,2025-07-26,,active,112.25
SUB-000289,CUST-00096,2024-05-01,,active,84.53
SUB-000290,CUST-01111,2024-08-29,,paused,507.22
SUB-000291,CUST-04788,2025-07-16,2025-09-04,churned,103.07
SUB-000292,CUST-00649,2025-08-02,2025-03-14,churned,146.29
SUB-000293,CUST-00794,2024-03-05,,active,122.59
SUB-000294,CUST-04853,2025-05-23,,active,183.15
SUB-000295,CUST-04586,2024-04-16,,active,25.11
SUB-000296,CUST-02153,2025-08-27,,active,113.52
SUB-000297,CUST-00524,2025-02-28,,active,546.89
SUB-000298,CUST-00579,2024-04-17,,active,434.93
SUB-000299,CUST-04693,2024-06-06,2025-06-21,churned,200.11
SUB-000300,CUST-02053,2025-09-10,,paused,2.14
SUB-000301,CUST-01489,2024-06-30,,active,289.15
SUB-000302,CUST-04180,2024-03-31,,active,115.72
SUB-000303,CUST-01390,2024-03-18,,active,32.12
SUB-000304,CUST-01314,2024-12-22,2025-08-03,churned,226.93
SUB-000305,CUST-02821,2024-11-17,,active,247.29
SUB-000306,CUST-02203,2025-04-25,2025-07-23,churned,34.7
SUB-000307,CUST-03656,2025-08-17,,active,132.5
SUB-000308,CUST-00153,2024-10-13,,active,211.74
SUB-000309,CUST-01582,2024-02-21,,paused,171.17
SUB-000310,CUST-04783,2024-09-18,,active,50.19
SUB-000311,CUST-00660,2025-01-14,,active,172.59
SUB-000312,CUST-01611,2024-05-26,,active,56.58
SUB-000313,CUST-00654,2024-11-20,2025-07-08,churned,269.98
SUB-000314,CUST-00096,2024-09-29,,active,227.71
SUB-000315,CUST-01246,2024-09-25,2025-01-12,churned,185.37
SUB-000316,CUST-04345,2024-06-30,2025-09-03,churned,46.79
SUB-000317,CUST-03612,2024-01-15,,active,191.56
SUB-000318,CUST-02452,2024-06-26,,active,137.57
SUB-000319,CUST-00318,2025-03-28,2025-09-13,churned,152.82
SUB-000320,CUST-01683,2025-07-15,,active,43.0
SUB-000321,CUST-02745,2025-06-02,,paused,48.51
SUB-000322,CUST-03298,2024-09-12,,active,156.35
SUB-000323,CUST-00161,2024-12-18,2025-12-13,churned,150.05
SUB-000324,CUST-01435,2024-06-03,,active,379.91
SUB-000325,CUST-04620,2024-01-13,,active,109.11
SUB-000326,CUST-01180,2025-04-27,,active,125.01
SUB-000327,CUST-03550,2025-08-09,,active,128.35
SUB-000328,CUST-04599,2025-01-09,,active,412.94
SUB-000329,CUST-04917,2024-10-10,,active,128.91
SUB-000330,CUST-01042,2024-11-28,,active,93.6
SUB-000331,CUST-04285,2024-03-25,,active,146.02
SUB-000332,CUST-04076,2024-12-01,,paused,169.19
SUB-000333,CUST-01589,2025-01-13,,active,157.0
SUB-000334,CUST-01307,2025-08-08,,active,388.43
SUB-000335,CUST-03879,2024-03-07,2025-07-19,churned,134.47
SUB-000336,CUST-00709,2024-08-06,,active,131.59
SUB-000337,CUST-02223,2025-05-27,,active,280.55
SUB-000338,CUST-02359,2024-06-11,,active,321.91
SUB-000339,CUST-04146,2025-09-07,,active,216.82
SUB-000340,CUST-00262,2024-12-09,,active,41.43
SUB-000341,CUST-04862,2024-12-08,,active,60.9
SUB-000342,CUST-03326,2025-08-25,,active,272.18
SUB-000343,CUST-02357,2024-08-13,2025-12-24,churned,169.14
SUB-000344,CUST-01033,2025-02-04,,active,454.69
SUB-000345,CUST-00846,2025-09-13,,active,34.49
SUB-000346,CUST-04377,2024-11-25,,paused,116.91
SUB-000347,CUST-04685,2024-05-15,2025-08-09,churned,202.73
SUB-000348,CUST-03745,2025-05-18,2025-02-27,churned,335.73
SUB-000349,CUST-03581,2025-03-23,2025-04-10,churned,314.85
SUB-000350,CUST-04606,2024-03-01,,active,63.24
SUB-000351,CUST-01484,2024-01-17,,paused,164.84
SUB-000352,CUST-02555,2025-01-31,2025-01-10,churned,307.92
SUB-000353,CUST-03175,2025-01-03,,active,179.77
SUB-000354,CUST-02674,2024-01-26,,active,132.51
SUB-000355,CUST-02491,2025-03-28,,active,159.77
SUB-000356,CUST-01487,2025-03-11,,active,211.32
SUB-000357,CUST-03323,2025-03-17,,active,5.73
SUB-000358,CUST-00563,2024-10-16,2025-12-14,churned,160.27
SUB-000359,CUST-00429,2024-02-26,2025-01-25,churned,261.27
SUB-000360,CUST-04428,2024-11-25,,paused,94.95
SUB-000361,CUST-03921,2025-06-29,,active,104.21
SUB-000362,CUST-02428,2025-08-21,,active,424.09
SUB-000363,CUST-01374,2024-06-28,,active,184.06
SUB-000364,CUST-00963,2024-11-04,,active,335.03
SUB-000365,CUST-03641,2025-02-07,2025-09-27,churned,286.07
SUB-000366,CUST-03951,2024-06-09,,active,80.37
SUB-000367,CUST-01332,2024-05-11,,active,409.8
SUB-000368,CUST-04219,2025-07-01,,active,160.33
SUB-000369,CUST-02143,2024-04-13,,active,33.46
SUB-000370,CUST-02660,2024-02-23,,active,10.32
SUB-000371,CUST-02664,2025-04-18,,active,115.16
SUB-000372,CUST-01721,2024-05-28,,active,526.86
SUB-000373,CUST-04889,2025-01-06,,active,213.46
SUB-000374,CUST-03034,2025-01-29,,active,105.98
SUB-000375,CUST-04115,2025-05-29,,active,173.27
SUB-000376,CUST-01374,2025-01-30,,active,93.56
SUB-000377,CUST-03117,2025-03-15,,active,299.16
SUB-000378,CUST-00735,2024-09-06,,active,209.86
SUB-000379,CUST-02990,2025-01-03,,active,78.65
SUB-000380,CUST-02326,2025-07-15,,active,149.3
SUB-000381,CUST-03910,2024-01-14,2025-01-09,churned,88.86
SUB-000382,CUST-01302,2025-06-17,,active,80.92
SUB-000383,CUST-02106,2024-05-10,,active,185.84
SUB-000384,CUST-01590,2025-08-18,,active,231.08
SUB-000385,CUST-02922,2024-12-11,,active,60.03
SUB-000386,CUST-04800,2025-04-11,,active,132.79
SUB-000387,CUST-00175,2024-12-11,,active,166.12
SUB-000388,CUST-02246,2024-12-28,,active,229.12
SUB-000389,CUST-00654,2025-04-24,,active,129.06
SUB-000390,CUST-00303,2025-03-25,,active,221.16
SUB-000391,CUST-03604,2025-01-27,,active,560.68
SUB-000392,CUST-00323,2025-01-15,,active,22.05
SUB-000393,CUST-02365,2024-12-02,,active,157.53
SUB-000394,CUST-02326,2025-06-09,,active,124.13
SUB-000395,CUST-03181,2025-03-01,2025-07-20,churned,181.95
SUB-000396,CUST-04543,2025-02-18,,active,57.18
SUB-000397,CUST-00816,2024-11-12,2025-01-10,churned,94.39
SUB-000398,CUST-03193,2025-05-31,,active,151.64
SUB-000399,CUST-02249,2024-07-09,,active,249.12
SUB-000400,CUST-00084,2025-03-25,,active,94.43
SUB-000401,CUST-02710,2025-04-02,,active,165.8
SUB-000402,CUST-04398,2024-09-10,,active,498.49
SUB-000403,CUST-00841,2024-12-10,,active,358.61
SUB-000404,CUST-00687,2024-04-12,,active,39.0
SUB-000405,CUST-00711,2024-06-29,,active,77.19
SUB-000406,CUST-04037,2025-06-24,,active,116.65
SUB-000407,CUST-03561,2024-09-02,2025-07-13,churned,69.23
SUB-000408,CUST-01893,2025-07-04,2025-09-26,churned,33.84
SUB-000409,CUST-04626,2025-10-06,,active,133.55
SUB-000410,CUST-01204,2025-04-15,,active,173.93
SUB-000411,CUST-00701,2025-04-02,,active,119.52
SUB-000412,CUST-02337,2025-05-24,,active,214.43
SUB-000413,CUST-04209,2024-04-18,,active,221.93
SUB-000414,CUST-03592,2025-05-07,2025-08-14,churned,352.86
SUB-000415,CUST-02231,2024-12-21,2025-03-19,churned,129.78
SUB-000416,CUST-04450,2024-04-16,2025-06-12,churned,122.86
SUB-000417,CUST-00574,2024-01-27,,active,106.12
SUB-000418,CUST-03698,2024-05-19,,active,27.56
SUB-000419,CUST-02294,2025-03-23,2025-08-16,churned,176.84
SUB-000420,CUST-02195,2024-04-02,,active,476.56
SUB-000421,CUST-00643,2025-02-07,,active,139.25
SUB-000422,CUST-03514,2024-02-14,2025-05-02,churned,185.81
SUB-000423,CUST-01568,2024-10-06,,active,164.69
SUB-000424,CUST-04267,2024-03-12,,active,430.16
SUB-000425,CUST-01237,2024-01-30,,active,207.12
SUB-000426,CUST-02811,2025-08-10,,active,140.15
SUB-000427,CUST-01147,2025-03-14,2025-09-12,churned,239.08
SUB-000428,CUST-00968,2025-07-27,,active,732.84
SUB-000429,CUST-03984,2024-09-12,,active,225.5
SUB-000430,CUST-01714,2024-07-23,,active,36.84
SUB-000431,CUST-02497,2025-02-08,,active,159.43
SUB-000432,CUST-01374,2024-06-15,2025-08-29,churned,243.98
SUB-000433,CUST-03739,2024-02-14,2025-09-22,churned,16.62
SUB-000434,CUST-01198,2024-06-02,,paused,131.18
SUB-000435,CUST-04466,2025-01-11,,paused,286.83
SUB-000436,CUST-04824,2025-04-18,,active,407.33
SUB-000437,CUST-01384,2024-12-20,2025-08-21,churned,133.85
SUB-000438,CUST-03780,2024-04-04,,active,20.38
SUB-000439,CUST-03547,2024-02-19,2025-03-12,churned,62.66
SUB-000440,CUST-01359,2025-09-14,2025-01-08,churned,144.5
SUB-000441,CUST-03541,2025-07-09,,active,119.79
SUB-000442,CUST-03291,2025-05-03,2025-11-26,churned,92.3
SUB-000443,CUST-03423,2025-06-26,,active,151.49
SUB-000444,CUST-04056,2025-08-24,,paused,421.49
SUB-000445,CUST-00195,2024-01-28,,active,208.82
SUB-000446,CUST-03720,2024-02-05,2025-04-22,churned,293.14
SUB-000447,CUST-02814,2024-11-17,,paused,70.39
SUB-000448,CUST-00767,2025-06-06,2025-03-31,churned,54.05
SUB-000449,CUST-00305,2024-09-19,,active,75.17
SUB-000450,CUST-00178,2024-04-15,,active,238.44
SUB-000451,CUST-03922,2024-10-12,2025-02-01,churned,180.29
SUB-000452,CUST-03242,2024-01-24,,active,55.12
SUB-000453,CUST-02047,2025-10-08,,active,290.53
SUB-000454,CUST-01484,2024-06-22,,paused,23.74
SUB-000455,CUST-03054,2024-01-30,2025-06-06,churned,351.21
SUB-000456,CUST-00949,2025-08-11,,active,151.58
SUB-000457,CUST-01210,2024-01-13,,active,153.16
SUB-000458,CUST-01404,2024-03-04,2025-10-09,churned,394.99
SUB-000459,CUST-02055,2025-03-27,,active,91.47
SUB-000460,CUST-01732,2025-02-10,2025-01-04,churned,33.04
SUB-000461,CUST-03558,2025-08-29,,active,179.45
SUB-000462,CUST-02999,2024-05-03,,paused,138.87
SUB-000463,CUST-03106,2025-08-14,2025-03-20,churned,129.29
SUB-000464,CUST-02340,2024-04-16,2025-01-16,churned,349.97
SUB-000465,CUST-03684,2025-06-22,,active,63.57
SUB-000466,CUST-02567,2024-08-01,2025-02-14,churned,360.45
SUB-000467,CUST-04345,2025-03-29,,active,109.64
SUB-000468,CUST-04353,2024-06-04,,active,45.32
SUB-000469,CUST-03914,2024-09-25,,active,107.27
SUB-000470,CUST-03074,2024-09-18,,active,54.64
SUB-000471,CUST-04834,2024-02-09,,paused,216.48
