account_id,account_name,region,industry,segment,created_at,updated_at
ACCT-00141,Synthetic Account 00141,Latin America,retail,enterprise,2023-03-23,2025-11-17
ACCT-00142,Synthetic Account 00142,Europe,finance,smb,2023-07-20,2025-12-08
ACCT-00143,Synthetic Account 00143,North America,manufacturing,smb,2023-10-14,2025-12-06
ACCT-00144,Synthetic Account 00144,North America,software,enterprise,2023-07-31,2025-12-09
ACCT-00145,Synthetic Account 00145,APAC,finance,mid_market,2024-10-30,2025-12-29
ACCT-00146,Synthetic Account 00146,APAC,finance,mid_market,2022-07-19,2025-11-09
ACCT-00147,Synthetic Account 00147,APAC,healthcare,mid_market,2022-04-10,2025-11-07
ACCT-00148,Synthetic Account 00148,Latin America,healthcare,smb,2023-06-29,2025-11-04
ACCT-00149,Synthetic Account 00149,Latin America,healthcare,enterprise,2022-09-06,2025-12-01
ACCT-00150,Synthetic Account 00150,APAC,retail,mid_market,2024-09-13,2025-12-21
ACCT-00151,Synthetic Account 00151,North America,finance,enterprise,2024-10-15,2025-12-07
ACCT-00152,Synthetic Account 00152,APAC,software,smb,2025-04-01,2025-11-20
ACCT-00153,Synthetic Account 00153,Latin America,manufacturing,smb,2023-04-09,2025-12-21
ACCT-00154,Synthetic Account 00154,Latin America,retail,smb,2025-02-26,2025-12-22
ACCT-00155,Synthetic Account 00155,Latin America,finance,smb,2022-05-02,2025-11-02
ACCT-00156,Synthetic Account 00156,North America,healthcare,enterprise,2025-02-28,2025-12-29
ACCT-00157,Synthetic Account 00157,Europe,healthcare,smb,2022-10-23,2025-11-26
ACCT-00158,Synthetic Account 00158,APAC,software,mid_market,2022-01-23,2025-12-23
ACCT-00159,Synthetic Account 00159,North America,healthcare,mid_market,2024-09-17,2025-12-30
ACCT-00160,Synthetic Account 00160,Europe,retail,smb,2023-09-11,2025-11-23
ACCT-00161,Synthetic Account 00161,North America,finance,smb,2023-05-11,2025-12-20
ACCT-00162,Synthetic Account 00162,North America,software,smb,2022-08-29,2025-11-18
ACCT-00163,Synthetic Account 00163,North America,healthcare,smb,2023-05-14,2025-11-12
ACCT-00164,Synthetic Account 00164,Latin America,finance,mid_market,2024-01-09,2025-12-01
ACCT-00165,Synthetic Account 00165,Latin America,software,enterprise,2022-06-22,2025-12-21
ACCT-00166,Synthetic Account 00166,Europe,software,smb,2025-02-09,2025-11-04
ACCT-00167,Synthetic Account 00167,North America,healthcare,smb,2024-05-18,2025-12-09
ACCT-00168,Synthetic Account 00168,Europe,software,smb,2024-11-17,2025-11-16
ACCT-00169,Synthetic Account 00169,Europe,finance,smb,2022-02-23,2025-12-20
ACCT-00170,Synthetic Account 00170,North America,healthcare,mid_market,2024-11-05,2025-12-22
ACCT-00171,Synthetic Account 00171,APAC,manufacturing,mid_market,2024-11-04,2025-11-21
ACCT-00172,Synthetic Account 00172,Latin America,software,enterprise,2023-03-15,2025-12-19
ACCT-00173,Synthetic Account 00173,Latin America,retail,smb,2023-11-15,2025-11-30
ACCT-00174,Synthetic Account 00174,Latin America,software,smb,2023-08-25,2025-11-26
ACCT-00175,Synthetic Account 00175,Latin America,manufacturing,smb,2024-09-18,2025-12-24
ACCT-00176,Synthetic Account 00176,North America,finance,smb,2022-12-05,2025-12-12
ACCT-00177,Synthetic Account 00177,APAC,manufacturing,smb,2025-01-08,2025-12-20
ACCT-00178,Synthetic Account 00178,APAC,software,enterprise,2023-10-27,2025-12-31
ACCT-00179,Synthetic Account 00179,North America,healthcare,mid_market,2022-01-01,2025-11-05
ACCT-00180,Synthetic Account 00180,North America,software,mid_market,2022-12-31,2025-12-30
ACCT-00181,Synthetic Account 00181,APAC,software,smb,2022-06-21,2025-11-12
ACCT-00182,Synthetic Account 00182,APAC,finance,enterprise,2024-08-28,2025-12-07
ACCT-00183,Synthetic Account 00183,North America,retail,smb,2023-05-06,2025-12-15
ACCT-00184,Synthetic Account 00184,Europe,retail,mid_market,2023-07-12,2025-11-30
ACCT-00185,Synthetic Account 00185,North America,software,smb,2023-02-25,2025-11-07
ACCT-00186,Synthetic Account 00186,North America,finance,mid_market,2024-04-20,2025-11-22
ACCT-00187,Synthetic Account 00187,APAC,retail,smb,2025-04-07,2025-12-27
ACCT-00188,Synthetic Account 00188,APAC,manufacturing,mid_market,2024-11-13,2025-11-16
ACCT-00189,Synthetic Account 00189,Latin America,healthcare,smb,2025-04-02,2025-11-16
ACCT-00190,Synthetic Account 00190,Latin America,finance,smb,2022-12-26,2025-11-03
ACCT-00191,Synthetic Account 00191,North America,healthcare,mid_market,2024-03-08,2025-12-19
ACCT-00192,Synthetic Account 00192,Europe,finance,smb,2024-01-17,2025-11-11
ACCT-00193,Synthetic Account 00193,Latin America,finance,smb,2022-12-29,2025-12-09
ACCT-00194,Synthetic Account 00194,North America,manufacturing,enterprise,2024-10-11,2025-12-10
ACCT-00195,Synthetic Account 00195,Latin America,finance,smb,2025-01-08,2025-11-24
ACCT-00196,Synthetic Account 00196,Latin America,finance,smb,2025-02-14,2025-11-29
ACCT-00197,Synthetic Account 00197,North America,finance,smb,2025-03-31,2025-12-18
ACCT-00198,Synthetic Account 00198,North America,healthcare,smb,2022-07-15,2025-12-19
ACCT-00199,Synthetic Account 00199,APAC,healthcare,smb,2022-06-26,2025-11-22
ACCT-00200,Synthetic Account 00200,Europe,finance,mid_market,2024-03-28,2025-11-03
ACCT-00201,Synthetic Account 00201,Latin America,software,mid_market,2024-05-20,2025-12-18
ACCT-00202,Synthetic Account 00202,APAC,healthcare,mid_market,2023-06-07,2025-11-29
ACCT-00203,Synthetic Account 00203,APAC,finance,smb,2022-07-15,2025-12-13
ACCT-00204,Synthetic Account 00204,North America,manufacturing,mid_market,2022-12-09,2025-12-17
ACCT-00205,Synthetic Account 00205,Europe,manufacturing,enterprise,2022-06-04,2025-11-14
ACCT-00206,Synthetic Account 00206,North America,software,smb,2022-07-09,2025-11-18
ACCT-00207,Synthetic Account 00207,North America,manufacturing,mid_market,2022-08-14,2025-12-03
ACCT-00208,Synthetic Account 00208,North America,manufacturing,enterprise,2023-12-04,2025-12-02
ACCT-00209,Synthetic Account 00209,Latin America,manufacturing,smb,2023-09-08,2025-12-06
ACCT-00210,Synthetic Account 00210,North America,finance,smb,2023-02-05,2025-11-02
ACCT-00211,Synthetic Account 00211,APAC,retail,smb,2023-10-14,2025-11-05
ACCT-00212,Synthetic Account 00212,APAC,healthcare,mid_market,2024-03-12,2025-12-27
ACCT-00213,Synthetic Account 00213,North America,manufacturing,smb,2022-04-28,2025-11-13
ACCT-00214,Synthetic Account 00214,Latin America,finance,smb,2022-12-04,2025-12-11
ACCT-00215,Synthetic Account 00215,APAC,manufacturing,mid_market,2022-08-30,2025-11-22
ACCT-00216,Synthetic Account 00216,North America,retail,enterprise,2022-01-01,2025-11-05
ACCT-00217,Synthetic Account 00217,North America,manufacturing,enterprise,2022-05-20,2025-12-06
ACCT-00218,Synthetic Account 00218,APAC,software,smb,2024-07-09,2025-12-04
ACCT-00219,Synthetic Account 00219,APAC,manufacturing,mid_market,2024-11-16,2025-11-24
ACCT-00220,Synthetic Account 00220,Europe,manufacturing,mid_market,2022-07-13,2025-12-13
ACCT-00221,Synthetic Account 00221,Europe,healthcare,smb,2024-07-09,2025-12-16
ACCT-00222,Synthetic Account 00222,North America,healthcare,smb,2022-10-31,2025-11-25
ACCT-00223,Synthetic Account 00223,North America,finance,mid_market,2022-06-17,2025-12-19
ACCT-00224,Synthetic Account 00224,APAC,manufacturing,smb,2022-10-10,2025-11-22
ACCT-00225,Synthetic Account 00225,Europe,software,smb,2025-01-08,2025-12-17
ACCT-00226,Synthetic Account 00226,Europe,retail,mid_market,2023-02-15,2025-12-26
ACCT-00227,Synthetic Account 00227,Europe,software,smb,2024-06-07,2025-12-25
ACCT-00228,Synthetic Account 00228,APAC,retail,enterprise,2023-08-06,2025-12-16
ACCT-00229,Synthetic Account 00229,Europe,finance,mid_market,2023-06-07,2025-12-25
ACCT-00230,Synthetic Account 00230,Europe,retail,enterprise,2024-09-01,2025-12-13
ACCT-00231,Synthetic Account 00231,Europe,finance,mid_market,2025-04-04,2025-12-06
ACCT-00232,Synthetic Account 00232,APAC,retail,mid_market,2024-02-20,2025-12-17
ACCT-00233,Synthetic Account 00233,North America,retail,smb,2024-10-16,2025-11-29
ACCT-00234,Synthetic Account 00234,Latin America,finance,mid_market,2022-06-25,2025-12-09
ACCT-00235,Synthetic Account 00235,APAC,retail,mid_market,2024-12-16,2025-12-27
ACCT-00236,Synthetic Account 00236,North America,manufacturing,smb,2022-08-09,2025-12-11
ACCT-00237,Synthetic Account 00237,Latin America,manufacturing,smb,2022-08-17,2025-12-31
ACCT-00238,Synthetic Account 00238,Latin America,manufacturing,mid_market,2024-10-13,2025-11-18
ACCT-00239,Synthetic Account 00239,North America,software,enterprise,2023-08-03,2025-12-05
ACCT-00240,Synthetic Account 00240,North America,finance,enterprise,2022-10-27,2025-11-26
ACCT-00241,Synthetic Account 00241,North America,healthcare,smb,2022-02-02,2025-12-23
ACCT-00242,Synthetic Account 00242,North America,retail,smb,2022-09-20,2025-12-06
ACCT-00243,Synthetic Account 00243,APAC,retail,mid_market,2024-09-16,2025-11-13
ACCT-00244,Synthetic Account 00244,North America,healthcare,enterprise,2022-01-05,2025-12-19
ACCT-00245,Synthetic Account 00245,Europe,software,smb,2025-01-09,2025-11-02
ACCT-00246,Synthetic Account 00246,Latin America,healthcare,smb,2024-07-17,2025-12-06
ACCT-00247,Synthetic Account 00247,APAC,finance,mid_market,2022-09-03,2025-12-23
ACCT-00248,Synthetic Account 00248,APAC,healthcare,enterprise,2024-06-05,2025-12-21
ACCT-00249,Synthetic Account 00249,North America,healthcare,mid_market,2023-09-15,2025-12-04
ACCT-00250,Synthetic Account 00250,Latin America,finance,smb,2023-02-22,2025-11-04
ACCT-00251,Synthetic Account 00251,North America,finance,smb,2023-08-30,2025-12-03
ACCT-00252,Synthetic Account 00252,APAC,software,mid_market,2022-01-09,2025-12-21
ACCT-00253,Synthetic Account 00253,APAC,manufacturing,smb,2024-11-22,2025-12-08
ACCT-00254,Synthetic Account 00254,Europe,software,mid_market,2024-07-31,2025-11-10
ACCT-00255,Synthetic Account 00255,Latin America,manufacturing,smb,2022-08-04,2025-11-02
ACCT-00256,Synthetic Account 00256,Latin America,manufacturing,smb,2022-04-30,2025-11-25
ACCT-00257,Synthetic Account 00257,North America,healthcare,smb,2023-05-24,2025-11-10
ACCT-00258,Synthetic Account 00258,Latin America,healthcare,enterprise,2023-07-07,2025-11-13
ACCT-00259,Synthetic Account 00259,North America,software,mid_market,2024-07-15,2025-12-06
ACCT-00260,Synthetic Account 00260,Latin America,manufacturing,smb,2024-10-05,2025-11-08
ACCT-00261,Synthetic Account 00261,Latin America,finance,smb,2022-03-18,2025-12-27
ACCT-00262,Synthetic Account 00262,APAC,retail,mid_market,2022-10-21,2025-11-13
ACCT-00263,Synthetic Account 00263,Latin America,healthcare,smb,2023-12-05,2025-11-27
ACCT-00264,Synthetic Account 00264,Latin America,finance,mid_market,2023-04-01,2025-11-26
ACCT-00265,Synthetic Account 00265,APAC,retail,mid_market,2025-04-03,2025-11-05
ACCT-00266,Synthetic Account 00266,North America,retail,smb,2024-03-04,2025-12-15
ACCT-00267,Synthetic Account 00267,Europe,software,mid_market,2023-01-23,2025-12-20
ACCT-00268,Synthetic Account 00268,Latin America,manufacturing,mid_market,2024-03-18,2025-11-22
ACCT-00269,Synthetic Account 00269,North America,healthcare,mid_market,2023-06-01,2025-11-17
ACCT-00270,Synthetic Account 00270,Latin America,retail,smb,2023-07-10,2025-12-31
ACCT-00271,Synthetic Account 00271,North America,healthcare,mid_market,2024-05-07,2025-12-02
ACCT-00272,Synthetic Account 00272,APAC,healthcare,mid_market,2023-06-05,2025-12-09
ACCT-00273,Synthetic Account 00273,APAC,software,mid_market,2024-04-15,2025-11-12
ACCT-00274,Synthetic Account 00274,North America,software,enterprise,2023-05-19,2025-11-10
ACCT-00275,Synthetic Account 00275,Europe,retail,enterprise,2023-12-15,2025-12-23
ACCT-00276,Synthetic Account 00276,North America,software,enterprise,2023-08-07,2025-11-27
ACCT-00277,Synthetic Account 00277,Europe,manufacturing,enterprise,2023-11-20,2025-11-18
ACCT-00278,Synthetic Account 00278,Latin America,software,smb,2023-02-20,2025-12-16
ACCT-00279,Synthetic Account 00279,North America,manufacturing,mid_market,2022-05-24,2025-11-05
ACCT-00280,Synthetic Account 00280,Latin America,finance,mid_market,2022-11-04,2025-11-08
ACCT-00281,Synthetic Account 00281,APAC,software,smb,2023-03-04,2025-12-21
ACCT-00282,Synthetic Account 00282,APAC,manufacturing,enterprise,2023-01-15,2025-12-31
ACCT-00283,Synthetic Account 00283,Europe,software,mid_market,2023-05-21,2025-11-27
ACCT-00284,Synthetic Account 00284,Latin America,manufacturing,smb,2023-07-28,2025-11-09
ACCT-00285,Synthetic Account 00285,Europe,software,smb,2022-10-30,2025-11-21
ACCT-00286,Synthetic Account 00286,APAC,healthcare,smb,2023-04-04,2025-11-16
ACCT-00287,Synthetic Account 00287,North America,retail,mid_market,2022-12-05,2025-11-18
ACCT-00288,Synthetic Account 00288,Latin America,finance,smb,2023-12-04,2025-12-23
ACCT-00289,Synthetic Account 00289,APAC,manufacturing,enterprise,2023-07-26,2025-12-27
ACCT-00290,Synthetic Account 00290,North America,healthcare,enterprise,2024-01-28,2025-12-28
ACCT-00291,Synthetic Account 00291,APAC,retail,smb,2023-06-03,2025-11-02
ACCT-00292,Synthetic Account 00292,North America,software,enterprise,2025-04-10,2025-11-04
ACCT-00293,Synthetic Account 00293,Europe,retail,smb,2023-08-05,2025-11-11
ACCT-00294,Synthetic Account 00294,APAC,manufacturing,enterprise,2024-01-09,2025-12-27
ACCT-00295,Synthetic Account 00295,Latin America,finance,mid_market,2023-06-15,2025-11-08
ACCT-00296,Synthetic Account 00296,Europe,healthcare,smb,2024-05-31,2025-11-03
ACCT-00297,Synthetic Account 00297,North America,finance,smb,2023-11-02,2025-11-14
ACCT-00298,Synthetic Account 00298,Europe,finance,smb,2022-04-28,2025-12-06
ACCT-00299,Synthetic Account 00299,Latin America,software,enterprise,2024-05-25,2025-12-26
ACCT-00300,Synthetic Account 00300,Latin America,software,mid_market,2024-07-01,2025-12-10
ACCT-00301,Synthetic Account 00301,North America,healthcare,smb,2023-04-28,2025-12-19
ACCT-00302,Synthetic Account 00302,North America,retail,enterprise,2023-09-03,2025-11-22
ACCT-00303,Synthetic Account 00303,Latin America,retail,smb,2022-01-14,2025-11-09
ACCT-00304,Synthetic Account 00304,APAC,retail,mid_market,2024-11-05,2025-12-02
ACCT-00305,Synthetic Account 00305,APAC,healthcare,mid_market,2024-07-23,2025-12-29
ACCT-00306,Synthetic Account 00306,North America,manufacturing,mid_market,2025-03-11,2025-12-08
ACCT-00307,Synthetic Account 00307,Europe,healthcare,smb,2023-12-21,2025-11-14
ACCT-00308,Synthetic Account 00308,Latin America,healthcare,mid_market,2022-10-04,2025-11-23
ACCT-00309,Synthetic Account 00309,North America,manufacturing,enterprise,2022-12-14,2025-12-29
ACCT-00310,Synthetic Account 00310,North America,finance,smb,2025-01-19,2025-12-10
ACCT-00311,Synthetic Account 00311,Europe,software,enterprise,2022-02-21,2025-12-10
