refund_id,payment_id,customer_id,refund_date,refund_amount,reason
REF-000069,PAY-0045536,CUST-04306,2025-10-17,27.36,customer_request
REF-000070,PAY-0026462,CUST-01192,2025-03-27,56.62,service_credit
REF-000071,PAY-0046456,CUST-02663,2025-05-26,40.16,customer_request
REF-000072,PAY-0040896,CUST-01858,2025-01-19,73.6,customer_request
REF-000073,PAY-0044711,CUST-00472,2025-09-10,50.67,customer_request
REF-000074,PAY-0024835,CUST-04144,2025-06-12,68.37,service_credit
REF-000075,PAY-0004333,CUST-02819,2025-11-19,229.08,customer_request
REF-000076,PAY-0028016,CUST-01403,2025-05-07,30.65,customer_request
REF-000077,PAY-0027285,CUST-03808,2025-09-13,24.76,customer_request
REF-000078,PAY-0022067,CUST-00205,2025-09-17,88.42,service_credit
REF-000079,PAY-0023086,CUST-04803,2025-07-06,49.41,customer_request
REF-000080,PAY-0036464,CUST-03033,2025-09-07,118.72,customer_request
REF-000081,PAY-0008054,CUST-02048,2025-11-03,2.54,customer_request
REF-000082,PAY-0026288,CUST-00406,2025-10-10,71.65,customer_request
REF-000083,PAY-0004800,CUST-04996,2025-04-27,128.81,customer_request
REF-000084,PAY-0023593,CUST-02599,2025-12-23,90.19,customer_request
REF-000085,PAY-0037357,CUST-04588,2025-04-20,59.57,customer_request
REF-000086,PAY-0004490,CUST-03448,2025-12-01,93.69,service_credit
REF-000087,PAY-0019650,CUST-04092,2025-07-23,49.46,customer_request
REF-000088,PAY-0040058,CUST-04070,2025-06-11,34.6,fraud_adjustment
REF-000089,PAY-0009295,CUST-03324,2025-02-08,39.85,customer_request
REF-000090,PAY-0032800,CUST-00598,2025-04-23,22.1,customer_request
REF-000091,PAY-0027866,CUST-01781,2025-09-10,233.92,customer_request
REF-000092,PAY-0043600,CUST-00433,2025-08-07,8.04,customer_request
REF-000093,PAY-0041219,CUST-00521,2025-09-15,15.01,customer_request
REF-000094,PAY-0004542,CUST-00852,2025-01-15,302.67,customer_request
REF-000095,PAY-0013778,CUST-01430,2025-04-23,45.67,service_credit
REF-000096,PAY-0017421,CUST-01363,2025-02-23,162.51,customer_request
REF-000097,PAY-0038347,CUST-01654,2025-12-10,131.38,customer_request
REF-000098,PAY-0005237,CUST-03427,2025-06-12,31.08,customer_request
REF-000099,PAY-0023940,CUST-00484,2025-12-30,155.84,customer_request
REF-000100,PAY-0001900,CUST-03332,2025-12-11,131.82,customer_request
REF-000101,PAY-0026630,CUST-04846,2025-12-07,54.7,service_credit
REF-000102,PAY-0017307,CUST-04609,2025-11-27,169.27,customer_request
REF-000103,PAY-0035002,CUST-01871,2025-06-10,114.88,service_credit
REF-000104,PAY-0028307,CUST-02650,2025-07-13,36.81,customer_request
REF-000105,PAY-0028174,CUST-01680,2025-06-24,42.39,customer_request
REF-000106,PAY-0047632,CUST-00007,2025-06-30,244.16,service_credit
REF-000107,PAY-0025760,CUST-02733,2025-05-13,167.24,customer_request
REF-000108,PAY-0025860,CUST-04952,2025-12-03,133.59,service_credit
REF-000109,PAY-0017273,CUST-04781,2025-06-25,83.55,customer_request
REF-000110,PAY-0034090,CUST-00720,2025-12-07,222.6,customer_request
REF-000111,PAY-0030201,CUST-02543,2025-10-14,107.54,service_credit
REF-000112,PAY-0001205,CUST-04784,2025-11-09,124.64,customer_request
REF-000113,PAY-0039111,CUST-02458,2025-08-19,67.51,customer_request
REF-000114,PAY-0018217,CUST-02954,2025-11-11,49.08,service_credit
REF-000115,PAY-0047556,CUST-01712,2025-02-11,215.9,customer_request
REF-000116,PAY-0004388,CUST-03965,2025-09-18,40.07,service_credit
REF-000117,PAY-0028890,CUST-02668,2025-12-08,27.89,customer_request
REF-000118,PAY-0016587,CUST-02502,2025-10-23,125.39,customer_request
REF-000119,PAY-0004457,CUST-04907,2025-01-27,137.6,customer_request
REF-000120,PAY-0009998,CUST-02265,2025-07-10,340.52,customer_request
REF-000121,PAY-0043680,CUST-03599,2025-03-28,74.96,fraud_adjustment
REF-000122,PAY-0008893,CUST-04640,2025-08-23,50.55,customer_request
REF-000123,PAY-0016757,CUST-00893,2025-06-05,63.72,customer_request
REF-000124,PAY-0010707,CUST-03366,2025-04-19,50.11,customer_request
REF-000125,PAY-0011470,CUST-01537,2025-10-11,225.61,customer_request
REF-000126,PAY-0011720,CUST-00918,2025-01-13,105.22,customer_request
REF-000127,PAY-0046821,CUST-00429,2025-04-30,112.15,customer_request
REF-000128,PAY-0038549,CUST-00711,2025-08-28,79.05,customer_request
REF-000129,PAY-0001718,CUST-00592,2025-12-31,87.79,customer_request
REF-000130,PAY-0003069,CUST-03836,2025-04-04,51.85,customer_request
REF-000131,PAY-0001827,CUST-01653,2025-01-02,246.21,customer_request
REF-000132,PAY-0040276,CUST-01826,2025-08-16,17.41,customer_request
REF-000133,PAY-0022444,CUST-01037,2025-01-22,72.51,customer_request
REF-000134,PAY-0024852,CUST-04016,2025-05-16,83.01,service_credit
REF-000135,PAY-0025833,CUST-04380,2025-10-11,37.87,customer_request
REF-000136,PAY-0016515,CUST-00685,2025-09-09,15.26,customer_request
REF-000137,PAY-0037436,CUST-02913,2025-06-14,127.96,customer_request
REF-000138,PAY-0045876,CUST-03378,2025-06-06,305.79,customer_request
REF-000139,PAY-0031591,CUST-02036,2025-03-28,83.04,customer_request
REF-000140,PAY-0045158,CUST-00303,2025-03-01,127.27,service_credit
REF-000141,PAY-0000678,CUST-02101,2025-04-25,35.63,customer_request
REF-000142,PAY-0018015,CUST-00316,2025-02-19,203.84,customer_request
REF-000143,PAY-0017783,CUST-01972,2025-03-16,168.94,service_credit
REF-000144,PAY-0023589,CUST-00731,2025-11-08,105.09,customer_request
REF-000145,PAY-0035368,CUST-01739,2025-01-01,137.97,service_credit
REF-000146,PAY-0041058,CUST-02306,2025-11-03,136.98,customer_request
REF-000147,PAY-0029036,CUST-02420,2025-03-07,124.91,service_credit
REF-000148,PAY-0042057,CUST-00175,2025-08-24,46.22,customer_request
REF-000149,PAY-0036728,CUST-03012,2025-08-05,248.44,customer_request
REF-000150,PAY-0009606,CUST-00266,2025-03-31,31.14,customer_request
REF-000151,PAY-0046786,CUST-03595,2025-01-22,19.05,customer_request
REF-000152,PAY-0008860,CUST-02390,2025-02-24,27.22,fraud_adjustment
REF-000153,PAY-0038329,CUST-03974,2025-12-11,32.71,customer_request
REF-000154,PAY-0034753,CUST-01235,2025-02-10,19.58,customer_request
REF-000155,PAY-0023644,CUST-04812,2025-10-21,46.14,customer_request
REF-000156,PAY-0006856,CUST-04114,2025-02-02,60.81,service_credit
REF-000157,PAY-0040705,CUST-00788,2025-10-24,35.87,service_credit
REF-000158,PAY-0039113,CUST-03977,2025-04-30,71.72,customer_request
REF-000159,PAY-0011370,CUST-00583,2025-06-04,57.27,customer_request
REF-000160,PAY-0033923,CUST-03867,2025-08-26,96.5,customer_request
REF-000161,PAY-0026745,CUST-02510,2025-11-22,18.34,customer_request
REF-000162,PAY-0025276,CUST-01591,2025-03-24,88.86,service_credit
REF-000163,PAY-0038536,CUST-02721,2025-09-18,114.47,customer_request
REF-000164,PAY-0021637,CUST-01376,2025-12-19,52.82,customer_request
REF-000165,PAY-0044967,CUST-02307,2025-06-23,83.32,customer_request
REF-000166,PAY-0038675,CUST-04428,2025-11-27,216.27,customer_request
REF-000167,PAY-0034022,CUST-00752,2025-06-07,48.34,customer_request
REF-000168,PAY-0005408,CUST-03103,2025-04-07,11.95,customer_request
REF-000169,PAY-0013481,CUST-01746,2025-06-20,194.25,customer_request
REF-000170,PAY-0006812,CUST-02339,2025-03-19,51.15,customer_request
REF-000171,PAY-0009372,CUST-01643,2025-02-14,86.17,service_credit
REF-000172,PAY-0034568,CUST-01288,2025-01-18,36.54,service_credit
REF-000173,PAY-0019690,CUST-00815,2025-10-08,159.86,customer_request
REF-000174,PAY-0015319,CUST-04622,2025-01-07,171.79,customer_request
REF-000175,PAY-0005219,CUST-02976,2025-10-19,283.69,customer_request
REF-000176,PAY-0031655,CUST-04953,2025-10-31,105.46,fraud_adjustment
REF-000177,PAY-0010615,CUST-01336,2025-05-29,81.1,customer_request
REF-000178,PAY-0015852,CUST-04722,2025-08-01,78.7,customer_request
REF-000179,PAY-0020487,CUST-03025,2025-10-23,143.1,customer_request
REF-000180,PAY-0047547,CUST-04940,2025-07-05,147.75,service_credit
REF-000181,PAY-0014793,CUST-04983,2025-04-27,154.56,service_credit
REF-000182,PAY-0024209,CUST-04433,2025-07-20,76.95,customer_request
REF-000183,PAY-0035056,CUST-00640,2025-11-06,75.09,service_credit
REF-000184,PAY-0012728,CUST-01457,2025-02-24,14.32,customer_request
REF-000185,PAY-0018466,CUST-04502,2025-05-26,179.0,customer_request
REF-000186,PAY-0040314,CUST-02238,2025-02-16,106.33,customer_request
REF-000187,PAY-0003865,CUST-04832,2025-03-23,45.81,service_credit
REF-000188,PAY-0027233,CUST-02433,2025-12-27,71.18,customer_request
REF-000189,PAY-0022425,CUST-04040,2025-08-08,90.04,customer_request
REF-000190,PAY-0044016,CUST-01743,2025-03-14,19.75,fraud_adjustment
REF-000191,PAY-0045836,CUST-03021,2025-04-06,284.68,service_credit
REF-000192,PAY-0030683,CUST-02727,2025-02-16,166.91,customer_request
REF-000193,PAY-0004168,CUST-00595,2025-05-09,46.89,customer_request
REF-000194,PAY-0024510,CUST-03185,2025-02-27,223.71,customer_request
REF-000195,PAY-0002689,CUST-04671,2025-01-09,39.38,customer_request
REF-000196,PAY-0027141,CUST-00638,2025-12-26,116.99,customer_request
REF-000197,PAY-0000524,CUST-04022,2025-06-20,117.45,customer_request
REF-000198,PAY-0022780,CUST-03472,2025-06-28,50.81,customer_request
REF-000199,PAY-0035585,CUST-00692,2025-08-21,301.38,customer_request
REF-000200,PAY-0010601,CUST-02442,2025-01-17,253.93,customer_request
REF-000201,PAY-0014031,CUST-00189,2025-03-19,76.0,customer_request
REF-000202,PAY-0025617,CUST-01583,2025-08-17,144.83,customer_request
REF-000203,PAY-0006999,CUST-03128,2025-08-25,66.98,service_credit
REF-000204,PAY-0034544,CUST-03950,2025-01-23,67.98,customer_request
REF-000205,PAY-0038468,CUST-01247,2025-02-20,24.31,customer_request
REF-000206,PAY-0007293,CUST-03730,2025-02-14,51.65,customer_request
REF-000207,PAY-0031873,CUST-04891,2025-10-25,59.83,customer_request
REF-000208,PAY-0035764,CUST-01208,2025-09-04,339.91,customer_request
REF-000209,PAY-0021889,CUST-01086,2025-01-11,81.36,customer_request
REF-000210,PAY-0016736,CUST-01228,2025-11-09,107.18,customer_request
REF-000211,PAY-0041674,CUST-00682,2025-10-04,135.46,customer_request
REF-000212,PAY-0010547,CUST-03905,2025-11-13,118.22,service_credit
REF-000213,PAY-0027680,CUST-04933,2025-02-03,180.81,service_credit
REF-000214,PAY-0031151,CUST-04651,2025-10-22,116.21,customer_request
REF-000215,PAY-0019429,CUST-00640,2025-05-01,3.48,customer_request
REF-000216,PAY-0008315,CUST-03088,2025-09-26,86.86,service_credit
REF-000217,PAY-0034520,CUST-02510,2025-01-10,160.91,service_credit
REF-000218,PAY-0010815,CUST-00752,2025-03-08,48.38,customer_request
REF-000219,PAY-0020803,CUST-01217,2025-04-21,209.17,fraud_adjustment
REF-000220,PAY-0006931,CUST-02475,2025-06-14,169.79,customer_request
REF-000221,PAY-0046205,CUST-02618,2025-09-11,50.88,customer_request
REF-000222,PAY-0032581,CUST-01220,2025-11-23,160.11,customer_request
REF-000223,PAY-0016480,CUST-01388,2025-10-12,111.46,service_credit
REF-000224,PAY-0029145,CUST-04625,2025-06-24,61.3,service_credit
REF-000225,PAY-0005006,CUST-04229,2025-07-24,69.69,fraud_adjustment
REF-000226,PAY-0000425,CUST-01993,2025-07-14,74.75,customer_request
REF-000227,PAY-0023905,CUST-02501,2025-08-28,309.51,customer_request
REF-000228,PAY-0009881,CUST-03174,2025-03-29,4.14,customer_request
REF-000229,PAY-0006980,CUST-04159,2025-11-02,96.63,service_credit
REF-000230,PAY-0016772,CUST-00581,2025-07-21,64.85,service_credit
REF-000231,PAY-0004486,CUST-03314,2025-08-08,77.67,fraud_adjustment
REF-000232,PAY-0011531,CUST-00124,2025-01-09,162.26,customer_request
REF-000233,PAY-0004471,CUST-00671,2025-06-19,130.6,customer_request
REF-000234,PAY-0011623,CUST-03530,2025-12-11,18.97,customer_request
REF-000235,PAY-0012503,CUST-02403,2025-06-02,215.25,customer_request
REF-000236,PAY-0025077,CUST-01755,2025-08-09,80.31,service_credit
REF-000237,PAY-0022998,CUST-02417,2025-01-09,13.45,service_credit
REF-000238,PAY-0010527,CUST-01791,2025-10-20,5.23,customer_request
REF-000239,PAY-0029745,CUST-03175,2025-08-03,96.4,customer_request
REF-000240,PAY-0002923,CUST-03525,2025-12-29,113.04,customer_request
REF-000241,PAY-0043227,CUST-00303,2025-07-09,19.15,customer_request
REF-000242,PAY-0005535,CUST-00892,2025-04-10,35.31,customer_request
REF-000243,PAY-0038596,CUST-03964,2025-07-13,45.19,service_credit
REF-000244,PAY-0020166,CUST-02796,2025-03-12,194.18,customer_request
REF-000245,PAY-0026161,CUST-00928,2025-10-21,182.22,customer_request
REF-000246,PAY-0000287,CUST-04777,2025-09-04,137.25,customer_request
REF-000247,PAY-0019525,CUST-04731,2025-12-20,124.24,customer_request
REF-000248,PAY-0047040,CUST-01635,2025-12-18,398.28,customer_request
REF-000249,PAY-0045542,CUST-02803,2025-07-27,30.41,service_credit
REF-000250,PAY-0031847,CUST-03500,2025-04-23,40.88,customer_request
REF-000251,PAY-0000973,CUST-03085,2025-06-14,103.97,customer_request
REF-000252,PAY-0034950,CUST-03497,2025-09-13,216.21,customer_request
REF-000253,PAY-0001440,CUST-02644,2025-01-26,65.12,fraud_adjustment
REF-000254,PAY-0033538,CUST-03024,2025-05-06,56.6,customer_request
REF-000255,PAY-0004022,CUST-02342,2025-06-02,125.65,customer_request
REF-000256,PAY-0023114,CUST-01593,2025-10-02,281.19,customer_request
REF-000257,PAY-0046926,CUST-02692,2025-10-01,84.79,customer_request
REF-000258,PAY-0002487,CUST-04686,2025-02-04,151.23,customer_request
REF-000259,PAY-0042260,CUST-00854,2025-09-08,24.19,fraud_adjustment
REF-000260,PAY-0023349,CUST-01674,2025-08-25,38.18,customer_request
REF-000261,PAY-0019873,CUST-03262,2025-04-03,201.8,customer_request
REF-000262,PAY-0014753,CUST-02038,2025-02-05,59.92,customer_request
REF-000263,PAY-0040498,CUST-03453,2025-06-03,72.46,customer_request
REF-000264,PAY-0040984,CUST-04175,2025-12-23,49.09,service_credit
REF-000265,PAY-0000526,CUST-02580,2025-11-25,95.41,customer_request
REF-000266,PAY-0003316,CUST-04830,2025-11-06,160.83,customer_request
REF-000267,PAY-0017751,CUST-03846,2025-01-20,145.97,customer_request
REF-000268,PAY-0016942,CUST-01452,2025-11-23,163.83,service_credit
REF-000269,PAY-0012742,CUST-00702,2025-09-05,329.99,service_credit
REF-000270,PAY-0020329,CUST-00547,2025-05-10,49.41,service_credit
REF-000271,PAY-0031935,CUST-01406,2025-10-15,85.67,customer_request
REF-000272,PAY-0045007,CUST-02930,2025-06-21,92.13,customer_request
REF-000273,PAY-0014436,CUST-01802,2025-05-10,157.78,customer_request
REF-000274,PAY-0013915,CUST-00394,2025-04-09,44.42,service_credit
REF-000275,PAY-0020891,CUST-02520,2025-05-16,433.61,customer_request
REF-000276,PAY-0036845,CUST-01576,2025-07-16,52.76,service_credit
REF-000277,PAY-0018544,CUST-01244,2025-05-20,154.74,customer_request
REF-000278,PAY-0017240,CUST-02770,2025-08-12,74.03,customer_request
REF-000279,PAY-0027421,CUST-04751,2025-10-10,34.11,fraud_adjustment
REF-000280,PAY-0025595,CUST-01823,2025-02-12,115.21,fraud_adjustment
REF-000281,PAY-0029495,CUST-01159,2025-10-16,43.0,customer_request
REF-000282,PAY-0029455,CUST-02935,2025-02-02,109.29,customer_request
REF-000283,PAY-0035537,CUST-02110,2025-11-09,70.83,service_credit
REF-000284,PAY-0026711,CUST-04817,2025-05-02,38.98,customer_request
REF-000285,PAY-0009878,CUST-00936,2025-02-03,39.07,customer_request
REF-000286,PAY-0028887,CUST-04877,2025-06-22,99.18,customer_request
REF-000287,PAY-0006750,CUST-03429,2025-03-26,71.88,customer_request
REF-000288,PAY-0046689,CUST-03078,2025-02-07,223.84,service_credit
REF-000289,PAY-0015461,CUST-02239,2025-05-22,14.53,customer_request
REF-000290,PAY-0046508,CUST-02075,2025-05-07,127.86,customer_request
REF-000291,PAY-0047886,CUST-03218,2025-01-21,144.43,customer_request
REF-000292,PAY-0008452,CUST-03524,2025-10-01,205.84,customer_request
REF-000293,PAY-0036331,CUST-00156,2025-03-29,192.81,customer_request
REF-000294,PAY-0033159,CUST-00875,2025-04-19,26.34,customer_request
REF-000295,PAY-0025232,CUST-04359,2025-07-21,60.29,customer_request
REF-000296,PAY-0019330,CUST-01686,2025-12-04,31.03,customer_request
REF-000297,PAY-0043118,CUST-04147,2025-10-25,80.95,service_credit
REF-000298,PAY-0035411,CUST-02387,2025-07-21,80.98,customer_request
REF-000299,PAY-0041455,CUST-03428,2025-11-21,31.23,service_credit
REF-000300,PAY-0032037,CUST-00284,2025-10-15,52.48,customer_request
REF-000301,PAY-0010306,CUST-00034,2025-06-28,20.04,customer_request
REF-000302,PAY-0023421,CUST-02827,2025-11-30,70.76,customer_request
REF-000303,PAY-0016002,CUST-01345,2025-08-26,191.51,service_credit
REF-000304,PAY-0011389,CUST-00640,2025-03-04,110.14,customer_request
REF-000305,PAY-0038346,CUST-01231,2025-03-07,45.09,service_credit
REF-000306,PAY-0006080,CUST-04029,2025-06-15,158.98,customer_request
REF-000307,PAY-0023229,CUST-04445,2025-05-28,113.11,customer_request
REF-000308,PAY-0012530,CUST-00572,2025-08-12,57.19,customer_request
REF-000309,PAY-0007848,CUST-00769,2025-05-16,164.31,customer_request
REF-000310,PAY-0029788,CUST-04341,2025-08-28,433.19,service_credit
REF-000311,PAY-0012084,CUST-00186,2025-05-07,275.81,fraud_adjustment
REF-000312,PAY-0045491,CUST-00460,2025-09-30,76.29,customer_request
REF-000313,PAY-0019612,CUST-02266,2025-05-26,72.69,service_credit
REF-000314,PAY-0007119,CUST-01725,2025-09-04,50.16,customer_request
REF-000315,PAY-0026347,CUST-01580,2025-12-27,4.31,customer_request
REF-000316,PAY-0003913,CUST-00744,2025-08-30,34.39,customer_request
REF-000317,PAY-0033594,CUST-04341,2025-02-06,97.43,service_credit
REF-000318,PAY-0031965,CUST-02902,2025-08-14,99.15,customer_request
REF-000319,PAY-0000231,CUST-00003,2025-01-25,6.87,service_credit
REF-000320,PAY-0004697,CUST-04324,2025-12-17,140.11,customer_request
REF-000321,PAY-0043618,CUST-03166,2025-05-20,192.29,customer_request
REF-000322,PAY-0003113,CUST-03918,2025-07-05,136.35,customer_request
REF-000323,PAY-0021853,CUST-01770,2025-09-19,69.64,service_credit
REF-000324,PAY-0044346,CUST-01369,2025-04-26,123.14,customer_request
REF-000325,PAY-0026183,CUST-02741,2025-09-12,78.58,service_credit
REF-000326,PAY-0034263,CUST-00288,2025-08-25,245.57,customer_request
REF-000327,PAY-0037936,CUST-04810,2025-06-17,12.03,customer_request
REF-000328,PAY-0040866,CUST-00216,2025-06-02,71.7,service_credit
REF-000329,PAY-0034821,CUST-00122,2025-02-19,77.74,service_credit
REF-000330,PAY-0011528,CUST-02057,2025-09-14,169.14,customer_request
REF-000331,PAY-0024613,CUST-01431,2025-06-20,93.97,customer_request
REF-000332,PAY-0001707,CUST-02491,2025-02-14,137.64,customer_request
REF-000333,PAY-0015927,CUST-01059,2025-04-13,100.56,fraud_adjustment
REF-000334,PAY-0047902,CUST-03573,2025-12-22,87.71,customer_request
REF-000335,PAY-0030052,CUST-02958,2025-11-04,65.4,customer_request
REF-000336,PAY-0047024,CUST-02124,2025-02-16,235.55,service_credit
REF-000337,PAY-0044255,CUST-04345,2025-12-03,14.15,service_credit
REF-000338,PAY-0014469,CUST-02209,2025-11-04,59.4,customer_request
REF-000339,PAY-0031932,CUST-01762,2025-07-11,66.09,customer_request
REF-000340,PAY-0006688,CUST-02638,2025-12-15,59.92,customer_request
REF-000341,PAY-0035319,CUST-03442,2025-11-11,74.82,customer_request
REF-000342,PAY-0030804,CUST-02229,2025-11-17,88.08,service_credit
REF-000343,PAY-0007135,CUST-03500,2025-01-08,66.59,customer_request
REF-000344,PAY-0014703,CUST-01697,2025-11-18,98.89,service_credit
REF-000345,PAY-0043837,CUST-04984,2025-04-20,130.63,service_credit
REF-000346,PAY-0024917,CUST-03547,2025-07-23,68.04,customer_request
REF-000347,PAY-0023652,CUST-01877,2025-08-24,169.36,customer_request
REF-000348,PAY-0012810,CUST-03949,2025-12-06,100.75,customer_request
REF-000349,PAY-0020169,CUST-01746,2025-01-22,106.01,customer_request
REF-000350,PAY-0020013,CUST-02833,2025-12-20,226.7,customer_request
REF-000351,PAY-0013473,CUST-00455,2025-10-10,47.89,fraud_adjustment
REF-000352,PAY-0030799,CUST-01277,2025-01-05,142.6,fraud_adjustment
REF-000353,PAY-0017294,CUST-02480,2025-09-10,60.36,customer_request
REF-000354,PAY-0017607,CUST-03887,2025-07-26,51.45,service_credit
REF-000355,PAY-0036259,CUST-01700,2025-12-23,39.33,customer_request
REF-000356,PAY-0001431,CUST-01759,2025-08-23,4.6,service_credit
REF-000357,PAY-0007577,CUST-03262,2025-09-19,28.46,customer_request
REF-000358,PAY-0024923,CUST-04407,2025-04-29,288.39,customer_request
REF-000359,PAY-0009077,CUST-00652,2025-03-01,73.42,customer_request
REF-000360,PAY-0045663,CUST-01953,2025-06-06,82.15,service_credit
REF-000361,PAY-0032921,CUST-03375,2025-03-29,152.59,customer_request
REF-000362,PAY-0013463,CUST-02540,2025-09-18,115.75,fraud_adjustment
REF-000363,PAY-0002967,CUST-02350,2025-06-13,78.23,service_credit
REF-000364,PAY-0007767,CUST-01984,2025-02-15,113.4,customer_request
REF-000365,PAY-0026755,CUST-04006,2025-10-05,93.4,customer_request
REF-000366,PAY-0028137,CUST-01521,2025-09-29,43.72,customer_request
REF-000367,PAY-0038469,CUST-04213,2025-10-30,16.81,service_credit
REF-000368,PAY-0046984,CUST-02285,2025-04-17,52.0,customer_request
REF-000369,PAY-0017504,CUST-01183,2025-03-28,129.36,service_credit
REF-000370,PAY-0002294,CUST-04652,2025-04-18,296.84,service_credit
REF-000371,PAY-0016205,CUST-03343,2025-07-11,41.13,customer_request
REF-000372,PAY-0026002,CUST-02704,2025-11-02,73.51,fraud_adjustment
REF-000373,PAY-0007510,CUST-02020,2025-09-14,30.47,customer_request
REF-000374,PAY-0042176,CUST-00252,2025-12-15,112.93,service_credit
