customer_id,account_id,region,channel,status,created_at,updated_at
CUST-00081,ACCT-05642,Europe,self_serve,active,2023-06-20,2025-12-08
CUST-00082,ACCT-02623,APAC,self_serve,inactive,2023-10-18,2025-12-19
CUST-00083,ACCT-00965,North America,self_serve,active,2023-06-04,2025-12-22
CUST-00084,ACCT-04997,Europe,self_serve,inactive,2024-05-12,2025-12-07
CUST-00085,ACCT-03779,APAC,self_serve,active,2023-01-25,2025-12-28
CUST-00086,ACCT-04202,Europe,sales_led,active,2023-03-16,2025-12-28
CUST-00087,ACCT-00584,Latin America,partner,active,2024-03-27,2025-12-30
CUST-00088,ACCT-01875,North America,sales_led,trial,2024-05-06,2025-12-16
CUST-00089,ACCT-04608,North America,sales_led,active,2023-10-24,2025-12-29
CUST-00090,ACCT-04994,APAC,self_serve,active,2024-01-24,2025-12-14
CUST-00091,ACCT-02612,Latin America,self_serve,active,2024-01-10,2025-12-26
CUST-00092,ACCT-04829,Europe,marketplace,inactive,2024-11-13,2025-12-05
CUST-00093,ACCT-05051,North America,partner,inactive,2024-02-06,2025-12-19
CUST-00094,ACCT-02325,Latin America,self_serve,inactive,2025-02-02,2025-12-29
CUST-00095,ACCT-05389,Europe,marketplace,active,2023-07-15,2025-12-11
CUST-00096,ACCT-01730,North America,marketplace,inactive,2023-06-29,2025-12-21
CUST-00097,ACCT-01438,APAC,marketplace,active,2023-12-30,2025-12-24
CUST-00098,ACCT-04095,Europe,self_serve,active,2023-03-15,2025-12-12
CUST-00099,ACCT-03821,Latin America,partner,active,2024-08-26,2025-12-03
CUST-00100,ACCT-00839,Europe,marketplace,active,2023-12-18,2025-12-02
CUST-00101,ACCT-04997,APAC,marketplace,trial,2023-11-26,2025-12-18
CUST-00102,ACCT-01200,APAC,self_serve,trial,2024-04-25,2025-12-06
CUST-00103,ACCT-04830,North America,marketplace,active,2023-03-15,2025-12-25
CUST-00104,ACCT-00045,Europe,sales_led,active,2023-12-06,2025-12-06
CUST-00105,ACCT-04782,North America,sales_led,inactive,2025-05-24,2025-12-03
CUST-00106,ACCT-04722,APAC,partner,trial,2024-07-19,2025-12-16
CUST-00107,ACCT-04683,Latin America,marketplace,inactive,2024-05-31,2025-12-16
CUST-00108,ACCT-03990,Latin America,self_serve,active,2024-03-31,2025-12-15
CUST-00109,ACCT-02830,Europe,partner,active,2024-02-26,2025-12-29
CUST-00110,ACCT-04231,Europe,marketplace,inactive,2025-04-22,2025-12-06
CUST-00111,ACCT-01663,APAC,partner,inactive,2025-04-17,2025-12-09
CUST-00112,ACCT-04685,APAC,sales_led,inactive,2024-01-04,2025-12-05
CUST-00113,ACCT-03334,Latin America,self_serve,active,2025-04-12,2025-12-28
CUST-00114,ACCT-02754,North America,partner,active,2023-03-16,2025-12-07
CUST-00115,ACCT-03034,North America,partner,active,2023-10-15,2025-12-21
CUST-00116,ACCT-03413,Europe,partner,inactive,2023-09-29,2025-12-07
CUST-00117,ACCT-00224,Europe,marketplace,active,2024-09-19,2025-12-02
CUST-00118,ACCT-00839,Europe,partner,active,2024-06-29,2025-12-05
CUST-00119,ACCT-01473,Latin America,partner,active,2024-03-01,2025-12-04
CUST-00120,ACCT-00688,North America,self_serve,inactive,2023-08-19,2025-12-28
CUST-00121,ACCT-02638,Latin America,partner,active,2024-04-01,2025-12-22
CUST-00122,ACCT-04011,APAC,self_serve,inactive,2023-08-31,2025-12-23
CUST-00123,ACCT-03927,APAC,partner,active,2024-03-23,2025-12-16
CUST-00124,ACCT-02827,APAC,self_serve,active,2023-11-02,2025-12-02
CUST-00125,ACCT-05131,North America,marketplace,active,2025-03-10,2025-12-11
CUST-00126,ACCT-03392,APAC,sales_led,active,2024-11-02,2025-12-15
CUST-00127,ACCT-00476,North America,sales_led,trial,2023-06-07,2025-12-07
CUST-00128,ACCT-04590,APAC,self_serve,inactive,2025-04-26,2025-12-26
CUST-00129,ACCT-03448,APAC,self_serve,active,2024-08-15,2025-12-12
CUST-00130,ACCT-03809,APAC,marketplace,inactive,2023-11-12,2025-12-16
CUST-00131,ACCT-03393,Europe,sales_led,active,2024-04-22,2025-12-25
CUST-00132,ACCT-03322,Europe,partner,active,2023-06-25,2025-12-12
CUST-00133,ACCT-00544,Europe,marketplace,inactive,2023-02-12,2025-12-06
CUST-00134,ACCT-03356,North America,partner,active,2024-01-14,2025-12-07
CUST-00135,ACCT-04770,APAC,self_serve,active,2024-12-04,2025-12-06
CUST-00136,ACCT-01824,North America,sales_led,active,2023-11-13,2025-12-07
CUST-00137,ACCT-03618,Europe,sales_led,active,2023-12-12,2025-12-17
CUST-00138,ACCT-00185,APAC,sales_led,trial,2025-06-10,2025-12-30
CUST-00139,ACCT-02085,North America,self_serve,active,2025-06-07,2025-12-03
CUST-00140,ACCT-02621,Latin America,partner,active,2024-02-22,2025-12-18
CUST-00141,ACCT-05897,Europe,sales_led,active,2023-02-09,2025-12-13
CUST-00142,ACCT-01288,North America,sales_led,inactive,2024-09-03,2025-12-31
CUST-00143,ACCT-01660,APAC,sales_led,active,2024-10-05,2025-12-05
CUST-00144,ACCT-02452,APAC,sales_led,active,2025-04-02,2025-12-05
CUST-00145,ACCT-05956,APAC,self_serve,active,2025-05-03,2025-12-04
CUST-00146,ACCT-05121,Latin America,sales_led,active,2024-07-20,2025-12-26
CUST-00147,ACCT-00209,Europe,marketplace,active,2023-04-07,2025-12-06
CUST-00148,ACCT-01404,Latin America,partner,active,2023-08-13,2025-12-13
CUST-00149,ACCT-04931,Europe,partner,active,2024-10-07,2025-12-27
CUST-00150,ACCT-00350,APAC,marketplace,active,2024-06-30,2025-12-14
CUST-00151,ACCT-05135,North America,partner,inactive,2024-01-28,2025-12-17
CUST-00152,ACCT-01689,APAC,self_serve,active,2023-12-28,2025-12-13
CUST-00153,ACCT-05506,Europe,sales_led,active,2024-09-30,2025-12-29
CUST-00154,ACCT-01762,APAC,sales_led,active,2024-01-16,2025-12-15
CUST-00155,ACCT-02606,Latin America,sales_led,active,2023-05-20,2025-12-11
CUST-00156,ACCT-03972,Latin America,self_serve,inactive,2025-05-31,2025-12-10
CUST-00157,ACCT-00758,Latin America,self_serve,inactive,2023-11-11,2025-12-08
CUST-00158,ACCT-03343,North America,sales_led,inactive,2023-09-08,2025-12-13
CUST-00159,ACCT-03031,North America,marketplace,active,2023-03-04,2025-12-10
CUST-00160,ACCT-04704,Latin America,partner,active,2024-02-27,2025-12-29
CUST-00161,ACCT-05977,Europe,marketplace,active,2025-06-06,2025-12-08
CUST-00162,ACCT-03986,North America,self_serve,trial,2023-05-24,2025-12-20
CUST-00163,ACCT-02456,Europe,sales_led,active,2023-08-09,2025-12-15
CUST-00164,ACCT-02439,Latin America,partner,trial,2023-06-10,2025-12-15
CUST-00165,ACCT-02508,Europe,sales_led,active,2023-03-26,2025-12-02
CUST-00166,ACCT-04885,North America,sales_led,active,2024-06-27,2025-12-22
CUST-00167,ACCT-01928,APAC,sales_led,inactive,2023-09-26,2025-12-20
CUST-00168,ACCT-01002,North America,self_serve,active,2024-11-06,2025-12-09
CUST-00169,ACCT-02006,Europe,marketplace,active,2023-12-27,2025-12-12
CUST-00170,ACCT-00137,North America,marketplace,active,2024-07-26,2025-12-22
CUST-00171,ACCT-00637,APAC,self_serve,trial,2023-03-22,2025-12-21
CUST-00172,ACCT-00541,Europe,sales_led,active,2023-10-24,2025-12-07
CUST-00173,ACCT-04630,Latin America,partner,trial,2024-01-08,2025-12-06
CUST-00174,ACCT-04335,Europe,marketplace,active,2023-02-23,2025-12-27
CUST-00175,ACCT-04181,North America,marketplace,active,2024-01-13,2025-12-20
CUST-00176,ACCT-02772,North America,sales_led,active,2024-02-28,2025-12-08
CUST-00177,ACCT-04303,North America,partner,active,2023-12-30,2025-12-28
CUST-00178,ACCT-00968,Europe,marketplace,trial,2024-03-29,2025-12-26
CUST-00179,ACCT-05404,North America,marketplace,inactive,2024-12-18,2025-12-27
CUST-00180,ACCT-03007,Europe,sales_led,trial,2024-11-24,2025-12-16
CUST-00181,ACCT-05629,Latin America,marketplace,trial,2023-01-13,2025-12-18
CUST-00182,ACCT-00914,Latin America,sales_led,active,2024-07-30,2025-12-22
CUST-00183,ACCT-02984,APAC,self_serve,active,2025-03-24,2025-12-27
CUST-00184,ACCT-04178,Latin America,marketplace,inactive,2025-02-23,2025-12-12
CUST-00185,ACCT-02974,Latin America,marketplace,active,2023-10-19,2025-12-07
CUST-00186,ACCT-02677,APAC,sales_led,inactive,2024-12-05,2025-12-25
CUST-00187,ACCT-00998,Latin America,sales_led,active,2024-12-21,2025-12-12
CUST-00188,ACCT-02287,North America,sales_led,active,2023-11-26,2025-12-08
CUST-00189,ACCT-01433,Latin America,self_serve,active,2025-02-21,2025-12-15
CUST-00190,ACCT-01810,Europe,marketplace,active,2024-07-22,2025-12-14
CUST-00191,ACCT-04103,APAC,self_serve,active,2024-11-06,2025-12-26
CUST-00192,ACCT-03782,Latin America,partner,active,2024-11-03,2025-12-03
CUST-00193,ACCT-03644,Europe,self_serve,active,2024-12-04,2025-12-03
CUST-00194,ACCT-02171,North America,partner,active,2025-05-11,2025-12-10
CUST-00195,ACCT-05759,Europe,marketplace,active,2025-02-10,2025-12-04
CUST-00196,ACCT-00526,Europe,partner,active,2024-01-16,2025-12-13
CUST-00197,ACCT-02056,Latin America,partner,active,2024-05-20,2025-12-12
CUST-00198,ACCT-00709,Latin America,marketplace,inactive,2024-08-06,2025-12-07
CUST-00199,ACCT-02034,APAC,marketplace,active,2025-02-09,2025-12-30
CUST-00200,ACCT-05772,Latin America,marketplace,active,2023-12-20,2025-12-25
CUST-00201,ACCT-02198,Europe,self_serve,active,2023-10-09,2025-12-25
CUST-00202,ACCT-05452,Europe,partner,active,2024-10-26,2025-12-13
CUST-00203,ACCT-02971,Latin America,marketplace,active,2025-05-08,2025-12-24
CUST-00204,ACCT-04199,APAC,sales_led,active,2025-03-31,2025-12-20
CUST-00205,ACCT-02745,APAC,partner,active,2023-05-14,2025-12-17
CUST-00206,ACCT-01596,Europe,self_serve,active,2025-04-07,2025-12-09
CUST-00207,ACCT-04586,APAC,marketplace,active,2024-12-11,2025-12-16
CUST-00208,ACCT-05816,Latin America,partner,active,2023-05-22,2025-12-31
CUST-00209,ACCT-01582,Europe,partner,active,2023-01-06,2025-12-11
CUST-00210,ACCT-04673,North America,marketplace,active,2023-07-03,2025-12-19
CUST-00211,ACCT-01567,North America,self_serve,active,2025-04-16,2025-12-28
CUST-00212,ACCT-04302,North America,sales_led,inactive,2024-11-10,2025-12-12
CUST-00213,ACCT-04735,Europe,marketplace,active,2024-06-01,2025-12-23
CUST-00214,ACCT-02697,APAC,self_serve,active,2024-07-21,2025-12-18
CUST-00215,ACCT-04422,Latin America,marketplace,active,2024-01-07,2025-12-02
CUST-00216,ACCT-01634,North America,sales_led,active,2025-03-25,2025-12-24
CUST-00217,ACCT-00476,Latin America,partner,active,2023-05-21,2025-12-05
CUST-00218,ACCT-00579,APAC,partner,inactive,2023-10-10,2025-12-18
CUST-00219,ACCT-02683,North America,partner,inactive,2023-06-30,2025-12-04
CUST-00220,ACCT-05416,Europe,marketplace,active,2025-02-02,2025-12-06
CUST-00221,ACCT-00766,Europe,sales_led,active,2024-05-01,2025-12-07
CUST-00222,ACCT-02735,Latin America,self_serve,inactive,2024-09-07,2025-12-25
CUST-00223,ACCT-04225,Latin America,sales_led,active,2025-04-07,2025-12-08
CUST-00224,ACCT-01215,Latin America,partner,active,2023-06-25,2025-12-20
CUST-00225,ACCT-04330,APAC,marketplace,inactive,2025-05-17,2025-12-04
CUST-00226,ACCT-01836,Europe,marketplace,active,2023-04-24,2025-12-02
CUST-00227,ACCT-04852,Europe,sales_led,active,2024-11-09,2025-12-13
CUST-00228,ACCT-03476,Latin America,marketplace,active,2024-09-24,2025-12-04
CUST-00229,ACCT-03282,North America,self_serve,active,2025-01-12,2025-12-16
CUST-00230,ACCT-01061,Europe,self_serve,active,2023-05-23,2025-12-30
CUST-00231,ACCT-02780,North America,self_serve,active,2025-05-13,2025-12-05
CUST-00232,ACCT-05140,Europe,marketplace,active,2024-12-15,2025-12-16
CUST-00233,ACCT-00118,Europe,self_serve,active,2023-04-10,2025-12-30
CUST-00234,ACCT-04552,North America,partner,active,2024-05-16,2025-12-30
CUST-00235,ACCT-02957,Europe,marketplace,inactive,2025-01-05,2025-12-10
CUST-00236,ACCT-04317,Latin America,marketplace,active,2024-03-05,2025-12-04
CUST-00237,ACCT-03980,APAC,marketplace,active,2023-12-09,2025-12-11
CUST-00238,ACCT-02593,Latin America,self_serve,active,2023-09-05,2025-12-18
CUST-00239,ACCT-01853,Latin America,sales_led,active,2024-04-09,2025-12-22
CUST-00240,ACCT-03764,Latin America,partner,active,2025-06-04,2025-12-19
CUST-00241,ACCT-00842,Europe,partner,active,2024-06-30,2025-12-22
CUST-00242,ACCT-03505,Latin America,partner,active,2024-10-11,2025-12-23
CUST-00243,ACCT-00569,Latin America,partner,inactive,2024-12-02,2025-12-28
CUST-00244,ACCT-03900,Latin America,sales_led,inactive,2024-12-01,2025-12-14
CUST-00245,ACCT-03773,Europe,self_serve,inactive,2023-12-27,2025-12-25
CUST-00246,ACCT-00507,North America,sales_led,active,2024-11-22,2025-12-27
CUST-00247,ACCT-04545,APAC,sales_led,active,2023-10-23,2025-12-23
CUST-00248,ACCT-02495,Latin America,partner,active,2024-06-09,2025-12-08
CUST-00249,ACCT-04722,Latin America,marketplace,active,2023-09-30,2025-12-14
CUST-00250,ACCT-00250,APAC,partner,inactive,2025-04-25,2025-12-17
CUST-00251,ACCT-01077,North America,partner,inactive,2024-10-19,2025-12-14
CUST-00252,ACCT-02964,Europe,self_serve,active,2024-06-09,2025-12-15
CUST-00253,ACCT-01130,APAC,partner,inactive,2024-02-11,2025-12-17
CUST-00254,ACCT-01980,APAC,sales_led,inactive,2024-04-13,2025-12-06
CUST-00255,ACCT-03964,Europe,self_serve,active,2024-12-02,2025-12-10
CUST-00256,ACCT-00868,Europe,self_serve,inactive,2023-09-04,2025-12-26
CUST-00257,ACCT-04067,North America,marketplace,active,2025-01-15,2025-12-07
CUST-00258,ACCT-00621,Europe,marketplace,active,2023-09-11,2025-12-26
CUST-00259,ACCT-01052,APAC,partner,active,2023-05-08,2025-12-29
CUST-00260,ACCT-03526,North America,marketplace,active,2024-10-25,2025-12-19
CUST-00261,ACCT-04761,Latin America,self_serve,active,2024-09-29,2025-12-20
CUST-00262,ACCT-01024,North America,sales_led,trial,2023-10-29,2025-12-08
CUST-00263,ACCT-01800,APAC,marketplace,active,2024-08-06,2025-12-11
CUST-00264,ACCT-05551,Europe,self_serve,active,2024-10-17,2025-12-30
CUST-00265,ACCT-05939,Latin America,partner,active,2024-12-10,2025-12-17
CUST-00266,ACCT-03487,Latin America,self_serve,active,2025-05-07,2025-12-08
CUST-00267,ACCT-02683,APAC,sales_led,active,2025-02-07,2025-12-10
CUST-00268,ACCT-02082,APAC,sales_led,active,2024-01-31,2025-12-16
CUST-00269,ACCT-03675,APAC,sales_led,trial,2023-07-27,2025-12-13
CUST-00270,ACCT-03546,APAC,marketplace,active,2023-03-29,2025-12-15
CUST-00271,ACCT-01769,North America,marketplace,active,2024-05-31,2025-12-25
CUST-00272,ACCT-00137,Europe,partner,active,2024-08-22,2025-12-15
CUST-00273,ACCT-00909,North America,partner,active,2024-09-13,2025-12-11
CUST-00274,ACCT-05752,Europe,self_serve,trial,2023-01-09,2025-12-30
CUST-00275,ACCT-02509,APAC,self_serve,active,2024-09-23,2025-12-11
CUST-00276,ACCT-02894,North America,self_serve,active,2024-12-09,2025-12-24
CUST-00277,ACCT-02803,North America,marketplace,active,2024-10-11,2025-12-31
CUST-00278,ACCT-04697,Latin America,self_serve,inactive,2024-04-18,2025-12-09
CUST-00279,ACCT-00390,Europe,sales_led,active,2023-01-14,2025-12-20
CUST-00280,ACCT-00497,North America,marketplace,active,2024-03-16,2025-12-19
CUST-00281,ACCT-01656,APAC,partner,inactive,2024-08-03,2025-12-13
CUST-00282,ACCT-02920,APAC,partner,active,2024-05-27,2025-12-15
CUST-00283,ACCT-04027,Latin America,self_serve,active,2024-06-01,2025-12-13
CUST-00284,ACCT-02945,Latin America,partner,active,2024-04-09,2025-12-03
CUST-00285,ACCT-02648,Latin America,partner,active,2024-05-11,2025-12-12
CUST-00286,ACCT-05627,APAC,sales_led,trial,2023-10-19,2025-12-30
CUST-00287,ACCT-00967,Europe,partner,active,2024-06-28,2025-12-25
CUST-00288,ACCT-03431,Latin America,marketplace,inactive,2023-09-11,2025-12-18
CUST-00289,ACCT-03254,Europe,sales_led,active,2024-03-18,2025-12-17
CUST-00290,ACCT-02841,Europe,sales_led,active,2024-01-09,2025-12-21
CUST-00291,ACCT-04846,Latin America,sales_led,active,2024-10-04,2025-12-26
CUST-00292,ACCT-01602,Latin America,marketplace,active,2025-03-16,2025-12-28
CUST-00293,ACCT-05723,Europe,self_serve,active,2024-07-23,2025-12-27
CUST-00294,ACCT-01990,APAC,marketplace,active,2023-05-02,2025-12-03
CUST-00295,ACCT-03271,Latin America,marketplace,active,2024-08-23,2025-12-20
CUST-00296,ACCT-03125,Latin America,sales_led,active,2023-10-20,2025-12-03
CUST-00297,ACCT-05099,North America,partner,active,2023-02-14,2025-12-21
CUST-00298,ACCT-02634,APAC,marketplace,inactive,2023-06-23,2025-12-22
CUST-00299,ACCT-01708,North America,marketplace,active,2025-06-18,2025-12-17
CUST-00300,ACCT-00130,Latin America,sales_led,active,2024-01-20,2025-12-03
CUST-00301,ACCT-02183,North America,self_serve,active,2023-07-01,2025-12-15
CUST-00302,ACCT-04958,Latin America,partner,inactive,2023-05-01,2025-12-30
CUST-00303,ACCT-00060,North America,self_serve,active,2024-08-08,2025-12-23
CUST-00304,ACCT-05377,Europe,self_serve,active,2024-11-15,2025-12-02
CUST-00305,ACCT-03257,North America,marketplace,active,2023-11-14,2025-12-27
CUST-00306,ACCT-00842,Latin America,sales_led,active,2023-04-04,2025-12-06
CUST-00307,ACCT-01814,Europe,partner,inactive,2023-11-16,2025-12-04
CUST-00308,ACCT-03325,APAC,self_serve,active,2024-08-21,2025-12-25
CUST-00309,ACCT-01895,North America,self_serve,trial,2023-04-13,2025-12-15
CUST-00310,ACCT-00652,Europe,self_serve,active,2023-08-29,2025-12-14
CUST-00311,ACCT-03996,Latin America,sales_led,active,2023-01-02,2025-12-08
CUST-00312,ACCT-04034,Latin America,self_serve,active,2024-02-29,2025-12-08
CUST-00313,ACCT-00714,North America,sales_led,active,2023-06-03,2025-12-30
CUST-00314,ACCT-01688,Europe,sales_led,active,2023-06-29,2025-12-22
CUST-00315,ACCT-01464,Europe,partner,active,2023-04-12,2025-12-03
CUST-00316,ACCT-03957,APAC,partner,active,2024-10-19,2025-12-21
CUST-00317,ACCT-04382,APAC,sales_led,active,2024-03-16,2025-12-24
CUST-00318,ACCT-04362,North America,sales_led,active,2025-05-03,2025-12-13
CUST-00319,ACCT-05633,Latin America,self_serve,trial,2023-12-22,2025-12-26
CUST-00320,ACCT-04612,North America,sales_led,active,2023-07-19,2025-12-27
CUST-00321,ACCT-01925,Europe,marketplace,active,2023-07-03,2025-12-08
CUST-00322,ACCT-00647,Latin America,marketplace,active,2025-05-07,2025-12-28
CUST-00323,ACCT-03688,APAC,sales_led,active,2024-06-14,2025-12-05
CUST-00324,ACCT-05497,Europe,marketplace,active,2023-10-20,2025-12-24
CUST-00325,ACCT-05851,Latin America,partner,trial,2024-08-11,2025-12-28
CUST-00326,ACCT-01382,Europe,self_serve,active,2024-05-17,2025-12-09
CUST-00327,ACCT-01419,APAC,marketplace,inactive,2023-04-14,2025-12-26
CUST-00328,ACCT-00225,North America,sales_led,active,2024-09-23,2025-12-21
CUST-00329,ACCT-00848,North America,partner,inactive,2023-04-18,2025-12-21
CUST-00330,ACCT-03330,Europe,partner,active,2023-06-29,2025-12-16
CUST-00331,ACCT-03281,APAC,sales_led,trial,2024-10-03,2025-12-17
CUST-00332,ACCT-02226,Latin America,partner,active,2024-02-05,2025-12-26
CUST-00333,ACCT-01860,Europe,partner,active,2023-07-19,2025-12-24
CUST-00334,ACCT-04979,Latin America,sales_led,active,2023-03-03,2025-12-26
CUST-00335,ACCT-02761,APAC,sales_led,active,2024-06-18,2025-12-30
CUST-00336,ACCT-04850,North America,partner,active,2024-09-19,2025-12-12
CUST-00337,ACCT-05780,APAC,self_serve,active,2023-07-02,2025-12-17
CUST-00338,ACCT-01903,APAC,self_serve,active,2024-01-10,2025-12-28
CUST-00339,ACCT-01217,Europe,marketplace,inactive,2023-11-06,2025-12-22
CUST-00340,ACCT-05718,Europe,sales_led,active,2025-03-13,2025-12-11
CUST-00341,ACCT-03809,Europe,partner,inactive,2024-12-12,2025-12-23
CUST-00342,ACCT-01746,APAC,partner,active,2023-09-04,2025-12-19
CUST-00343,ACCT-03732,APAC,marketplace,active,2024-04-07,2025-12-09
CUST-00344,ACCT-03091,Europe,partner,active,2025-04-11,2025-12-11
CUST-00345,ACCT-05434,Europe,partner,active,2023-11-08,2025-12-10
CUST-00346,ACCT-01536,Europe,marketplace,active,2023-05-07,2025-12-20
CUST-00347,ACCT-05949,Europe,marketplace,active,2023-09-26,2025-12-17
CUST-00348,ACCT-05617,Europe,self_serve,active,2024-06-30,2025-12-06
CUST-00349,ACCT-01085,Europe,partner,active,2025-06-12,2025-12-05
