invoice_id,account_id,customer_id,invoice_date,invoice_amount,status,currency
INV-0000079,ACCT-05800,CUST-01282,2025-12-16,372.7,paid,USD
INV-0000080,ACCT-05649,CUST-01878,2025-08-22,161.82,paid,USD
INV-0000081,ACCT-00692,CUST-00421,2025-05-23,277.93,paid,USD
INV-0000082,ACCT-05723,CUST-01383,2025-03-05,284.85,paid,USD
INV-0000083,ACCT-00170,CUST-04177,2025-08-19,245.12,paid,GBP
INV-0000084,ACCT-05943,CUST-03704,2025-04-01,269.78,issued,USD
INV-0000085,ACCT-01732,CUST-01357,2025-08-29,841.07,paid,USD
INV-0000086,ACCT-05650,CUST-01941,2025-04-25,137.41,issued,USD
INV-0000087,ACCT-00864,CUST-02391,2025-02-16,1016.63,paid,USD
INV-0000088,ACCT-01258,CUST-00323,2025-09-27,684.0,paid,USD
INV-0000089,ACCT-02209,CUST-03976,2025-02-20,345.82,paid,USD
INV-0000090,ACCT-01897,CUST-02365,2025-11-25,147.83,issued,USD
INV-0000091,ACCT-05954,CUST-01883,2025-08-23,179.89,paid,USD
INV-0000092,ACCT-03258,CUST-01956,2025-10-09,1194.86,paid,USD
INV-0000093,ACCT-04361,CUST-03304,2025-07-26,1009.98,overdue,USD
INV-0000094,ACCT-04438,CUST-02937,2025-07-01,262.31,paid,USD
INV-0000095,ACCT-00405,CUST-04413,2025-03-13,597.34,void,USD
INV-0000096,ACCT-00700,CUST-03020,2025-07-28,302.03,issued,USD
INV-0000097,ACCT-02511,CUST-00561,2025-12-13,637.85,paid,USD
INV-0000098,ACCT-02948,CUST-01501,2025-06-20,359.36,overdue,GBP
INV-0000099,ACCT-03553,CUST-01624,2025-08-05,256.46,paid,USD
INV-0000100,ACCT-01547,CUST-02028,2025-01-28,241.98,paid,USD
INV-0000101,ACCT-05776,CUST-04608,2025-04-29,906.67,paid,USD
INV-0000102,ACCT-01106,CUST-03685,2025-10-07,873.63,void,USD
INV-0000103,ACCT-04054,CUST-04090,2025-07-29,603.2,paid,EUR
INV-0000104,ACCT-03648,CUST-03937,2025-09-18,174.55,issued,USD
INV-0000105,ACCT-04062,CUST-00608,2025-08-17,582.46,paid,USD
INV-0000106,ACCT-03253,CUST-00601,2025-02-04,186.68,paid,USD
INV-0000107,ACCT-01555,CUST-04072,2025-06-14,147.84,void,USD
INV-0000108,ACCT-05667,CUST-00457,2025-06-28,814.58,paid,USD
INV-0000109,ACCT-00540,CUST-04215,2025-12-18,293.21,paid,USD
INV-0000110,ACCT-01183,CUST-04302,2025-04-30,175.77,paid,USD
INV-0000111,ACCT-00840,CUST-01813,2025-06-23,678.19,paid,USD
INV-0000112,ACCT-01290,CUST-01311,2025-01-22,181.81,paid,USD
INV-0000113,ACCT-02982,CUST-00829,2025-02-03,237.21,paid,USD
INV-0000114,ACCT-05327,CUST-02545,2025-08-14,579.86,paid,USD
INV-0000115,ACCT-00666,CUST-04228,2025-06-03,129.86,paid,EUR
INV-0000116,ACCT-01960,CUST-00647,2025-08-08,519.74,paid,USD
INV-0000117,ACCT-02760,CUST-01744,2025-01-21,271.69,paid,USD
INV-0000118,ACCT-04007,CUST-00228,2025-03-22,262.83,paid,USD
INV-0000119,ACCT-05695,CUST-00962,2025-05-25,260.38,paid,USD
INV-0000120,ACCT-05319,CUST-02442,2025-06-17,1491.79,void,EUR
INV-0000121,ACCT-03702,CUST-00027,2025-12-03,301.91,paid,USD
INV-0000122,ACCT-02709,CUST-01743,2025-06-04,411.01,paid,EUR
INV-0000123,ACCT-01574,CUST-04694,2025-12-02,62.5,paid,GBP
INV-0000124,ACCT-05509,CUST-02194,2025-08-08,194.61,paid,USD
INV-0000125,ACCT-01757,CUST-00204,2025-02-21,135.65,issued,USD
INV-0000126,ACCT-00378,CUST-03307,2025-08-23,823.77,paid,GBP
INV-0000127,ACCT-02059,CUST-01743,2025-08-24,540.95,overdue,EUR
INV-0000128,ACCT-01887,CUST-02292,2025-05-31,118.06,paid,USD
INV-0000129,ACCT-03739,CUST-02207,2025-01-12,335.28,paid,USD
INV-0000130,ACCT-01724,CUST-02942,2025-11-22,449.7,paid,USD
INV-0000131,ACCT-01895,CUST-04191,2025-08-23,842.07,paid,USD
INV-0000132,ACCT-05380,CUST-01021,2025-03-20,24.52,paid,USD
INV-0000133,ACCT-03893,CUST-03454,2025-01-01,159.79,issued,EUR
INV-0000134,ACCT-03455,CUST-03986,2025-10-03,281.09,issued,USD
INV-0000135,ACCT-01046,CUST-04947,2025-10-08,486.77,paid,USD
INV-0000136,ACCT-04679,CUST-03473,2025-04-30,303.7,paid,USD
INV-0000137,ACCT-00470,CUST-01159,2025-08-04,386.23,paid,USD
INV-0000138,ACCT-00628,CUST-01314,2025-06-22,184.56,issued,USD
INV-0000139,ACCT-04575,CUST-02831,2025-01-07,1004.05,paid,USD
INV-0000140,ACCT-02049,CUST-02740,2025-11-29,230.96,issued,USD
INV-0000141,ACCT-00627,CUST-03918,2025-03-22,160.77,void,USD
INV-0000142,ACCT-04961,CUST-04779,2025-11-27,317.52,issued,USD
INV-0000143,ACCT-03278,CUST-03896,2025-03-27,400.45,issued,EUR
INV-0000144,ACCT-00074,CUST-00355,2025-02-01,344.29,paid,USD
INV-0000145,ACCT-02060,CUST-04702,2025-07-20,67.38,overdue,EUR
INV-0000146,ACCT-00830,CUST-00510,2025-02-14,855.34,paid,USD
INV-0000147,ACCT-01328,CUST-00334,2025-09-15,595.05,paid,USD
INV-0000148,ACCT-01583,CUST-00347,2025-04-08,1117.71,issued,USD
INV-0000149,ACCT-03250,CUST-01769,2025-05-18,227.45,paid,USD
INV-0000150,ACCT-03426,CUST-00383,2025-07-19,428.29,issued,EUR
INV-0000151,ACCT-00446,CUST-01425,2025-01-26,248.91,paid,EUR
INV-0000152,ACCT-04586,CUST-00939,2025-09-17,213.77,paid,USD
INV-0000153,ACCT-00773,CUST-03564,2025-09-22,126.26,issued,USD
INV-0000154,ACCT-03223,CUST-03937,2025-07-17,361.0,paid,USD
INV-0000155,ACCT-01034,CUST-00653,2025-08-20,467.99,paid,USD
INV-0000156,ACCT-01005,CUST-03591,2025-04-16,1178.16,paid,USD
INV-0000157,ACCT-02871,CUST-04058,2025-12-31,170.38,paid,USD
INV-0000158,ACCT-00854,CUST-02746,2025-07-23,68.48,paid,USD
INV-0000159,ACCT-01230,CUST-01791,2025-02-09,149.44,paid,USD
INV-0000160,ACCT-03058,CUST-01540,2025-01-20,540.99,paid,USD
INV-0000161,ACCT-00830,CUST-04536,2025-01-12,97.62,overdue,USD
INV-0000162,ACCT-04522,CUST-01105,2025-09-07,414.08,paid,USD
INV-0000163,ACCT-00524,CUST-04378,2025-02-16,250.22,issued,GBP
INV-0000164,ACCT-02511,CUST-03635,2025-10-12,109.76,paid,USD
INV-0000165,ACCT-01856,CUST-02560,2025-02-28,248.78,paid,USD
INV-0000166,ACCT-01343,CUST-03828,2025-05-19,274.38,paid,USD
INV-0000167,ACCT-04022,CUST-04483,2025-05-11,228.25,paid,USD
INV-0000168,ACCT-02261,CUST-04038,2025-08-28,77.98,paid,USD
INV-0000169,ACCT-02306,CUST-02103,2025-01-19,250.04,paid,USD
INV-0000170,ACCT-00647,CUST-04473,2025-04-28,119.29,issued,GBP
INV-0000171,ACCT-05422,CUST-01467,2025-05-25,336.67,paid,USD
INV-0000172,ACCT-01609,CUST-00053,2025-02-04,47.72,issued,USD
INV-0000173,ACCT-04014,CUST-03533,2025-06-24,217.88,paid,EUR
INV-0000174,ACCT-04854,CUST-02267,2025-06-26,897.72,paid,USD
INV-0000175,ACCT-01512,CUST-00234,2025-02-10,337.52,paid,USD
INV-0000176,ACCT-02657,CUST-01391,2025-11-09,205.58,paid,EUR
INV-0000177,ACCT-01492,CUST-02740,2025-04-09,959.58,issued,USD
INV-0000178,ACCT-03935,CUST-01876,2025-01-27,570.56,overdue,EUR
INV-0000179,ACCT-03956,CUST-03461,2025-04-17,35.53,paid,USD
INV-0000180,ACCT-01989,CUST-02694,2025-11-20,340.12,paid,USD
INV-0000181,ACCT-04441,CUST-04387,2025-03-30,886.8,paid,USD
INV-0000182,ACCT-00937,CUST-01371,2025-09-25,433.41,paid,USD
INV-0000183,ACCT-01970,CUST-03748,2025-05-09,128.11,paid,USD
INV-0000184,ACCT-03529,CUST-04970,2025-09-16,189.63,overdue,USD
INV-0000185,ACCT-01226,CUST-00969,2025-08-15,33.28,issued,EUR
INV-0000186,ACCT-03364,CUST-04902,2025-07-31,431.25,paid,USD
INV-0000187,ACCT-05659,CUST-01543,2025-07-28,232.54,issued,EUR
INV-0000188,ACCT-02865,CUST-03831,2025-10-10,172.84,overdue,USD
INV-0000189,ACCT-03844,CUST-03059,2025-04-14,235.91,paid,USD
INV-0000190,ACCT-00753,CUST-03453,2025-01-16,540.85,paid,USD
INV-0000191,ACCT-04388,CUST-03660,2025-12-31,284.75,paid,USD
INV-0000192,ACCT-05387,CUST-04666,2025-02-28,294.91,paid,USD
INV-0000193,ACCT-05860,CUST-02900,2025-12-04,762.68,paid,GBP
INV-0000194,ACCT-04185,CUST-00766,2025-10-03,642.91,paid,USD
INV-0000195,ACCT-02098,CUST-00704,2025-03-19,54.47,paid,GBP
INV-0000196,ACCT-02615,CUST-01945,2025-05-04,767.65,issued,USD
INV-0000197,ACCT-00504,CUST-03367,2025-10-29,51.27,void,EUR
INV-0000198,ACCT-03684,CUST-01395,2025-12-23,212.75,paid,USD
INV-0000199,ACCT-05887,CUST-03572,2025-02-05,316.95,paid,GBP
INV-0000200,ACCT-02727,CUST-04482,2025-12-28,610.02,paid,USD
INV-0000201,ACCT-00210,CUST-02891,2025-12-14,539.7,issued,USD
INV-0000202,ACCT-02802,CUST-04339,2025-12-06,629.1,paid,USD
INV-0000203,ACCT-05647,CUST-03597,2025-03-09,155.06,paid,USD
INV-0000204,ACCT-01988,CUST-03730,2025-08-20,429.91,paid,USD
INV-0000205,ACCT-05005,CUST-03779,2025-06-23,427.41,paid,USD
INV-0000206,ACCT-02809,CUST-03998,2025-03-12,303.42,overdue,GBP
INV-0000207,ACCT-00477,CUST-04121,2025-02-14,79.97,paid,USD
INV-0000208,ACCT-00507,CUST-02962,2025-10-17,211.11,overdue,USD
INV-0000209,ACCT-00586,CUST-01800,2025-03-12,308.47,paid,EUR
INV-0000210,ACCT-03552,CUST-03352,2025-05-27,177.61,paid,USD
INV-0000211,ACCT-02694,CUST-01553,2025-04-03,254.18,overdue,EUR
INV-0000212,ACCT-05246,CUST-00610,2025-02-10,697.21,paid,USD
INV-0000213,ACCT-01084,CUST-02537,2025-08-24,401.8,void,EUR
INV-0000214,ACCT-01632,CUST-01061,2025-07-02,92.74,paid,USD
INV-0000215,ACCT-01804,CUST-00767,2025-05-20,489.59,paid,USD
INV-0000216,ACCT-03545,CUST-00801,2025-06-23,677.4,paid,USD
INV-0000217,ACCT-03366,CUST-03238,2025-07-02,109.83,issued,USD
INV-0000218,ACCT-04715,CUST-01686,2025-05-18,190.46,paid,USD
INV-0000219,ACCT-05125,CUST-04315,2025-01-22,261.78,paid,USD
INV-0000220,ACCT-01473,CUST-01894,2025-11-24,725.95,paid,USD
INV-0000221,ACCT-02134,CUST-02743,2025-02-05,229.1,paid,USD
INV-0000222,ACCT-00954,CUST-03985,2025-11-13,395.47,paid,EUR
INV-0000223,ACCT-02445,CUST-01708,2025-03-06,178.71,paid,USD
INV-0000224,ACCT-02969,CUST-03355,2025-03-20,135.99,paid,USD
INV-0000225,ACCT-01741,CUST-02782,2025-09-29,340.5,paid,USD
INV-0000226,ACCT-01980,CUST-04881,2025-10-19,566.21,paid,USD
INV-0000227,ACCT-00271,CUST-03857,2025-04-16,583.0,paid,USD
INV-0000228,ACCT-02775,CUST-01379,2025-12-26,251.36,paid,USD
INV-0000229,ACCT-05754,CUST-00537,2025-06-18,298.99,paid,EUR
INV-0000230,ACCT-05737,CUST-04995,2025-08-30,356.49,paid,USD
INV-0000231,ACCT-04044,CUST-01279,2025-08-09,230.89,void,USD
INV-0000232,ACCT-04493,CUST-00609,2025-05-24,863.12,paid,GBP
INV-0000233,ACCT-03621,CUST-00342,2025-04-20,675.17,paid,USD
INV-0000234,ACCT-01473,CUST-00100,2025-11-10,180.99,paid,USD
INV-0000235,ACCT-00801,CUST-00117,2025-03-28,945.72,issued,USD
INV-0000236,ACCT-04654,CUST-00961,2025-05-13,809.58,paid,USD
INV-0000237,ACCT-01441,CUST-03579,2025-07-26,741.21,paid,EUR
INV-0000238,ACCT-04388,CUST-02239,2025-04-02,273.9,issued,USD
INV-0000239,ACCT-02400,CUST-04540,2025-06-03,61.97,paid,GBP
INV-0000240,ACCT-00359,CUST-03182,2025-12-22,75.48,issued,USD
INV-0000241,ACCT-03582,CUST-03001,2025-05-28,239.1,void,USD
INV-0000242,ACCT-02268,CUST-03420,2025-07-17,171.31,overdue,USD
INV-0000243,ACCT-03547,CUST-03887,2025-06-17,454.35,paid,EUR
INV-0000244,ACCT-04190,CUST-02761,2025-07-10,270.24,paid,EUR
INV-0000245,ACCT-02301,CUST-01667,2025-02-03,347.23,paid,EUR
INV-0000246,ACCT-02684,CUST-03362,2025-06-25,354.46,paid,GBP
INV-0000247,ACCT-03046,CUST-04855,2025-02-24,553.04,paid,EUR
INV-0000248,ACCT-02569,CUST-01929,2025-01-07,161.5,paid,EUR
INV-0000249,ACCT-04995,CUST-04644,2025-07-09,626.25,paid,USD
INV-0000250,ACCT-00424,CUST-02842,2025-01-28,420.27,paid,GBP
INV-0000251,ACCT-04811,CUST-03437,2025-11-10,196.34,overdue,USD
INV-0000252,ACCT-03102,CUST-03736,2025-04-07,402.79,issued,EUR
INV-0000253,ACCT-02496,CUST-00040,2025-01-19,605.47,overdue,GBP
INV-0000254,ACCT-01039,CUST-00748,2025-04-01,99.28,paid,USD
INV-0000255,ACCT-05148,CUST-03905,2025-01-02,231.97,paid,USD
INV-0000256,ACCT-01346,CUST-03326,2025-07-22,661.0,paid,USD
INV-0000257,ACCT-04770,CUST-00952,2025-09-16,189.33,paid,USD
INV-0000258,ACCT-05927,CUST-04539,2025-06-03,436.5,issued,USD
INV-0000259,ACCT-04603,CUST-00991,2025-01-06,466.75,paid,USD
INV-0000260,ACCT-01896,CUST-01510,2025-12-29,333.94,overdue,USD
INV-0000261,ACCT-01746,CUST-02333,2025-05-24,513.01,issued,USD
INV-0000262,ACCT-05477,CUST-03484,2025-12-05,538.13,paid,USD
INV-0000263,ACCT-05404,CUST-02118,2025-05-27,645.19,paid,USD
INV-0000264,ACCT-03024,CUST-02163,2025-01-27,186.77,issued,USD
INV-0000265,ACCT-03494,CUST-04275,2025-12-26,372.45,paid,USD
INV-0000266,ACCT-00972,CUST-01965,2025-02-24,352.67,paid,USD
INV-0000267,ACCT-03995,CUST-01693,2025-04-24,123.06,paid,USD
INV-0000268,ACCT-01919,CUST-04677,2025-09-06,83.13,paid,USD
INV-0000269,ACCT-03763,CUST-04743,2025-05-02,189.13,issued,USD
INV-0000270,ACCT-00989,CUST-03112,2025-06-19,322.29,paid,USD
INV-0000271,ACCT-02300,CUST-04284,2025-07-02,181.99,paid,EUR
INV-0000272,ACCT-01077,CUST-01579,2025-02-28,61.74,issued,USD
INV-0000273,ACCT-02428,CUST-01325,2025-05-20,939.5,paid,USD
INV-0000274,ACCT-03592,CUST-02015,2025-06-02,1178.59,issued,USD
INV-0000275,ACCT-05652,CUST-04832,2025-04-24,71.61,paid,USD
INV-0000276,ACCT-00846,CUST-03272,2025-07-07,312.64,issued,USD
INV-0000277,ACCT-03668,CUST-04069,2025-01-07,395.19,paid,USD
INV-0000278,ACCT-03037,CUST-03985,2025-07-09,411.45,overdue,USD
INV-0000279,ACCT-03934,CUST-03786,2025-04-16,297.06,issued,USD
INV-0000280,ACCT-05299,CUST-02518,2025-02-01,268.01,paid,USD
INV-0000281,ACCT-01973,CUST-04349,2025-08-08,151.78,paid,USD
INV-0000282,ACCT-01895,CUST-03892,2025-01-14,520.87,void,USD
INV-0000283,ACCT-05869,CUST-02937,2025-01-31,63.83,paid,USD
INV-0000284,ACCT-05408,CUST-00959,2025-06-07,552.69,paid,USD
INV-0000285,ACCT-04440,CUST-04858,2025-03-23,457.12,paid,USD
INV-0000286,ACCT-05103,CUST-00973,2025-12-19,142.0,void,USD
INV-0000287,ACCT-04727,CUST-02923,2025-09-14,305.56,paid,USD
INV-0000288,ACCT-03447,CUST-04270,2025-06-08,860.28,paid,USD
INV-0000289,ACCT-00697,CUST-04791,2025-07-20,158.12,paid,USD
INV-0000290,ACCT-01588,CUST-02385,2025-12-22,264.46,paid,USD
INV-0000291,ACCT-05236,CUST-00905,2025-01-01,32.17,paid,USD
INV-0000292,ACCT-03831,CUST-00985,2025-09-27,129.25,paid,USD
INV-0000293,ACCT-04446,CUST-03300,2025-09-16,599.73,paid,USD
INV-0000294,ACCT-00341,CUST-00985,2025-09-21,667.85,paid,USD
INV-0000295,ACCT-00623,CUST-02431,2025-09-21,422.05,paid,EUR
INV-0000296,ACCT-04864,CUST-01394,2025-12-29,597.11,paid,USD
INV-0000297,ACCT-04778,CUST-03380,2025-04-03,246.65,paid,USD
INV-0000298,ACCT-03307,CUST-00419,2025-10-06,148.74,paid,USD
INV-0000299,ACCT-05017,CUST-03519,2025-07-09,957.84,paid,EUR
INV-0000300,ACCT-05582,CUST-01263,2025-01-23,362.06,paid,USD
INV-0000301,ACCT-00978,CUST-01529,2025-12-11,155.33,paid,USD
INV-0000302,ACCT-01867,CUST-04034,2025-10-19,564.34,issued,USD
INV-0000303,ACCT-00737,CUST-02379,2025-10-30,544.64,paid,USD
INV-0000304,ACCT-01989,CUST-02200,2025-07-16,293.89,paid,USD
INV-0000305,ACCT-02011,CUST-01630,2025-08-29,43.28,paid,USD
INV-0000306,ACCT-01358,CUST-00174,2025-07-09,974.04,issued,USD
INV-0000307,ACCT-00042,CUST-02226,2025-10-13,741.86,overdue,USD
INV-0000308,ACCT-00628,CUST-02941,2025-01-04,547.03,paid,USD
INV-0000309,ACCT-05539,CUST-00885,2025-05-06,386.82,paid,GBP
INV-0000310,ACCT-00193,CUST-02674,2025-09-23,1217.73,paid,USD
INV-0000311,ACCT-03967,CUST-04806,2025-06-22,248.55,paid,EUR
INV-0000312,ACCT-03153,CUST-03133,2025-06-05,436.12,paid,USD
INV-0000313,ACCT-03642,CUST-03821,2025-08-20,296.31,paid,USD
INV-0000314,ACCT-05191,CUST-04472,2025-02-09,692.6,paid,USD
INV-0000315,ACCT-02538,CUST-01534,2025-12-13,407.45,paid,USD
INV-0000316,ACCT-01842,CUST-00800,2025-10-26,686.47,paid,USD
INV-0000317,ACCT-02476,CUST-04640,2025-09-18,81.56,paid,USD
INV-0000318,ACCT-02182,CUST-00353,2025-07-01,532.29,paid,USD
INV-0000319,ACCT-04576,CUST-04330,2025-05-31,135.17,paid,USD
INV-0000320,ACCT-05480,CUST-03864,2025-03-10,1246.17,issued,USD
INV-0000321,ACCT-03120,CUST-02584,2025-09-12,780.74,issued,USD
INV-0000322,ACCT-05459,CUST-00342,2025-12-06,348.63,paid,USD
INV-0000323,ACCT-03008,CUST-03054,2025-11-07,36.77,issued,EUR
INV-0000324,ACCT-03489,CUST-02424,2025-05-08,366.84,issued,USD
INV-0000325,ACCT-03023,CUST-04925,2025-05-18,681.22,paid,USD
INV-0000326,ACCT-04889,CUST-04882,2025-03-08,359.59,issued,USD
INV-0000327,ACCT-02660,CUST-02117,2025-08-27,178.79,paid,USD
INV-0000328,ACCT-03438,CUST-03597,2025-06-25,682.19,paid,EUR
INV-0000329,ACCT-03817,CUST-01879,2025-09-04,290.35,paid,USD
INV-0000330,ACCT-02073,CUST-02649,2025-10-02,741.61,issued,USD
INV-0000331,ACCT-01586,CUST-00295,2025-07-10,514.4,paid,USD
INV-0000332,ACCT-00975,CUST-02056,2025-08-12,170.99,overdue,USD
INV-0000333,ACCT-05734,CUST-04066,2025-12-27,603.06,issued,GBP
INV-0000334,ACCT-03567,CUST-04308,2025-12-01,226.5,paid,USD
INV-0000335,ACCT-00308,CUST-04854,2025-10-15,130.08,paid,USD
INV-0000336,ACCT-04225,CUST-00234,2025-09-01,1053.28,paid,EUR
INV-0000337,ACCT-04454,CUST-04841,2025-04-28,242.89,issued,USD
INV-0000338,ACCT-00056,CUST-04787,2025-07-22,424.37,void,USD
INV-0000339,ACCT-05369,CUST-02466,2025-01-19,453.02,issued,USD
INV-0000340,ACCT-03408,CUST-01806,2025-06-29,262.23,paid,USD
INV-0000341,ACCT-01963,CUST-04497,2025-01-04,390.94,paid,USD
INV-0000342,ACCT-05476,CUST-02799,2025-03-27,249.72,paid,USD
INV-0000343,ACCT-05767,CUST-00999,2025-12-15,322.71,paid,USD
INV-0000344,ACCT-02018,CUST-02511,2025-11-24,500.45,paid,GBP
INV-0000345,ACCT-02258,CUST-01257,2025-03-06,322.01,paid,USD
INV-0000346,ACCT-01533,CUST-04093,2025-08-05,460.84,paid,GBP
INV-0000347,ACCT-05811,CUST-01264,2025-07-05,759.35,overdue,USD
INV-0000348,ACCT-03861,CUST-04843,2025-10-16,195.67,paid,USD
INV-0000349,ACCT-00702,CUST-03281,2025-02-17,1505.17,issued,USD
INV-0000350,ACCT-01501,CUST-00994,2025-07-10,415.37,paid,EUR
INV-0000351,ACCT-03562,CUST-04301,2025-06-21,219.4,paid,USD
INV-0000352,ACCT-02577,CUST-04107,2025-11-07,315.9,paid,USD
INV-0000353,ACCT-00125,CUST-00560,2025-09-12,471.37,overdue,USD
INV-0000354,ACCT-02353,CUST-03662,2025-08-20,550.4,paid,USD
