payment_id,invoice_id,customer_id,payment_date,payment_amount,status,currency
PAY-0000035,INV-0012637,CUST-02928,2025-12-24,169.07,succeeded,USD
PAY-0000036,INV-0023310,CUST-03298,2025-09-30,598.38,succeeded,USD
PAY-0000037,INV-0033220,CUST-00077,2025-11-03,285.5,failed,GBP
PAY-0000038,INV-0040166,CUST-03949,2025-09-23,525.12,succeeded,USD
PAY-0000039,INV-0025106,CUST-04908,2025-07-27,233.36,succeeded,USD
PAY-0000040,INV-0006518,CUST-01808,2025-04-26,139.78,succeeded,USD
PAY-0000041,INV-0043529,CUST-02252,2025-11-22,599.66,succeeded,USD
PAY-0000042,INV-0016929,CUST-00915,2025-03-18,732.34,succeeded,USD
PAY-0000043,INV-0005658,CUST-04486,2025-04-06,189.47,succeeded,USD
PAY-0000044,INV-0012418,CUST-04682,2025-06-28,394.78,succeeded,USD
PAY-0000045,INV-0005583,CUST-01888,2025-07-03,391.22,failed,USD
PAY-0000046,INV-0019803,CUST-03077,2025-08-10,10.72,pending,USD
PAY-0000047,INV-0022220,CUST-00216,2025-12-05,460.67,succeeded,GBP
PAY-0000048,INV-0016580,CUST-00193,2025-03-03,193.35,succeeded,USD
PAY-0000049,INV-0037943,CUST-04651,2025-12-13,1086.39,succeeded,USD
PAY-0000050,INV-0012387,CUST-01589,2025-10-06,150.57,succeeded,USD
PAY-0000051,INV-0042904,CUST-03371,2025-09-15,336.21,succeeded,USD
PAY-0000052,INV-0023263,CUST-04800,2025-11-21,463.5,succeeded,USD
PAY-0000053,INV-0027571,CUST-03960,2025-08-03,221.66,succeeded,USD
PAY-0000054,INV-0027619,CUST-02903,2025-07-01,380.23,failed,USD
PAY-0000055,INV-0009244,CUST-03991,2025-07-07,413.12,succeeded,GBP
PAY-0000056,INV-0001330,CUST-01893,2025-12-24,592.43,succeeded,USD
PAY-0000057,INV-0000535,CUST-00007,2025-09-28,412.52,failed,USD
PAY-0000058,INV-0029777,CUST-02424,2025-12-23,488.29,succeeded,USD
PAY-0000059,INV-0002254,CUST-01843,2025-07-25,174.16,succeeded,USD
PAY-0000060,INV-0010730,CUST-04671,2025-12-21,453.33,succeeded,USD
PAY-0000061,INV-0044325,CUST-01315,2025-10-10,57.73,succeeded,USD
PAY-0000062,INV-0014469,CUST-04329,2025-04-25,829.76,succeeded,GBP
PAY-0000063,INV-0004499,CUST-02577,2025-03-24,118.15,succeeded,EUR
PAY-0000064,INV-0020447,CUST-01870,2025-06-04,250.43,succeeded,USD
PAY-0000065,INV-0003113,CUST-03333,2025-07-22,397.8,succeeded,USD
PAY-0000066,INV-0030245,CUST-01962,2025-08-09,624.53,succeeded,USD
PAY-0000067,INV-0021505,CUST-03288,2025-06-23,249.67,succeeded,USD
PAY-0000068,INV-0000586,CUST-02779,2025-09-02,566.63,succeeded,USD
PAY-0000069,INV-0012228,CUST-00106,2025-02-03,297.42,succeeded,USD
PAY-0000070,INV-0001776,CUST-00841,2025-03-22,868.43,succeeded,USD
PAY-0000071,INV-0002106,CUST-04496,2025-06-13,78.1,succeeded,EUR
PAY-0000072,INV-0002904,CUST-03638,2025-11-15,425.52,succeeded,USD
PAY-0000073,INV-0009258,CUST-00033,2025-12-18,464.06,succeeded,USD
PAY-0000074,INV-0001815,CUST-02835,2025-05-10,460.45,succeeded,GBP
PAY-0000075,INV-0036043,CUST-00583,2025-06-08,383.09,succeeded,USD
PAY-0000076,INV-0042155,CUST-03175,2025-12-08,286.29,pending,USD
PAY-0000077,INV-0014471,CUST-04020,2025-05-08,1332.59,succeeded,USD
PAY-0000078,INV-0028091,CUST-04477,2025-10-09,366.78,succeeded,USD
PAY-0000079,INV-0013784,CUST-02180,2025-04-01,127.48,succeeded,USD
PAY-0000080,INV-0001189,CUST-03955,2025-02-17,174.61,succeeded,GBP
PAY-0000081,INV-0001612,CUST-03971,2025-07-09,244.29,succeeded,USD
PAY-0000082,INV-0042568,CUST-01769,2025-01-30,490.84,succeeded,USD
PAY-0000083,INV-0039193,CUST-02133,2025-06-16,844.5,succeeded,USD
PAY-0000084,INV-0035575,CUST-00210,2025-08-14,358.43,succeeded,GBP
PAY-0000085,INV-0035072,CUST-00331,2025-07-30,43.08,succeeded,USD
PAY-0000086,INV-0009544,CUST-03733,2025-05-12,951.91,succeeded,USD
PAY-0000087,INV-0037825,CUST-00393,2025-03-20,708.36,failed,USD
PAY-0000088,INV-0004020,CUST-04004,2025-05-21,288.82,succeeded,USD
PAY-0000089,INV-0001869,CUST-03436,2025-01-22,875.69,succeeded,USD
PAY-0000090,INV-0004157,CUST-04125,2025-03-15,648.91,succeeded,USD
PAY-0000091,INV-0040271,CUST-02249,2025-08-05,334.22,succeeded,USD
PAY-0000092,INV-0005887,CUST-00757,2025-12-23,118.03,succeeded,USD
PAY-0000093,INV-0043431,CUST-03051,2025-08-15,217.16,succeeded,USD
PAY-0000094,INV-0014812,CUST-03662,2025-06-05,242.25,failed,USD
PAY-0000095,INV-0008974,CUST-01265,2025-03-01,510.9,succeeded,USD
PAY-0000096,INV-0041264,CUST-00462,2025-10-21,223.43,succeeded,USD
PAY-0000097,INV-0039126,CUST-01972,2025-11-10,183.23,succeeded,USD
PAY-0000098,INV-0002820,CUST-00004,2025-03-03,248.76,succeeded,USD
PAY-0000099,INV-0004130,CUST-02658,2025-10-24,736.07,succeeded,USD
PAY-0000100,INV-0032548,CUST-04460,2025-10-05,446.88,failed,USD
PAY-0000101,INV-0040313,CUST-03625,2025-03-28,150.26,succeeded,USD
PAY-0000102,INV-0017305,CUST-03401,2025-03-02,156.4,succeeded,USD
PAY-0000103,INV-0030924,CUST-04419,2025-06-25,1061.52,succeeded,USD
PAY-0000104,INV-0015774,CUST-01120,2025-03-10,570.76,succeeded,USD
PAY-0000105,INV-0035282,CUST-03247,2025-12-23,56.14,succeeded,USD
PAY-0000106,INV-0025471,CUST-03257,2025-08-24,149.18,succeeded,USD
PAY-0000107,INV-0013497,CUST-04274,2025-05-09,296.24,succeeded,USD
PAY-0000108,INV-0001773,CUST-01047,2025-09-17,162.95,succeeded,USD
PAY-0000109,INV-0028110,CUST-04586,2025-03-14,230.82,succeeded,USD
PAY-0000110,INV-0014014,CUST-03776,2025-12-29,227.74,succeeded,USD
PAY-0000111,INV-0011919,CUST-02209,2025-08-21,585.3,succeeded,USD
PAY-0000112,INV-0015111,CUST-00665,2025-07-22,171.95,succeeded,USD
PAY-0000113,INV-0027340,CUST-03580,2025-01-28,48.08,succeeded,USD
PAY-0000114,INV-0042871,CUST-03518,2025-09-19,601.63,succeeded,EUR
PAY-0000115,INV-0026995,CUST-00285,2025-06-08,223.75,succeeded,USD
PAY-0000116,INV-0017934,CUST-02976,2025-05-21,163.59,failed,USD
PAY-0000117,INV-0027665,CUST-04474,2025-11-17,159.5,succeeded,USD
PAY-0000118,INV-0034172,CUST-00495,2025-01-24,385.1,succeeded,USD
PAY-0000119,INV-0021928,CUST-00810,2025-03-11,220.29,succeeded,USD
PAY-0000120,INV-0020984,CUST-02852,2025-06-26,582.81,succeeded,USD
PAY-0000121,INV-0033037,CUST-02288,2025-04-06,255.02,succeeded,USD
PAY-0000122,INV-0011765,CUST-03358,2025-03-06,216.87,failed,USD
PAY-0000123,INV-0020340,CUST-03349,2025-01-23,593.73,failed,USD
PAY-0000124,INV-0004697,CUST-04118,2025-05-30,119.89,succeeded,GBP
PAY-0000125,INV-0031150,CUST-02615,2025-04-22,275.15,succeeded,USD
PAY-0000126,INV-0043832,CUST-01057,2025-07-17,333.7,succeeded,USD
PAY-0000127,INV-0024724,CUST-04531,2025-05-08,149.27,succeeded,GBP
PAY-0000128,INV-0011645,CUST-04171,2025-12-27,519.0,succeeded,EUR
PAY-0000129,INV-0025476,CUST-01958,2025-03-19,160.85,succeeded,USD
PAY-0000130,INV-0018198,CUST-03755,2025-02-13,393.3,succeeded,USD
PAY-0000131,INV-0044798,CUST-01209,2025-08-20,589.13,succeeded,USD
PAY-0000132,INV-0021245,CUST-01720,2025-04-22,649.21,succeeded,USD
PAY-0000133,INV-0003116,CUST-02316,2025-08-12,21.62,succeeded,USD
PAY-0000134,INV-0027086,CUST-03432,2025-10-28,452.79,succeeded,USD
PAY-0000135,INV-0005269,CUST-00710,2025-07-30,304.75,succeeded,USD
PAY-0000136,INV-0007254,CUST-00888,2025-03-18,558.63,succeeded,GBP
PAY-0000137,INV-0017475,CUST-01401,2025-08-20,225.68,succeeded,USD
PAY-0000138,INV-0027509,CUST-04219,2025-06-02,451.81,succeeded,USD
PAY-0000139,INV-0016250,CUST-00951,2025-04-04,634.76,failed,EUR
PAY-0000140,INV-0039437,CUST-00324,2025-10-26,752.51,succeeded,USD
PAY-0000141,INV-0003151,CUST-04830,2025-10-10,594.27,succeeded,GBP
PAY-0000142,INV-0038371,CUST-00472,2025-12-07,717.4,succeeded,USD
PAY-0000143,INV-0011449,CUST-03346,2025-03-04,910.44,succeeded,USD
PAY-0000144,INV-0033631,CUST-02289,2025-10-21,293.7,succeeded,USD
PAY-0000145,INV-0007465,CUST-02306,2025-04-13,167.81,succeeded,USD
PAY-0000146,INV-0013020,CUST-04164,2025-04-05,388.12,succeeded,USD
PAY-0000147,INV-0015740,CUST-03760,2025-06-23,335.15,failed,USD
PAY-0000148,INV-0013282,CUST-04470,2025-10-27,321.69,succeeded,USD
PAY-0000149,INV-0025233,CUST-04987,2025-07-02,229.07,succeeded,USD
PAY-0000150,INV-0040647,CUST-02275,2025-12-20,410.08,succeeded,USD
PAY-0000151,INV-0015094,CUST-01344,2025-04-27,226.84,succeeded,USD
PAY-0000152,INV-0023114,CUST-00308,2025-07-29,390.88,succeeded,USD
PAY-0000153,INV-0036654,CUST-03863,2025-07-07,713.62,succeeded,USD
PAY-0000154,INV-0024900,CUST-04353,2025-10-20,161.16,succeeded,GBP
PAY-0000155,INV-0033901,CUST-00941,2025-02-24,530.8,succeeded,USD
PAY-0000156,INV-0004054,CUST-01211,2025-06-02,382.64,succeeded,EUR
PAY-0000157,INV-0024409,CUST-01847,2025-11-06,504.3,succeeded,USD
PAY-0000158,INV-0042724,CUST-00740,2025-11-29,659.3,succeeded,USD
PAY-0000159,INV-0029746,CUST-01212,2025-08-21,28.58,succeeded,USD
PAY-0000160,INV-0044336,CUST-00003,2025-12-15,429.49,succeeded,USD
PAY-0000161,INV-0000037,CUST-00937,2025-07-29,296.91,succeeded,USD
PAY-0000162,INV-0000514,CUST-04733,2025-10-04,259.69,succeeded,EUR
PAY-0000163,INV-0034348,CUST-03533,2025-07-23,580.24,succeeded,USD
PAY-0000164,INV-0039689,CUST-00256,2025-03-01,252.88,succeeded,USD
PAY-0000165,INV-0017618,CUST-01198,2025-11-27,216.97,succeeded,USD
PAY-0000166,INV-0013453,CUST-04982,2025-12-15,598.24,succeeded,USD
PAY-0000167,INV-0008524,CUST-02550,2025-04-09,209.63,succeeded,USD
PAY-0000168,INV-0037334,CUST-01821,2025-11-10,164.27,succeeded,USD
PAY-0000169,INV-0008691,CUST-00549,2025-08-07,618.52,succeeded,USD
PAY-0000170,INV-0020155,CUST-02565,2025-07-21,179.47,succeeded,EUR
PAY-0000171,INV-0044864,CUST-00933,2025-03-25,52.94,succeeded,EUR
PAY-0000172,INV-0039480,CUST-04143,2025-03-19,73.9,succeeded,USD
PAY-0000173,INV-0006799,CUST-02738,2025-03-14,200.55,succeeded,USD
PAY-0000174,INV-0044010,CUST-02625,2025-08-10,367.33,succeeded,USD
PAY-0000175,INV-0003262,CUST-03735,2025-12-07,167.74,succeeded,USD
PAY-0000176,INV-0024122,CUST-04166,2025-10-21,275.79,succeeded,USD
PAY-0000177,INV-0019895,CUST-04661,2025-03-20,757.22,failed,USD
PAY-0000178,INV-0009566,CUST-02974,2025-08-19,418.0,succeeded,USD
PAY-0000179,INV-0037751,CUST-01756,2025-09-08,810.18,succeeded,USD
PAY-0000180,INV-0033349,CUST-02728,2025-07-05,362.02,succeeded,EUR
PAY-0000181,INV-0029518,CUST-01025,2025-08-21,262.68,failed,USD
PAY-0000182,INV-0003182,CUST-03435,2025-07-20,144.83,succeeded,USD
PAY-0000183,INV-0039332,CUST-02011,2025-06-01,79.28,succeeded,USD
PAY-0000184,INV-0004826,CUST-02641,2025-08-29,1042.98,succeeded,GBP
PAY-0000185,INV-0007192,CUST-01775,2025-01-13,1037.85,succeeded,GBP
PAY-0000186,INV-0010448,CUST-00494,2025-03-18,611.34,succeeded,USD
PAY-0000187,INV-0011705,CUST-01902,2025-07-03,352.81,succeeded,USD
PAY-0000188,INV-0018413,CUST-00920,2025-03-06,309.26,failed,USD
PAY-0000189,INV-0026877,CUST-02131,2025-05-31,485.46,succeeded,USD
PAY-0000190,INV-0005855,CUST-00661,2025-04-28,82.18,succeeded,GBP
PAY-0000191,INV-0044545,CUST-04664,2025-06-11,537.16,succeeded,USD
PAY-0000192,INV-0044655,CUST-01977,2025-10-06,362.53,succeeded,USD
PAY-0000193,INV-0041076,CUST-03805,2025-11-19,46.38,succeeded,USD
PAY-0000194,INV-0030732,CUST-02366,2025-06-30,214.77,succeeded,GBP
PAY-0000195,INV-0027115,CUST-01499,2025-06-14,498.93,failed,USD
PAY-0000196,INV-0025677,CUST-00025,2025-09-28,726.03,succeeded,USD
PAY-0000197,INV-0016227,CUST-00444,2025-07-01,187.95,pending,USD
PAY-0000198,INV-0038101,CUST-04996,2025-10-17,144.41,succeeded,EUR
PAY-0000199,INV-0039665,CUST-01810,2025-04-16,565.73,succeeded,EUR
PAY-0000200,INV-0030827,CUST-03083,2025-12-29,340.91,succeeded,USD
PAY-0000201,INV-0037620,CUST-03058,2025-12-19,303.85,succeeded,USD
PAY-0000202,INV-0036649,CUST-02428,2025-09-17,456.13,succeeded,USD
PAY-0000203,INV-0032018,CUST-02066,2025-12-17,661.68,succeeded,USD
PAY-0000204,INV-0009396,CUST-02939,2025-06-23,245.37,succeeded,GBP
PAY-0000205,INV-0036993,CUST-02348,2025-08-23,110.14,succeeded,USD
PAY-0000206,INV-0030890,CUST-04555,2025-12-12,545.67,failed,USD
PAY-0000207,INV-0003696,CUST-02421,2025-08-27,464.3,succeeded,EUR
PAY-0000208,INV-0044701,CUST-04035,2025-02-08,329.45,succeeded,EUR
PAY-0000209,INV-0020154,CUST-01879,2025-12-06,229.92,succeeded,EUR
PAY-0000210,INV-0040575,CUST-04934,2025-01-15,292.34,succeeded,USD
PAY-0000211,INV-0021181,CUST-03742,2025-08-27,373.56,succeeded,USD
PAY-0000212,INV-0030264,CUST-00878,2025-07-15,293.45,succeeded,USD
PAY-0000213,INV-0014008,CUST-02313,2025-12-31,335.67,succeeded,USD
PAY-0000214,INV-0017717,CUST-00075,2025-04-13,284.92,succeeded,USD
PAY-0000215,INV-0030415,CUST-02121,2025-11-16,454.28,succeeded,USD
PAY-0000216,INV-0011920,CUST-02426,2025-07-03,554.91,succeeded,USD
PAY-0000217,INV-0002769,CUST-00908,2025-05-03,781.64,failed,USD
PAY-0000218,INV-0034844,CUST-02748,2025-02-02,350.35,succeeded,EUR
PAY-0000219,INV-0005397,CUST-01906,2025-04-02,112.96,succeeded,EUR
PAY-0000220,INV-0040030,CUST-00451,2025-01-18,148.88,succeeded,USD
PAY-0000221,INV-0027764,CUST-04128,2025-04-19,1514.15,succeeded,USD
PAY-0000222,INV-0015387,CUST-01716,2025-01-02,129.74,succeeded,USD
PAY-0000223,INV-0001366,CUST-04948,2025-01-02,226.37,succeeded,GBP
PAY-0000224,INV-0022711,CUST-00404,2025-10-03,165.38,succeeded,USD
PAY-0000225,INV-0038913,CUST-02226,2025-06-30,728.37,failed,USD
PAY-0000226,INV-0043000,CUST-00926,2025-08-26,766.6,succeeded,USD
PAY-0000227,INV-0016727,CUST-04501,2025-12-31,692.24,succeeded,EUR
PAY-0000228,INV-0001541,CUST-00156,2025-07-29,132.48,succeeded,USD
PAY-0000229,INV-0031762,CUST-01186,2025-09-07,433.08,succeeded,USD
PAY-0000230,INV-0002218,CUST-01894,2025-12-17,759.44,succeeded,USD
PAY-0000231,INV-0009772,CUST-00046,2025-01-20,220.46,succeeded,USD
PAY-0000232,INV-0020152,CUST-04040,2025-11-26,155.98,succeeded,USD
PAY-0000233,INV-0021767,CUST-03951,2025-01-07,231.62,succeeded,USD
PAY-0000234,INV-0031284,CUST-02954,2025-05-16,297.04,succeeded,USD
PAY-0000235,INV-0013166,CUST-00951,2025-04-13,138.23,succeeded,EUR
PAY-0000236,INV-0009149,CUST-01831,2025-07-10,82.74,succeeded,USD
PAY-0000237,INV-0036889,CUST-00234,2025-11-26,367.1,succeeded,USD
PAY-0000238,INV-0031033,CUST-04706,2025-09-18,809.71,succeeded,USD
PAY-0000239,INV-0031105,CUST-01814,2025-02-13,156.6,succeeded,USD
PAY-0000240,INV-0006370,CUST-00379,2025-12-14,1004.8,succeeded,USD
PAY-0000241,INV-0011207,CUST-01089,2025-03-30,510.75,succeeded,USD
PAY-0000242,INV-0032633,CUST-00989,2025-06-01,71.0,succeeded,USD
PAY-0000243,INV-0024891,CUST-02965,2025-05-23,335.67,succeeded,USD
PAY-0000244,INV-0026619,CUST-00076,2025-10-08,146.03,failed,USD
PAY-0000245,INV-0011738,CUST-00081,2025-12-10,255.92,succeeded,USD
PAY-0000246,INV-0024479,CUST-03976,2025-10-25,576.32,pending,USD
PAY-0000247,INV-0023348,CUST-00766,2025-05-22,80.07,succeeded,USD
PAY-0000248,INV-0021806,CUST-00606,2025-10-06,292.59,failed,USD
PAY-0000249,INV-0002113,CUST-02395,2025-07-17,564.49,succeeded,USD
PAY-0000250,INV-0003351,CUST-00649,2025-12-19,670.19,succeeded,USD
PAY-0000251,INV-0037132,CUST-03957,2025-12-14,534.48,succeeded,USD
PAY-0000252,INV-0017374,CUST-04157,2025-08-03,201.0,succeeded,EUR
PAY-0000253,INV-0031298,CUST-04543,2025-05-28,273.23,succeeded,USD
PAY-0000254,INV-0016843,CUST-04408,2025-12-22,188.02,succeeded,USD
PAY-0000255,INV-0019042,CUST-00324,2025-04-18,90.75,succeeded,USD
PAY-0000256,INV-0014869,CUST-02772,2025-08-03,123.89,succeeded,USD
PAY-0000257,INV-0008063,CUST-03924,2025-12-12,281.08,succeeded,EUR
PAY-0000258,INV-0004748,CUST-00360,2025-09-11,120.29,succeeded,GBP
PAY-0000259,INV-0019885,CUST-01281,2025-12-29,269.36,succeeded,USD
PAY-0000260,INV-0024903,CUST-02313,2025-04-29,902.15,succeeded,GBP
PAY-0000261,INV-0007965,CUST-01612,2025-01-14,169.19,succeeded,USD
PAY-0000262,INV-0005934,CUST-02222,2025-04-24,302.72,succeeded,USD
PAY-0000263,INV-0021535,CUST-00828,2025-08-09,1143.62,succeeded,EUR
PAY-0000264,INV-0041911,CUST-04395,2025-09-17,140.09,succeeded,USD
PAY-0000265,INV-0014324,CUST-02638,2025-08-02,297.21,succeeded,USD
PAY-0000266,INV-0032264,CUST-00624,2025-11-06,484.73,succeeded,USD
PAY-0000267,INV-0025630,CUST-02876,2025-09-07,126.78,succeeded,USD
PAY-0000268,INV-0020210,CUST-04420,2025-03-11,326.99,succeeded,USD
PAY-0000269,INV-0036987,CUST-03017,2025-01-29,484.94,succeeded,USD
PAY-0000270,INV-0033507,CUST-00261,2025-07-28,27.48,succeeded,EUR
PAY-0000271,INV-0032186,CUST-01925,2025-02-01,116.13,pending,GBP
PAY-0000272,INV-0033992,CUST-01360,2025-02-07,307.09,succeeded,USD
PAY-0000273,INV-0027580,CUST-00480,2025-01-15,144.82,failed,USD
PAY-0000274,INV-0017712,CUST-03510,2025-04-20,296.1,succeeded,USD
PAY-0000275,INV-0017847,CUST-00776,2025-10-20,365.01,succeeded,USD
PAY-0000276,INV-0035392,CUST-03114,2025-07-03,893.2,succeeded,USD
PAY-0000277,INV-0006622,CUST-01212,2025-08-17,730.94,succeeded,USD
PAY-0000278,INV-0000526,CUST-00848,2025-04-12,1029.19,succeeded,USD
PAY-0000279,INV-0041488,CUST-03979,2025-10-28,202.99,succeeded,USD
PAY-0000280,INV-0027504,CUST-02800,2025-03-29,136.48,succeeded,USD
PAY-0000281,INV-0024126,CUST-01693,2025-09-29,343.1,succeeded,USD
PAY-0000282,INV-0043983,CUST-00264,2025-11-12,502.04,succeeded,USD
PAY-0000283,INV-0024495,CUST-04533,2025-07-24,584.18,failed,GBP
PAY-0000284,INV-0004382,CUST-00912,2025-01-22,790.31,succeeded,USD
PAY-0000285,INV-0003946,CUST-04806,2025-04-30,372.45,failed,USD
PAY-0000286,INV-0007248,CUST-00482,2025-11-15,512.94,succeeded,USD
PAY-0000287,INV-0016942,CUST-03669,2025-04-18,136.33,succeeded,USD
PAY-0000288,INV-0042708,CUST-02599,2025-11-12,640.46,succeeded,USD
PAY-0000289,INV-0003209,CUST-00632,2025-02-14,649.18,succeeded,USD
PAY-0000290,INV-0020195,CUST-01049,2025-12-10,88.58,succeeded,USD
PAY-0000291,INV-0015437,CUST-04868,2025-02-25,1322.05,succeeded,GBP
PAY-0000292,INV-0036829,CUST-02888,2025-09-20,317.67,succeeded,USD
PAY-0000293,INV-0015042,CUST-03932,2025-12-24,571.96,succeeded,USD
PAY-0000294,INV-0012330,CUST-02583,2025-11-11,466.82,succeeded,USD
PAY-0000295,INV-0038960,CUST-04702,2025-02-22,706.7,succeeded,USD
PAY-0000296,INV-0027550,CUST-04898,2025-02-08,206.23,succeeded,USD
PAY-0000297,INV-0037027,CUST-01324,2025-12-04,238.17,succeeded,GBP
PAY-0000298,INV-0014963,CUST-03437,2025-04-05,1405.52,succeeded,USD
PAY-0000299,INV-0038705,CUST-04952,2025-10-12,368.32,failed,GBP
PAY-0000300,INV-0022489,CUST-01468,2025-02-25,222.58,succeeded,USD
PAY-0000301,INV-0030696,CUST-04523,2025-08-30,567.45,failed,GBP
PAY-0000302,INV-0034988,CUST-04502,2025-09-23,177.24,failed,USD
PAY-0000303,INV-0027553,CUST-01706,2025-10-26,177.02,succeeded,USD
PAY-0000304,INV-0010985,CUST-02810,2025-07-09,326.36,succeeded,USD
PAY-0000305,INV-0000230,CUST-04773,2025-07-04,175.29,succeeded,USD
PAY-0000306,INV-0021541,CUST-02225,2025-03-28,320.38,pending,USD
PAY-0000307,INV-0016808,CUST-00595,2025-09-01,761.88,succeeded,USD
PAY-0000308,INV-0014553,CUST-02300,2025-09-17,143.71,succeeded,GBP
PAY-0000309,INV-0031818,CUST-03887,2025-02-19,158.5,succeeded,USD
PAY-0000310,INV-0042782,CUST-04344,2025-03-27,552.66,succeeded,EUR
PAY-0000311,INV-0007473,CUST-03397,2025-06-27,190.6,succeeded,USD
PAY-0000312,INV-0039609,CUST-00621,2025-07-30,144.77,succeeded,USD
PAY-0000313,INV-0030350,CUST-04696,2025-06-17,278.93,succeeded,USD
PAY-0000314,INV-0022718,CUST-00826,2025-01-27,476.16,succeeded,USD
PAY-0000315,INV-0014898,CUST-00074,2025-05-01,68.97,succeeded,USD
PAY-0000316,INV-0000340,CUST-04061,2025-08-25,249.5,pending,USD
PAY-0000317,INV-0040104,CUST-04625,2025-02-20,414.4,succeeded,USD
PAY-0000318,INV-0022737,CUST-02711,2025-12-29,567.21,succeeded,USD
PAY-0000319,INV-0023084,CUST-02027,2025-07-04,136.46,failed,EUR
PAY-0000320,INV-0008684,CUST-03731,2025-08-31,200.63,succeeded,USD
PAY-0000321,INV-0034699,CUST-03953,2025-11-04,587.45,succeeded,GBP
PAY-0000322,INV-0000517,CUST-00319,2025-04-12,878.59,succeeded,EUR
PAY-0000323,INV-0000002,CUST-01480,2025-02-22,768.24,succeeded,USD
PAY-0000324,INV-0005299,CUST-00469,2025-05-03,544.31,succeeded,GBP
PAY-0000325,INV-0039083,CUST-01892,2025-12-02,563.36,succeeded,USD
PAY-0000326,INV-0001042,CUST-03143,2025-10-05,149.56,succeeded,USD
PAY-0000327,INV-0008252,CUST-03250,2025-08-02,402.43,succeeded,USD
PAY-0000328,INV-0009877,CUST-00192,2025-09-11,101.9,pending,USD
PAY-0000329,INV-0015103,CUST-04451,2025-09-28,530.04,succeeded,GBP
PAY-0000330,INV-0035177,CUST-04905,2025-08-20,244.97,pending,USD
PAY-0000331,INV-0008427,CUST-04502,2025-09-22,275.89,succeeded,USD
PAY-0000332,INV-0033680,CUST-04846,2025-03-09,460.89,succeeded,EUR
PAY-0000333,INV-0041204,CUST-01582,2025-04-13,258.42,succeeded,USD
PAY-0000334,INV-0013397,CUST-02365,2025-07-27,124.76,succeeded,USD
PAY-0000335,INV-0016406,CUST-00442,2025-03-06,547.62,succeeded,USD
PAY-0000336,INV-0006046,CUST-03858,2025-08-12,486.84,succeeded,USD
PAY-0000337,INV-0001113,CUST-04509,2025-03-22,211.34,succeeded,USD
PAY-0000338,INV-0031424,CUST-03031,2025-11-09,619.35,succeeded,USD
PAY-0000339,INV-0038779,CUST-01304,2025-04-01,302.2,succeeded,EUR
PAY-0000340,INV-0043653,CUST-00439,2025-12-23,115.25,succeeded,USD
