ticket_id,customer_id,created_at,priority,status,first_response_at,resolved_at
TCK-0000035,CUST-00452,2025-06-30,low,resolved,2025-06-30 01:48:00,2025-06-30 17:14:00
TCK-0000036,CUST-04691,2025-11-30,low,resolved,2025-11-30 04:38:00,2025-11-30 21:55:00
TCK-0000037,CUST-01021,2025-04-12,medium,resolved,2025-04-12 00:31:00,2025-04-15 21:29:00
TCK-0000038,CUST-02601,2025-11-20,low,open,2025-11-20 00:46:00,2025-11-20 04:00:00
TCK-0000039,CUST-03613,2025-05-26,high,resolved,2025-05-26 01:47:00,2025-05-26 07:42:00
TCK-0000040,CUST-01576,2025-07-05,medium,resolved,2025-07-05 04:15:00,2025-07-07 03:53:00
TCK-0000041,CUST-02242,2025-08-05,high,resolved,2025-08-05 03:38:00,2025-08-07 14:14:00
TCK-0000042,CUST-03909,2025-04-11,medium,resolved,2025-04-11 00:27:00,2025-04-12 02:34:00
TCK-0000043,CUST-04148,2025-10-30,medium,resolved,2025-10-30 04:26:00,2025-10-30 11:09:00
TCK-0000044,CUST-04694,2025-07-27,low,resolved,2025-07-27 04:20:00,2025-07-29 09:19:00
TCK-0000045,CUST-01465,2025-02-19,medium,resolved,2025-02-19 03:38:00,2025-02-21 08:35:00
TCK-0000046,CUST-01978,2025-10-13,high,resolved,2025-10-13 02:45:00,2025-10-15 07:58:00
TCK-0000047,CUST-04868,2025-01-01,low,resolved,2025-01-01 03:13:00,2025-01-02 15:42:00
TCK-0000048,CUST-04880,2025-03-15,low,resolved,2025-03-15 01:14:00,2025-03-18 12:11:00
TCK-0000049,CUST-02496,2025-08-30,high,resolved,2025-08-30 01:50:00,2025-09-01 04:29:00
TCK-0000050,CUST-03808,2025-09-01,low,resolved,2025-09-01 01:44:00,2025-09-02 01:09:00
TCK-0000051,CUST-01357,2025-01-07,high,resolved,2025-01-07 00:55:00,2025-01-08 21:26:00
TCK-0000052,CUST-01882,2025-11-08,medium,resolved,2025-11-08 04:55:00,2025-11-10 13:46:00
TCK-0000053,CUST-01444,2025-08-28,low,resolved,2025-08-28 00:55:00,2025-08-29 02:50:00
TCK-0000054,CUST-00839,2025-04-02,low,resolved,2025-04-02 05:06:00,2025-04-04 01:49:00
TCK-0000055,CUST-02150,2025-12-18,medium,resolved,2025-12-18 04:42:00,2025-12-22 02:03:00
TCK-0000056,CUST-01277,2025-03-18,high,resolved,2025-03-18 04:10:00,2025-03-19 12:14:00
TCK-0000057,CUST-04938,2025-02-12,low,resolved,2025-02-12 05:46:00,2025-02-13 07:07:00
TCK-0000058,CUST-00183,2025-01-16,medium,resolved,2025-01-16 04:55:00,2025-01-17 11:20:00
TCK-0000059,CUST-04420,2025-07-29,high,resolved,2025-07-29 02:01:00,2025-07-31 06:23:00
TCK-0000060,CUST-02723,2025-10-06,critical,resolved,2025-10-06 03:54:00,2025-10-07 23:05:00
TCK-0000061,CUST-00705,2025-04-13,low,resolved,2025-04-13 05:47:00,2025-04-16 01:26:00
TCK-0000062,CUST-02344,2025-12-21,low,resolved,2025-12-21 05:29:00,2025-12-23 07:38:00
TCK-0000063,CUST-04873,2025-02-13,medium,open,2025-02-13 04:15:00,2025-02-15 06:48:00
TCK-0000064,CUST-03451,2025-02-03,low,resolved,2025-02-03 05:16:00,2025-02-05 10:33:00
TCK-0000065,CUST-00991,2025-09-09,low,resolved,2025-09-09 04:02:00,2025-09-12 11:04:00
TCK-0000066,CUST-00196,2025-03-25,medium,resolved,2025-03-25 04:10:00,2025-03-26 12:11:00
TCK-0000067,CUST-03775,2025-10-15,low,open,2025-10-15 01:50:00,2025-10-16 08:33:00
TCK-0000068,CUST-03878,2025-08-23,high,resolved,2025-08-23 00:36:00,2025-08-25 18:35:00
TCK-0000069,CUST-04538,2025-06-20,low,resolved,2025-06-20 02:33:00,2025-06-21 03:23:00
TCK-0000070,CUST-01520,2025-05-09,medium,resolved,2025-05-09 00:12:00,2025-05-09 18:53:00
TCK-0000071,CUST-01863,2025-08-24,low,resolved,2025-08-24 02:45:00,2025-08-25 04:07:00
TCK-0000072,CUST-01707,2025-09-02,medium,resolved,2025-09-02 00:57:00,2025-09-03 20:14:00
TCK-0000073,CUST-00878,2025-09-24,high,resolved,2025-09-24 05:24:00,2025-09-25 05:48:00
TCK-0000074,CUST-03419,2025-08-28,low,resolved,2025-08-28 01:35:00,2025-08-30 03:02:00
TCK-0000075,CUST-01561,2025-07-31,low,resolved,2025-07-31 03:19:00,2025-08-01 17:50:00
TCK-0000076,CUST-04404,2025-05-30,low,resolved,2025-05-30 02:01:00,2025-05-31 12:41:00
TCK-0000077,CUST-03055,2025-02-07,low,open,2025-02-07 05:21:00,2025-02-07 14:37:00
TCK-0000078,CUST-00224,2025-07-03,low,open,2025-07-03 05:59:00,2025-07-04 20:19:00
TCK-0000079,CUST-02906,2025-08-05,low,resolved,2025-08-05 02:42:00,2025-08-08 16:21:00
TCK-0000080,CUST-00956,2025-08-29,low,open,2025-08-29 04:52:00,2025-09-01 05:40:00
TCK-0000081,CUST-04498,2025-04-01,medium,open,2025-04-01 02:43:00,2025-04-03 09:40:00
TCK-0000082,CUST-04737,2025-08-22,medium,resolved,2025-08-22 01:42:00,2025-08-24 13:39:00
TCK-0000083,CUST-02479,2025-05-07,low,open,2025-05-07 03:26:00,2025-05-08 20:19:00
TCK-0000084,CUST-03877,2025-05-29,low,open,2025-05-29 03:38:00,2025-05-29 23:33:00
TCK-0000085,CUST-01878,2025-05-23,low,resolved,2025-05-23 02:25:00,2025-05-24 00:14:00
TCK-0000086,CUST-00830,2025-07-02,low,open,2025-07-02 02:36:00,2025-07-02 13:03:00
TCK-0000087,CUST-01710,2025-07-19,low,resolved,2025-07-19 05:40:00,2025-07-20 08:14:00
TCK-0000088,CUST-01863,2025-03-18,low,resolved,2025-03-18 00:28:00,2025-03-19 06:56:00
TCK-0000089,CUST-01646,2025-01-25,low,resolved,2025-01-25 03:11:00,2025-01-26 01:08:00
TCK-0000090,CUST-02143,2025-06-23,low,resolved,2025-06-23 00:17:00,2025-06-24 08:55:00
TCK-0000091,CUST-00940,2025-07-09,low,resolved,2025-07-09 00:16:00,2025-07-09 08:09:00
TCK-0000092,CUST-01239,2025-04-20,high,resolved,2025-04-20 04:16:00,2025-04-20 10:27:00
TCK-0000093,CUST-02644,2025-01-11,low,resolved,2025-01-11 04:55:00,2025-01-14 01:27:00
TCK-0000094,CUST-03399,2025-08-26,low,resolved,2025-08-26 02:35:00,2025-08-26 12:41:00
TCK-0000095,CUST-03188,2025-11-10,low,resolved,2025-11-10 04:16:00,2025-11-10 14:32:00
TCK-0000096,CUST-01762,2025-05-29,medium,resolved,2025-05-29 00:58:00,2025-05-30 06:20:00
TCK-0000097,CUST-00127,2025-05-31,medium,resolved,2025-05-31 01:19:00,2025-06-01 08:18:00
TCK-0000098,CUST-03298,2025-12-02,low,resolved,2025-12-02 02:01:00,2025-12-03 09:55:00
TCK-0000099,CUST-01107,2025-11-01,high,resolved,2025-11-01 02:33:00,2025-11-02 21:55:00
TCK-0000100,CUST-04097,2025-01-04,medium,resolved,2025-01-04 04:02:00,2025-01-07 00:24:00
TCK-0000101,CUST-01289,2025-10-17,medium,resolved,2025-10-17 02:46:00,2025-10-19 00:06:00
TCK-0000102,CUST-01358,2025-11-13,medium,resolved,2025-11-13 05:14:00,2025-11-14 23:41:00
TCK-0000103,CUST-02521,2025-02-11,high,resolved,2025-02-11 03:16:00,2025-02-11 01:09:00
TCK-0000104,CUST-00020,2025-07-05,medium,resolved,2025-07-05 05:12:00,2025-07-05 16:45:00
TCK-0000105,CUST-04699,2025-11-16,low,resolved,2025-11-16 02:03:00,2025-11-18 03:50:00
TCK-0000106,CUST-03091,2025-07-23,medium,resolved,2025-07-23 04:44:00,2025-07-26 15:22:00
TCK-0000107,CUST-00223,2025-09-22,medium,resolved,2025-09-22 05:13:00,2025-09-23 11:02:00
TCK-0000108,CUST-01998,2025-03-15,medium,resolved,2025-03-15 01:32:00,2025-03-18 11:51:00
TCK-0000109,CUST-01971,2025-03-02,medium,resolved,2025-03-02 02:04:00,2025-03-03 04:35:00
TCK-0000110,CUST-02151,2025-04-10,low,open,2025-04-10 01:45:00,2025-04-11 08:31:00
TCK-0000111,CUST-00580,2025-04-28,low,resolved,2025-04-28 04:20:00,2025-04-28 16:13:00
TCK-0000112,CUST-02458,2025-12-20,low,resolved,2025-12-20 01:37:00,2025-12-21 17:31:00
TCK-0000113,CUST-00366,2025-08-30,critical,open,2025-08-30 03:13:00,2025-09-02 09:35:00
TCK-0000114,CUST-01556,2025-05-02,medium,resolved,2025-05-02 01:38:00,2025-05-03 23:19:00
TCK-0000115,CUST-00933,2025-10-09,medium,resolved,2025-10-09 01:04:00,2025-10-12 21:29:00
TCK-0000116,CUST-01534,2025-06-19,high,resolved,2025-06-19 00:10:00,2025-06-19 09:00:00
TCK-0000117,CUST-00371,2025-09-08,medium,resolved,2025-09-08 04:10:00,2025-09-11 12:17:00
TCK-0000118,CUST-02638,2025-02-03,low,resolved,2025-02-03 02:18:00,2025-02-03 13:38:00
TCK-0000119,CUST-03482,2025-12-01,low,resolved,2025-12-01 01:21:00,2025-12-02 10:29:00
TCK-0000120,CUST-00827,2025-03-13,high,resolved,2025-03-13 03:41:00,2025-03-14 10:45:00
TCK-0000121,CUST-00086,2025-09-09,low,open,2025-09-09 05:22:00,2025-09-10 18:08:00
TCK-0000122,CUST-01575,2025-05-17,low,resolved,2025-05-17 01:06:00,2025-05-20 23:10:00
TCK-0000123,CUST-03138,2025-09-29,medium,resolved,2025-09-29 05:05:00,2025-10-02 10:08:00
TCK-0000124,CUST-03884,2025-12-05,high,resolved,2025-12-05 04:48:00,2025-12-05 04:02:00
TCK-0000125,CUST-00842,2025-12-26,low,resolved,2025-12-26 04:39:00,2025-12-29 04:56:00
TCK-0000126,CUST-02990,2025-10-02,medium,resolved,2025-10-02 03:30:00,2025-10-04 10:40:00
TCK-0000127,CUST-03393,2025-07-06,medium,resolved,2025-07-06 05:18:00,2025-07-08 08:43:00
TCK-0000128,CUST-04589,2025-11-21,medium,resolved,2025-11-21 04:29:00,2025-11-24 10:01:00
TCK-0000129,CUST-03442,2025-11-24,high,resolved,2025-11-24 02:33:00,2025-11-26 09:34:00
TCK-0000130,CUST-04860,2025-10-31,high,open,2025-10-31 00:57:00,2025-10-31 10:07:00
TCK-0000131,CUST-02657,2025-02-21,low,open,2025-02-21 03:09:00,2025-02-21 12:28:00
TCK-0000132,CUST-02909,2025-06-05,medium,resolved,2025-06-05 04:59:00,2025-06-05 22:59:00
TCK-0000133,CUST-03212,2025-07-06,high,resolved,2025-07-06 03:37:00,2025-07-06 01:32:00
TCK-0000134,CUST-03436,2025-06-17,low,resolved,2025-06-17 03:10:00,2025-06-19 04:24:00
TCK-0000135,CUST-01453,2025-08-12,critical,resolved,2025-08-12 02:06:00,2025-08-14 00:34:00
TCK-0000136,CUST-00331,2025-07-16,high,resolved,2025-07-16 01:51:00,2025-07-17 03:21:00
TCK-0000137,CUST-01333,2025-05-20,medium,resolved,2025-05-20 04:33:00,2025-05-20 16:49:00
TCK-0000138,CUST-01549,2025-11-14,medium,open,2025-11-14 00:15:00,2025-11-16 23:47:00
TCK-0000139,CUST-03678,2025-02-21,medium,resolved,2025-02-21 03:57:00,2025-02-22 14:18:00
TCK-0000140,CUST-04134,2025-11-23,low,resolved,2025-11-23 05:10:00,2025-11-23 10:03:00
TCK-0000141,CUST-00392,2025-09-09,low,resolved,2025-09-09 01:04:00,2025-09-09 11:50:00
TCK-0000142,CUST-00443,2025-05-11,high,resolved,2025-05-11 01:57:00,2025-05-11 06:27:00
TCK-0000143,CUST-02429,2025-05-27,high,resolved,2025-05-27 00:59:00,2025-05-30 00:21:00
TCK-0000144,CUST-02361,2025-03-17,low,resolved,2025-03-17 04:08:00,2025-03-17 19:00:00
TCK-0000145,CUST-01862,2025-01-30,low,resolved,2025-01-30 03:44:00,2025-02-01 06:36:00
TCK-0000146,CUST-01691,2025-10-04,medium,resolved,2025-10-04 03:48:00,2025-10-07 19:16:00
TCK-0000147,CUST-03262,2025-07-13,high,resolved,2025-07-13 04:53:00,2025-07-14 20:32:00
TCK-0000148,CUST-03951,2025-06-07,critical,open,2025-06-07 04:17:00,2025-06-09 07:51:00
TCK-0000149,CUST-00089,2025-12-14,medium,resolved,2025-12-14 00:15:00,2025-12-14 22:09:00
TCK-0000150,CUST-02430,2025-01-30,low,resolved,2025-01-30 05:59:00,2025-01-30 17:32:00
TCK-0000151,CUST-04269,2025-11-29,low,resolved,2025-11-29 03:47:00,2025-11-30 09:55:00
TCK-0000152,CUST-03427,2025-03-22,low,resolved,2025-03-22 03:09:00,2025-03-22 11:20:00
TCK-0000153,CUST-04397,2025-06-19,medium,resolved,2025-06-19 03:37:00,2025-06-21 14:47:00
TCK-0000154,CUST-04986,2025-09-19,high,resolved,2025-09-19 04:47:00,2025-09-22 22:56:00
TCK-0000155,CUST-04847,2025-12-21,low,resolved,2025-12-21 05:16:00,2025-12-23 03:58:00
TCK-0000156,CUST-04306,2025-09-20,high,resolved,2025-09-20 02:51:00,2025-09-22 10:13:00
TCK-0000157,CUST-04111,2025-11-17,medium,resolved,2025-11-17 01:06:00,2025-11-18 02:13:00
TCK-0000158,CUST-00696,2025-04-15,low,resolved,2025-04-15 01:48:00,2025-04-16 06:04:00
TCK-0000159,CUST-01207,2025-05-16,critical,resolved,2025-05-16 02:24:00,2025-05-18 08:54:00
TCK-0000160,CUST-02990,2025-05-17,low,open,2025-05-17 05:05:00,2025-05-17 10:04:00
TCK-0000161,CUST-03897,2025-05-16,medium,resolved,2025-05-16 01:18:00,2025-05-19 00:57:00
TCK-0000162,CUST-00028,2025-11-18,low,resolved,2025-11-18 00:13:00,2025-11-20 19:43:00
TCK-0000163,CUST-04595,2025-02-03,low,resolved,2025-02-03 03:58:00,2025-02-06 10:47:00
TCK-0000164,CUST-04509,2025-01-11,medium,resolved,2025-01-11 03:28:00,2025-01-13 08:15:00
TCK-0000165,CUST-03310,2025-08-12,high,resolved,2025-08-12 05:51:00,2025-08-12 07:11:00
TCK-0000166,CUST-02386,2025-05-17,high,resolved,2025-05-17 00:53:00,2025-05-19 12:27:00
TCK-0000167,CUST-01210,2025-10-26,critical,resolved,2025-10-26 04:03:00,2025-10-26 05:50:00
TCK-0000168,CUST-02719,2025-06-13,medium,resolved,2025-06-13 01:51:00,2025-06-16 07:56:00
TCK-0000169,CUST-00497,2025-04-08,low,resolved,2025-04-08 01:53:00,2025-04-08 19:34:00
TCK-0000170,CUST-01979,2025-09-01,medium,resolved,2025-09-01 00:17:00,2025-09-01 02:10:00
TCK-0000171,CUST-01847,2025-02-07,medium,resolved,2025-02-07 00:40:00,2025-02-10 06:11:00
TCK-0000172,CUST-00533,2025-12-25,low,resolved,2025-12-25 05:45:00,2025-12-25 10:14:00
TCK-0000173,CUST-03589,2025-05-06,medium,open,2025-05-06 04:27:00,2025-05-06 20:40:00
TCK-0000174,CUST-02860,2025-08-25,medium,resolved,2025-08-25 00:49:00,2025-08-28 10:14:00
TCK-0000175,CUST-02923,2025-12-18,high,resolved,2025-12-18 00:51:00,2025-12-21 09:49:00
TCK-0000176,CUST-03853,2025-11-10,medium,resolved,2025-11-10 04:33:00,2025-11-13 12:04:00
TCK-0000177,CUST-00736,2025-01-30,low,resolved,2025-01-30 02:35:00,2025-02-02 07:10:00
TCK-0000178,CUST-02112,2025-10-29,low,resolved,2025-10-29 05:38:00,2025-11-02 01:32:00
TCK-0000179,CUST-00209,2025-02-27,low,resolved,2025-02-27 00:20:00,2025-03-02 17:27:00
TCK-0000180,CUST-00399,2025-08-09,medium,resolved,2025-08-09 03:12:00,2025-08-09 19:54:00
TCK-0000181,CUST-00513,2025-11-15,critical,open,2025-11-15 00:35:00,2025-11-16 08:49:00
TCK-0000182,CUST-01375,2025-12-05,medium,open,2025-12-05 04:54:00,2025-12-07 18:05:00
TCK-0000183,CUST-02835,2025-06-20,high,resolved,2025-06-20 04:02:00,2025-06-23 17:10:00
TCK-0000184,CUST-04653,2025-09-06,high,resolved,2025-09-06 05:13:00,2025-09-09 02:37:00
TCK-0000185,CUST-04830,2025-06-14,low,resolved,2025-06-14 00:28:00,2025-06-15 00:17:00
TCK-0000186,CUST-04925,2025-04-02,medium,resolved,2025-04-02 05:36:00,2025-04-02 01:16:00
TCK-0000187,CUST-04233,2025-01-27,low,resolved,2025-01-27 00:58:00,2025-01-28 21:27:00
TCK-0000188,CUST-00750,2025-08-03,medium,open,2025-08-03 00:05:00,2025-08-04 15:37:00
TCK-0000189,CUST-04134,2025-06-19,medium,resolved,2025-06-19 03:29:00,2025-06-20 08:41:00
TCK-0000190,CUST-04130,2025-06-12,high,resolved,2025-06-12 02:09:00,2025-06-15 02:13:00
TCK-0000191,CUST-03424,2025-01-12,low,resolved,2025-01-12 01:03:00,2025-01-14 16:20:00
TCK-0000192,CUST-00892,2025-05-21,low,resolved,2025-05-21 01:21:00,2025-05-23 19:40:00
TCK-0000193,CUST-02188,2025-06-05,high,resolved,2025-06-05 02:22:00,2025-06-08 02:17:00
TCK-0000194,CUST-01457,2025-09-06,medium,resolved,2025-09-06 02:33:00,2025-09-06 08:06:00
TCK-0000195,CUST-04350,2025-05-22,low,resolved,2025-05-22 02:56:00,2025-05-23 14:01:00
TCK-0000196,CUST-00199,2025-11-30,medium,resolved,2025-11-30 01:18:00,2025-11-30 12:48:00
TCK-0000197,CUST-02062,2025-12-20,low,resolved,2025-12-20 01:29:00,2025-12-21 02:11:00
TCK-0000198,CUST-00723,2025-01-06,high,resolved,2025-01-06 01:23:00,2025-01-09 06:22:00
TCK-0000199,CUST-02043,2025-09-06,medium,resolved,2025-09-06 00:45:00,2025-09-06 16:28:00
TCK-0000200,CUST-00636,2025-02-07,medium,resolved,2025-02-07 05:48:00,2025-02-07 19:32:00
TCK-0000201,CUST-01882,2025-03-19,low,open,2025-03-19 05:51:00,2025-03-22 22:53:00
TCK-0000202,CUST-04409,2025-06-23,low,resolved,2025-06-23 03:02:00,2025-06-23 22:54:00
TCK-0000203,CUST-03547,2025-11-02,high,resolved,2025-11-02 04:44:00,2025-11-03 20:58:00
TCK-0000204,CUST-02639,2025-08-25,medium,resolved,2025-08-25 02:12:00,2025-08-29 00:20:00
TCK-0000205,CUST-03980,2025-03-15,low,resolved,2025-03-15 04:04:00,2025-03-18 10:15:00
TCK-0000206,CUST-03171,2025-03-09,low,resolved,2025-03-09 02:24:00,2025-03-11 11:04:00
TCK-0000207,CUST-02062,2025-01-15,medium,resolved,2025-01-15 03:15:00,2025-01-17 14:55:00
TCK-0000208,CUST-03937,2025-11-27,low,open,2025-11-27 01:10:00,2025-11-29 23:28:00
TCK-0000209,CUST-04980,2025-12-23,medium,resolved,2025-12-23 04:40:00,2025-12-25 09:53:00
TCK-0000210,CUST-04000,2025-01-19,low,resolved,2025-01-19 01:14:00,2025-01-23 01:56:00
TCK-0000211,CUST-01855,2025-09-13,medium,resolved,2025-09-13 05:24:00,2025-09-16 19:35:00
TCK-0000212,CUST-04216,2025-05-10,medium,resolved,2025-05-10 00:57:00,2025-05-11 09:44:00
TCK-0000213,CUST-01667,2025-03-08,low,resolved,2025-03-08 01:13:00,2025-03-12 01:48:00
TCK-0000214,CUST-01544,2025-11-03,medium,resolved,2025-11-03 03:22:00,2025-11-06 02:50:00
TCK-0000215,CUST-01978,2025-06-11,critical,resolved,2025-06-11 04:11:00,2025-06-13 16:20:00
TCK-0000216,CUST-03047,2025-09-09,medium,resolved,2025-09-09 04:37:00,2025-09-09 12:11:00
TCK-0000217,CUST-00694,2025-10-23,high,resolved,2025-10-23 04:34:00,2025-10-26 06:24:00
TCK-0000218,CUST-02531,2025-03-14,low,resolved,2025-03-14 03:44:00,2025-03-16 11:29:00
TCK-0000219,CUST-00700,2025-03-25,high,open,2025-03-25 04:31:00,2025-03-27 00:32:00
TCK-0000220,CUST-00716,2025-05-19,low,resolved,2025-05-19 01:43:00,2025-05-20 02:31:00
TCK-0000221,CUST-02438,2025-12-20,medium,open,2025-12-20 01:59:00,2025-12-23 23:28:00
TCK-0000222,CUST-00732,2025-12-01,low,resolved,2025-12-01 05:05:00,2025-12-02 04:02:00
TCK-0000223,CUST-01724,2025-03-20,medium,resolved,2025-03-20 02:37:00,2025-03-20 12:44:00
TCK-0000224,CUST-00086,2025-05-02,medium,resolved,2025-05-02 03:05:00,2025-05-02 16:29:00
TCK-0000225,CUST-02112,2025-11-02,high,resolved,2025-11-02 01:33:00,2025-11-06 03:10:00
TCK-0000226,CUST-00558,2025-11-23,medium,resolved,2025-11-23 00:53:00,2025-11-24 10:47:00
TCK-0000227,CUST-03577,2025-10-29,low,open,2025-10-29 02:25:00,2025-10-31 00:45:00
TCK-0000228,CUST-04779,2025-03-27,high,resolved,2025-03-27 00:21:00,2025-03-30 11:35:00
TCK-0000229,CUST-03292,2025-08-19,low,open,2025-08-19 03:08:00,2025-08-22 08:40:00
TCK-0000230,CUST-01017,2025-02-28,high,open,2025-02-28 05:18:00,2025-03-04 00:48:00
TCK-0000231,CUST-02409,2025-01-03,low,resolved,2025-01-03 04:33:00,2025-01-04 04:37:00
TCK-0000232,CUST-03761,2025-05-24,medium,resolved,2025-05-24 05:53:00,2025-05-24 06:42:00
TCK-0000233,CUST-03687,2025-10-14,medium,resolved,2025-10-14 02:42:00,2025-10-16 09:23:00
TCK-0000234,CUST-02078,2025-02-22,medium,resolved,2025-02-22 02:06:00,2025-02-24 22:57:00
TCK-0000235,CUST-00860,2025-11-06,low,resolved,2025-11-06 05:02:00,2025-11-06 02:03:00
TCK-0000236,CUST-02681,2025-11-07,medium,resolved,2025-11-07 04:26:00,2025-11-10 22:19:00
TCK-0000237,CUST-02929,2025-08-12,low,resolved,2025-08-12 01:20:00,2025-08-14 05:59:00
TCK-0000238,CUST-02702,2025-01-06,medium,resolved,2025-01-06 02:26:00,2025-01-07 04:51:00
TCK-0000239,CUST-02049,2025-01-24,high,open,2025-01-24 05:41:00,2025-01-28 00:23:00
TCK-0000240,CUST-01565,2025-10-06,low,resolved,2025-10-06 04:24:00,2025-10-09 08:01:00
TCK-0000241,CUST-00275,2025-04-01,medium,resolved,2025-04-01 05:46:00,2025-04-04 22:11:00
TCK-0000242,CUST-01702,2025-01-21,high,open,2025-01-21 00:58:00,2025-01-21 17:04:00
TCK-0000243,CUST-03034,2025-11-09,medium,resolved,2025-11-09 00:54:00,2025-11-12 15:24:00
TCK-0000244,CUST-02484,2025-06-01,low,resolved,2025-06-01 00:44:00,2025-06-02 16:30:00
TCK-0000245,CUST-04564,2025-04-23,medium,resolved,2025-04-23 00:40:00,2025-04-25 06:16:00
TCK-0000246,CUST-00610,2025-11-06,low,resolved,2025-11-06 02:24:00,2025-11-09 01:07:00
TCK-0000247,CUST-02313,2025-12-11,high,open,2025-12-11 00:46:00,2025-12-13 21:24:00
TCK-0000248,CUST-00363,2025-09-16,critical,resolved,2025-09-16 05:51:00,2025-09-18 06:35:00
TCK-0000249,CUST-01193,2025-12-20,low,resolved,2025-12-20 05:40:00,2025-12-20 14:49:00
TCK-0000250,CUST-03785,2025-05-21,low,resolved,2025-05-21 02:59:00,2025-05-22 17:33:00
TCK-0000251,CUST-02646,2025-09-30,medium,resolved,2025-09-30 01:27:00,2025-10-03 08:48:00
TCK-0000252,CUST-02889,2025-03-28,medium,resolved,2025-03-28 02:19:00,2025-03-30 10:24:00
TCK-0000253,CUST-00086,2025-10-08,medium,resolved,2025-10-08 00:09:00,2025-10-10 05:35:00
TCK-0000254,CUST-01468,2025-12-02,medium,resolved,2025-12-02 02:28:00,2025-12-03 12:24:00
TCK-0000255,CUST-03773,2025-07-07,medium,resolved,2025-07-07 04:01:00,2025-07-07 17:16:00
TCK-0000256,CUST-01731,2025-04-21,low,resolved,2025-04-21 00:12:00,2025-04-22 15:20:00
TCK-0000257,CUST-00604,2025-11-04,low,resolved,2025-11-04 01:01:00,2025-11-07 01:18:00
