opportunity_id,account_id,created_at,close_date,stage,amount
OPP-0000082,ACCT-00529,2025-12-19,2025-12-22,closed_lost,14017.19
OPP-0000083,ACCT-00168,2025-10-22,2025-07-09,prospecting,8136.78
OPP-0000084,ACCT-04779,2025-02-22,2026-02-08,closed_won,96923.26
OPP-0000085,ACCT-00991,2025-04-19,2025-08-19,prospecting,21264.3
OPP-0000086,ACCT-03194,2025-11-21,2025-03-14,closed_won,17585.19
OPP-0000087,ACCT-01230,2025-12-19,2025-11-14,proposal,11662.08
OPP-0000088,ACCT-01624,2025-04-26,2025-07-02,closed_won,17429.86
OPP-0000089,ACCT-02411,2025-08-21,2025-08-09,proposal,7216.07
OPP-0000090,ACCT-05407,2025-04-10,2025-08-26,prospecting,26886.63
OPP-0000091,ACCT-02097,2025-10-10,2025-03-31,proposal,19100.76
OPP-0000092,ACCT-05678,2025-07-23,2025-03-20,prospecting,18602.81
OPP-0000093,ACCT-03228,2025-06-10,2025-06-22,closed_lost,31644.62
OPP-0000094,ACCT-00044,2025-07-03,2025-03-09,prospecting,2512.09
OPP-0000095,ACCT-04741,2025-06-16,2025-06-09,closed_won,2499.22
OPP-0000096,ACCT-05545,2025-08-09,2025-03-09,negotiation,4817.29
OPP-0000097,ACCT-05072,2025-04-21,2025-07-18,closed_won,29298.84
OPP-0000098,ACCT-01956,2025-12-08,2025-03-17,proposal,10187.63
OPP-0000099,ACCT-05063,2025-06-16,2025-11-14,proposal,9761.48
OPP-0000100,ACCT-03146,2025-04-16,2025-04-24,prospecting,22913.21
OPP-0000101,ACCT-05307,2025-11-28,2025-04-05,prospecting,20196.67
OPP-0000102,ACCT-05502,2025-03-03,2025-03-22,negotiation,8761.76
OPP-0000103,ACCT-05049,2025-05-24,2026-02-15,closed_won,6045.26
OPP-0000104,ACCT-02931,2025-03-08,2026-02-20,closed_lost,22267.59
OPP-0000105,ACCT-00009,2025-08-03,2025-11-24,closed_won,37571.38
OPP-0000106,ACCT-02902,2025-11-21,2025-07-11,proposal,9351.5
OPP-0000107,ACCT-01656,2025-06-16,2025-02-23,proposal,15276.61
OPP-0000108,ACCT-01461,2025-10-31,2025-05-31,negotiation,23028.73
OPP-0000109,ACCT-01668,2025-01-03,2026-01-27,proposal,29141.01
OPP-0000110,ACCT-01810,2025-05-27,2025-07-01,prospecting,28640.39
OPP-0000111,ACCT-03667,2025-04-28,2025-12-05,proposal,2776.2
OPP-0000112,ACCT-01479,2025-09-26,2025-07-22,prospecting,5890.78
OPP-0000113,ACCT-03388,2025-12-19,2025-06-17,prospecting,26865.01
OPP-0000114,ACCT-05275,2025-02-07,2025-08-09,prospecting,51408.7
OPP-0000115,ACCT-04768,2025-02-16,2025-08-02,closed_lost,10219.94
OPP-0000116,ACCT-02985,2025-12-27,2026-02-14,prospecting,1974.9
OPP-0000117,ACCT-05118,2025-09-16,2025-12-18,closed_won,34468.55
OPP-0000118,ACCT-03037,2025-02-04,2025-02-06,proposal,24526.9
OPP-0000119,ACCT-02116,2025-11-08,2025-02-05,proposal,19950.49
OPP-0000120,ACCT-01473,2025-03-19,2025-07-05,proposal,6373.36
OPP-0000121,ACCT-02423,2025-06-03,2025-02-02,prospecting,5053.53
OPP-0000122,ACCT-05045,2025-10-11,2025-02-18,proposal,18007.52
OPP-0000123,ACCT-04619,2025-05-16,2025-05-02,proposal,7124.68
OPP-0000124,ACCT-04435,2025-06-05,2025-11-15,prospecting,3691.42
OPP-0000125,ACCT-00983,2025-11-04,2025-02-03,proposal,18738.69
OPP-0000126,ACCT-00030,2025-12-28,2025-05-25,closed_won,33258.47
OPP-0000127,ACCT-04052,2025-02-09,2025-05-11,proposal,17300.74
OPP-0000128,ACCT-00477,2025-07-22,2025-03-08,prospecting,18544.62
OPP-0000129,ACCT-01540,2025-05-18,2025-12-24,closed_won,28515.17
OPP-0000130,ACCT-05722,2025-04-14,2025-07-02,closed_won,2798.82
OPP-0000131,ACCT-03707,2025-01-05,2026-02-19,closed_won,31509.0
OPP-0000132,ACCT-02447,2025-09-23,2026-02-18,prospecting,26692.59
OPP-0000133,ACCT-03225,2025-11-03,2026-02-26,proposal,32759.19
OPP-0000134,ACCT-02327,2025-05-18,2025-02-15,proposal,11919.83
OPP-0000135,ACCT-04505,2025-04-19,2025-09-01,closed_won,25612.67
OPP-0000136,ACCT-02939,2025-10-03,2025-12-21,closed_lost,10610.3
OPP-0000137,ACCT-05226,2025-04-30,2025-07-25,negotiation,41251.64
OPP-0000138,ACCT-01875,2025-05-21,2025-04-17,negotiation,34164.82
OPP-0000139,ACCT-02507,2025-04-06,2025-08-04,negotiation,7490.99
OPP-0000140,ACCT-02631,2025-07-08,2025-07-04,proposal,7830.04
OPP-0000141,ACCT-02977,2025-06-16,2026-02-21,proposal,15446.31
OPP-0000142,ACCT-00315,2025-04-12,2026-01-14,closed_lost,17498.94
OPP-0000143,ACCT-00874,2025-11-08,2025-07-30,negotiation,13968.65
OPP-0000144,ACCT-02491,2025-07-08,2025-08-11,negotiation,13338.83
OPP-0000145,ACCT-04429,2025-04-14,2025-04-23,negotiation,28571.62
OPP-0000146,ACCT-03127,2025-12-23,2025-06-17,negotiation,5095.32
OPP-0000147,ACCT-04692,2025-03-10,2025-12-07,proposal,21588.88
OPP-0000148,ACCT-05701,2025-12-16,2025-06-09,negotiation,6887.78
OPP-0000149,ACCT-00455,2025-12-23,2026-03-03,negotiation,4606.02
OPP-0000150,ACCT-05367,2025-12-17,2025-06-22,negotiation,27065.38
OPP-0000151,ACCT-03306,2025-09-26,2026-02-17,proposal,34344.8
OPP-0000152,ACCT-05870,2025-02-19,2025-09-30,closed_won,25425.71
OPP-0000153,ACCT-00594,2025-02-24,2026-01-05,closed_won,14426.95
OPP-0000154,ACCT-05345,2025-09-17,2025-07-30,proposal,8802.22
OPP-0000155,ACCT-04822,2025-07-25,2025-09-25,prospecting,11522.87
OPP-0000156,ACCT-05779,2025-06-14,2026-03-03,prospecting,20064.69
OPP-0000157,ACCT-01337,2025-09-11,2025-06-19,prospecting,15020.54
OPP-0000158,ACCT-05957,2025-01-31,2025-05-29,proposal,3302.13
OPP-0000159,ACCT-04413,2025-05-10,2026-02-11,closed_won,28724.15
OPP-0000160,ACCT-03760,2025-08-04,2025-04-22,proposal,9665.78
OPP-0000161,ACCT-04703,2025-03-14,2025-10-15,negotiation,14627.75
OPP-0000162,ACCT-05654,2025-07-08,2025-07-22,proposal,28140.06
OPP-0000163,ACCT-05712,2025-12-19,2025-03-19,negotiation,15762.11
OPP-0000164,ACCT-03402,2025-03-23,2025-07-10,negotiation,44468.86
OPP-0000165,ACCT-03540,2025-11-06,2025-04-10,negotiation,28139.58
OPP-0000166,ACCT-03697,2025-06-28,2025-10-08,prospecting,47508.16
OPP-0000167,ACCT-02104,2025-01-10,2025-05-15,closed_lost,11580.54
OPP-0000168,ACCT-05979,2025-04-04,2025-05-27,prospecting,27816.33
OPP-0000169,ACCT-05371,2025-10-15,2025-05-17,proposal,1332.52
OPP-0000170,ACCT-05354,2025-08-11,2025-08-13,prospecting,9728.04
OPP-0000171,ACCT-02089,2025-01-10,2026-01-27,proposal,5636.77
OPP-0000172,ACCT-03022,2025-01-27,2025-02-05,proposal,7274.81
OPP-0000173,ACCT-01499,2025-02-04,2025-06-29,negotiation,5575.97
OPP-0000174,ACCT-01572,2025-10-17,2025-02-23,prospecting,7711.36
OPP-0000175,ACCT-01852,2025-07-15,2025-12-15,closed_lost,17202.85
OPP-0000176,ACCT-02036,2025-09-13,2025-11-08,prospecting,26422.81
OPP-0000177,ACCT-02103,2025-05-29,2025-04-16,prospecting,11879.63
OPP-0000178,ACCT-02097,2025-03-01,2025-11-16,proposal,17063.04
OPP-0000179,ACCT-03479,2025-01-23,2025-05-16,negotiation,4380.56
OPP-0000180,ACCT-00332,2025-08-26,2025-08-10,prospecting,10479.86
OPP-0000181,ACCT-01474,2025-10-04,2025-04-16,negotiation,8527.41
OPP-0000182,ACCT-02310,2025-12-05,2025-04-07,negotiation,10035.99
OPP-0000183,ACCT-04451,2025-01-07,2025-09-06,negotiation,4125.78
OPP-0000184,ACCT-00165,2025-05-28,2026-02-20,negotiation,33236.46
OPP-0000185,ACCT-04737,2025-11-12,2025-08-13,proposal,16152.68
OPP-0000186,ACCT-02724,2025-12-06,2026-01-05,negotiation,47430.86
OPP-0000187,ACCT-03236,2025-12-25,2025-11-16,negotiation,35745.49
OPP-0000188,ACCT-02083,2025-10-12,2025-02-01,closed_won,13324.6
OPP-0000189,ACCT-02117,2025-03-25,2025-06-08,proposal,14307.05
OPP-0000190,ACCT-00887,2025-03-17,2025-08-27,prospecting,13153.07
OPP-0000191,ACCT-00385,2025-02-22,2025-05-24,closed_won,13206.51
OPP-0000192,ACCT-03870,2025-11-24,2026-02-22,proposal,26589.45
OPP-0000193,ACCT-00027,2025-12-15,2025-02-05,closed_won,10626.0
OPP-0000194,ACCT-03926,2025-11-06,2025-11-26,negotiation,23500.95
OPP-0000195,ACCT-03550,2025-04-03,2025-09-08,negotiation,7128.1
OPP-0000196,ACCT-02522,2025-05-26,2025-11-23,proposal,25462.25
OPP-0000197,ACCT-02054,2025-11-17,2025-04-09,prospecting,7637.14
OPP-0000198,ACCT-02760,2025-09-16,2025-04-08,negotiation,834.93
OPP-0000199,ACCT-01690,2025-04-01,2025-06-07,prospecting,7678.54
OPP-0000200,ACCT-03959,2025-04-12,2025-10-05,negotiation,12145.13
OPP-0000201,ACCT-03089,2025-04-10,2026-01-15,closed_won,4518.29
OPP-0000202,ACCT-01049,2025-05-16,2025-06-06,closed_won,20624.59
OPP-0000203,ACCT-04976,2025-03-03,2025-09-25,closed_lost,17289.9
OPP-0000204,ACCT-05466,2025-06-16,2025-07-07,closed_lost,11196.86
OPP-0000205,ACCT-01922,2025-11-27,2025-05-07,proposal,18519.71
OPP-0000206,ACCT-01137,2025-02-23,2025-02-08,closed_won,13661.03
OPP-0000207,ACCT-05142,2025-08-08,2026-01-14,prospecting,12870.17
OPP-0000208,ACCT-04262,2025-02-23,2025-10-18,negotiation,34466.88
OPP-0000209,ACCT-03948,2025-07-17,2026-01-13,closed_won,8674.17
OPP-0000210,ACCT-05743,2025-07-24,2025-03-22,proposal,16533.93
OPP-0000211,ACCT-02526,2025-01-17,2025-11-06,proposal,7420.05
OPP-0000212,ACCT-02433,2025-08-24,2025-03-25,negotiation,6577.28
OPP-0000213,ACCT-04418,2025-09-27,2026-02-12,proposal,8566.09
OPP-0000214,ACCT-00427,2025-05-21,2026-02-05,prospecting,25749.29
OPP-0000215,ACCT-02618,2025-05-04,2026-01-01,prospecting,14856.37
OPP-0000216,ACCT-04434,2025-03-12,2026-01-23,proposal,9529.19
OPP-0000217,ACCT-01656,2025-03-15,2025-05-21,negotiation,24580.8
OPP-0000218,ACCT-00928,2025-04-20,2025-10-19,prospecting,12750.49
OPP-0000219,ACCT-03552,2025-08-03,2025-05-15,negotiation,36850.46
OPP-0000220,ACCT-05316,2025-03-22,2025-06-06,prospecting,24197.5
OPP-0000221,ACCT-03603,2025-06-18,2025-11-17,proposal,11344.63
OPP-0000222,ACCT-00543,2025-09-21,2025-06-19,negotiation,30103.85
OPP-0000223,ACCT-04235,2025-01-31,2025-06-22,prospecting,15758.89
OPP-0000224,ACCT-02728,2025-11-15,2025-05-17,negotiation,10332.87
OPP-0000225,ACCT-01313,2025-06-25,2025-12-12,closed_won,5125.15
OPP-0000226,ACCT-04824,2025-02-06,2026-02-03,proposal,24354.92
OPP-0000227,ACCT-01671,2025-05-11,2025-11-24,negotiation,19345.82
OPP-0000228,ACCT-04913,2025-12-12,2025-10-22,prospecting,13780.27
OPP-0000229,ACCT-00550,2025-09-19,2025-08-18,negotiation,7245.01
OPP-0000230,ACCT-05516,2025-04-23,2026-02-20,proposal,7687.34
OPP-0000231,ACCT-05220,2025-02-26,2025-12-31,negotiation,13282.25
OPP-0000232,ACCT-02177,2025-05-10,2025-03-21,closed_won,18073.62
OPP-0000233,ACCT-05880,2025-03-26,2025-09-14,prospecting,30332.08
OPP-0000234,ACCT-05267,2025-08-14,2025-12-10,prospecting,15549.0
OPP-0000235,ACCT-02449,2025-01-21,2025-11-12,proposal,1083.97
OPP-0000236,ACCT-01524,2025-06-03,2025-08-29,proposal,8610.4
OPP-0000237,ACCT-02837,2025-10-30,2025-07-09,negotiation,9835.08
OPP-0000238,ACCT-00073,2025-03-08,2025-10-13,prospecting,26172.26
OPP-0000239,ACCT-01779,2025-01-24,2025-04-08,prospecting,2723.26
OPP-0000240,ACCT-05290,2025-06-17,2025-12-03,closed_lost,6418.37
OPP-0000241,ACCT-05984,2025-01-28,2026-02-09,proposal,11841.77
OPP-0000242,ACCT-03342,2025-12-20,2025-02-25,proposal,17668.07
OPP-0000243,ACCT-04036,2025-01-05,2025-10-22,closed_won,21053.41
OPP-0000244,ACCT-01061,2025-12-28,2025-09-05,negotiation,23668.67
OPP-0000245,ACCT-02748,2025-03-01,2025-04-11,proposal,15201.44
OPP-0000246,ACCT-01617,2025-09-20,2025-10-06,closed_won,42379.99
OPP-0000247,ACCT-00301,2025-05-26,2025-11-12,closed_won,14094.06
OPP-0000248,ACCT-00806,2025-09-21,2025-11-14,proposal,19605.15
OPP-0000249,ACCT-05055,2025-08-28,2025-08-26,proposal,31927.21
OPP-0000250,ACCT-02368,2025-12-28,2025-03-03,proposal,32346.81
OPP-0000251,ACCT-00650,2025-03-20,2026-02-04,closed_won,12802.26
OPP-0000252,ACCT-04982,2025-03-18,2025-08-23,prospecting,3787.53
OPP-0000253,ACCT-00597,2025-07-07,2025-09-21,prospecting,9399.46
OPP-0000254,ACCT-04808,2025-10-17,2025-05-30,closed_lost,3692.09
OPP-0000255,ACCT-04620,2025-04-27,2026-01-24,prospecting,23572.61
OPP-0000256,ACCT-00670,2025-01-23,2025-07-26,proposal,11251.93
OPP-0000257,ACCT-02381,2025-01-08,2025-06-19,closed_won,25965.33
OPP-0000258,ACCT-00059,2025-05-07,2025-05-26,closed_lost,13652.84
OPP-0000259,ACCT-04867,2025-12-18,2025-08-08,closed_lost,36217.12
OPP-0000260,ACCT-03094,2025-07-15,2025-09-30,prospecting,7651.77
OPP-0000261,ACCT-01474,2025-02-06,2025-06-22,negotiation,14263.37
OPP-0000262,ACCT-00811,2025-07-02,2025-11-10,negotiation,13869.69
OPP-0000263,ACCT-00547,2025-03-11,2025-04-07,negotiation,15947.58
OPP-0000264,ACCT-01828,2025-09-03,2025-10-03,prospecting,14153.43
OPP-0000265,ACCT-05739,2025-07-17,2025-06-29,negotiation,5201.94
OPP-0000266,ACCT-05442,2025-11-27,2025-10-04,closed_won,14026.96
OPP-0000267,ACCT-01383,2025-11-10,2025-05-05,negotiation,4672.6
OPP-0000268,ACCT-02580,2025-03-30,2025-10-17,prospecting,17229.62
OPP-0000269,ACCT-04138,2025-04-15,2025-07-31,prospecting,40988.72
OPP-0000270,ACCT-00835,2025-09-01,2025-09-20,negotiation,11812.16
OPP-0000271,ACCT-02785,2025-03-18,2025-10-16,proposal,19595.15
OPP-0000272,ACCT-00924,2025-11-09,2025-12-19,negotiation,12788.02
OPP-0000273,ACCT-05835,2025-10-01,2025-07-14,closed_won,3857.03
OPP-0000274,ACCT-04508,2025-09-23,2026-01-21,closed_lost,15702.42
OPP-0000275,ACCT-02097,2025-05-25,2025-10-21,negotiation,12488.37
OPP-0000276,ACCT-02520,2025-06-30,2025-05-06,proposal,2285.12
OPP-0000277,ACCT-00281,2025-04-17,2025-10-13,proposal,27475.07
OPP-0000278,ACCT-03062,2025-02-01,2025-06-08,prospecting,34117.09
OPP-0000279,ACCT-00170,2025-10-11,2025-11-12,closed_won,12034.14
OPP-0000280,ACCT-00408,2025-03-03,2025-05-19,closed_won,18177.89
OPP-0000281,ACCT-03059,2025-02-07,2025-06-25,prospecting,42883.87
OPP-0000282,ACCT-04342,2025-04-13,2025-05-09,closed_won,2529.04
OPP-0000283,ACCT-02887,2025-01-20,2025-09-28,negotiation,4058.08
OPP-0000284,ACCT-04801,2025-11-08,2025-04-04,prospecting,14308.95
OPP-0000285,ACCT-02723,2025-10-02,2025-04-04,closed_lost,29281.52
OPP-0000286,ACCT-05392,2025-09-17,2025-12-10,proposal,4395.6
OPP-0000287,ACCT-00234,2025-11-11,2025-06-28,prospecting,13586.63
OPP-0000288,ACCT-03500,2025-06-01,2025-06-21,prospecting,18293.42
OPP-0000289,ACCT-03098,2025-12-20,2025-04-21,negotiation,20274.45
OPP-0000290,ACCT-00729,2025-06-01,2025-11-30,negotiation,8166.54
OPP-0000291,ACCT-05332,2025-04-17,2025-05-10,prospecting,10654.95
OPP-0000292,ACCT-01122,2025-03-02,2025-03-03,negotiation,19101.47
OPP-0000293,ACCT-03720,2025-01-18,2025-11-18,prospecting,19155.35
OPP-0000294,ACCT-03472,2025-01-26,2025-06-19,closed_won,853.46
OPP-0000295,ACCT-00655,2025-01-21,2025-06-18,closed_won,21173.88
OPP-0000296,ACCT-01483,2025-10-19,2025-08-18,proposal,14377.25
OPP-0000297,ACCT-00548,2025-03-19,2025-11-09,negotiation,9533.37
OPP-0000298,ACCT-05870,2025-10-26,2025-05-30,proposal,36700.1
OPP-0000299,ACCT-05206,2025-03-26,2025-12-03,closed_won,1817.75
OPP-0000300,ACCT-05021,2025-10-19,2025-03-16,proposal,21356.09
OPP-0000301,ACCT-02293,2025-02-21,2025-04-26,closed_lost,10612.87
OPP-0000302,ACCT-02153,2025-08-21,2026-01-29,closed_won,16785.93
OPP-0000303,ACCT-04989,2025-02-14,2025-03-16,prospecting,6330.4
OPP-0000304,ACCT-04725,2025-08-08,2025-07-29,prospecting,45820.36
OPP-0000305,ACCT-02206,2025-04-05,2025-08-23,closed_won,51893.71
OPP-0000306,ACCT-02828,2025-03-08,2025-04-12,proposal,13286.56
OPP-0000307,ACCT-02258,2025-04-26,2025-11-21,closed_won,10319.52
OPP-0000308,ACCT-04513,2025-01-03,2026-01-22,closed_won,9186.35
OPP-0000309,ACCT-03003,2025-06-01,2025-04-13,proposal,17657.92
OPP-0000310,ACCT-01879,2025-03-11,2025-06-02,closed_lost,20244.91
OPP-0000311,ACCT-02118,2025-01-08,2025-12-07,negotiation,7629.14
OPP-0000312,ACCT-00331,2025-01-24,2025-09-18,closed_won,27474.53
OPP-0000313,ACCT-05694,2025-09-17,2025-03-09,proposal,2877.59
OPP-0000314,ACCT-00300,2025-04-01,2025-11-29,proposal,36970.23
OPP-0000315,ACCT-01561,2025-10-24,2025-05-03,prospecting,4877.83
OPP-0000316,ACCT-03289,2025-10-25,2025-12-16,proposal,64593.74
OPP-0000317,ACCT-03143,2025-09-03,2025-11-03,prospecting,11204.16
OPP-0000318,ACCT-03522,2025-11-23,2025-09-21,negotiation,7831.16
OPP-0000319,ACCT-03677,2025-06-10,2025-03-30,prospecting,14901.3
OPP-0000320,ACCT-03346,2025-10-08,2025-07-03,proposal,14943.52
OPP-0000321,ACCT-01707,2025-08-27,2026-01-21,negotiation,4718.89
OPP-0000322,ACCT-04334,2025-04-06,2025-02-25,closed_won,22176.95
OPP-0000323,ACCT-04866,2025-10-01,2025-08-08,proposal,31633.65
OPP-0000324,ACCT-03630,2025-02-11,2025-07-12,closed_lost,29568.66
OPP-0000325,ACCT-01499,2025-11-27,2025-03-23,prospecting,9112.36
OPP-0000326,ACCT-02166,2025-01-12,2025-02-14,prospecting,17283.85
OPP-0000327,ACCT-00996,2025-12-08,2025-02-26,prospecting,67239.5
OPP-0000328,ACCT-05993,2025-09-15,2026-02-01,proposal,30723.17
OPP-0000329,ACCT-00247,2025-02-05,2025-09-21,prospecting,32387.09
OPP-0000330,ACCT-05874,2025-11-15,2025-10-14,proposal,16063.54
OPP-0000331,ACCT-04650,2025-12-21,2025-11-21,proposal,5343.11
OPP-0000332,ACCT-01131,2025-06-30,2025-11-10,closed_won,23991.2
OPP-0000333,ACCT-01813,2025-10-02,2026-02-14,closed_lost,30856.32
OPP-0000334,ACCT-02157,2025-07-22,2026-01-05,prospecting,28332.39
OPP-0000335,ACCT-02226,2025-12-22,2025-06-03,prospecting,12899.88
OPP-0000336,ACCT-02666,2025-01-07,2025-05-23,proposal,20511.27
OPP-0000337,ACCT-00871,2025-06-13,2026-02-10,negotiation,7827.51
OPP-0000338,ACCT-01889,2025-06-04,2025-07-10,closed_won,16829.26
OPP-0000339,ACCT-01197,2025-04-13,2026-01-16,closed_lost,18403.47
OPP-0000340,ACCT-05420,2025-07-24,2025-07-14,closed_won,15202.31
OPP-0000341,ACCT-01129,2025-11-26,2025-03-25,proposal,16929.98
OPP-0000342,ACCT-01075,2025-06-29,2025-11-07,prospecting,5553.47
OPP-0000343,ACCT-05835,2025-06-24,2025-03-15,closed_won,54317.07
OPP-0000344,ACCT-00366,2025-02-02,2025-11-17,negotiation,7513.64
OPP-0000345,ACCT-04471,2025-02-10,2025-08-17,prospecting,26969.13
OPP-0000346,ACCT-04621,2025-03-25,2025-08-21,prospecting,7573.25
OPP-0000347,ACCT-04909,2025-06-07,2026-01-12,proposal,6122.5
OPP-0000348,ACCT-05773,2025-06-03,2025-10-06,negotiation,34677.75
OPP-0000349,ACCT-00062,2025-07-01,2025-06-11,closed_won,8785.06
OPP-0000350,ACCT-05371,2025-05-02,2025-10-13,prospecting,7074.24
